X,Y
276,334
234,375
263,396
311,346
268,326
235,323
380,245
273,394
375,401
373,319
312,334
229,299
402,347
263,383
265,345
203,379
291,370
306,388
315,389
375,323
331,357
317,366
354,304
317,298
299,331
250,312
298,341
354,387
347,296
355,332
273,332
391,363
296,362
294,355
340,351
429,334
367,334
354,336
365,313
351,388
165,347
221,352
258,341
320,356
389,314
380,318
307,374
380,390
323,360
263,378
257,310
340,318
234,333
227,335
224,360
277,325
265,302
299,330
320,306
317,271
367,310
211,305
204,349
353,337
368,328
301,379
254,341
346,244
289,300
311,372
250,349
190,331
214,339
332,369
320,290
339,315
299,289
333,365
282,338
275,349
299,349
354,394
299,352
267,374
356,202
304,343
351,368
346,380
389,374
303,356
374,372
301,380
277,360
280,344
347,313
231,368
268,334
199,365
383,324
281,374
342,356
380,348
360,335
345,297
333,241
381,346
344,388
348,331
314,358
259,364
320,340
227,362
262,279
347,323
372,362
307,289
329,341
348,356
239,332
330,315
260,355
305,370
311,331
272,318
281,376
188,358
303,331
321,298
372,216
266,382
305,327
257,347
335,359
280,339
272,382
303,367
247,375
227,358
349,332
276,340
315,332
267,380
306,334
329,356
307,384
311,368
313,383
350,373
307,341
309,282
276,311
199,361
333,362
276,362
254,346
226,376
279,358
210,356
332,358
389,385
372,372
283,289
356,294
328,372
299,370
280,389
356,354
311,382
250,388
260,357
187,364
335,352
263,383
278,388
283,343
251,384
299,369
172,378
280,364
386,364
203,362
304,379
303,391
290,386
269,354
359,380
262,364
291,381
301,376
279,335
161,378
346,303
245,331
261,346
164,361
308,340
305,367
305,391
267,375
275,357
250,393
215,339
277,321
298,349
277,334
340,330
269,379
