level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,13,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Arsenal,Brighton,,nan,,,0.0,0.0,,nan,1.0,Brighton,Arsenal vs Brighton,2
1,2,3.0,0.0,0.0,211,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Brighton,Arsenal,,nan,,,0.0,0.0,,nan,1.0,Brighton,Arsenal vs Brighton,2
2,3,4.0,0.0,0.0,211,52.605000000000004,33.932,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.92'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '34.6'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '55.2'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '16.7'}]","[91, 117, 30, 35, 37, 216, 218]",True,373525.0,36.330000000000005,37.536,,,,,,,,,,,0.0,,,,6.0,3.0,4.0,4.0,0.01689528,0.01262646,-0.004268819999999998,Brighton,Arsenal,9.0,Joao Pedro,AMC,True,-16.365934604343167,0.0,167.5136935282428,J. Pedro,1.0,Brighton,Arsenal vs Brighton,2
3,4,5.0,0.0,2.0,211,37.695,36.652,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '94.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.95'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '64.7'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '22.8'}]","[91, 120, 128, 36, 38, 217, 218]",True,86441.0,98.80499999999999,15.504000000000001,,,,,,,,,,,0.03333333333333333,,,,,,,,,,,Brighton,Arsenal,5.0,Lewis Dunk,DC,True,47.85133014600653,0.0,-19.088919137818976,L. Dunk,1.0,Brighton,Arsenal vs Brighton,2
4,5,4.0,0.0,6.0,13,12.600000000000001,50.184000000000005,0.0,FirstHalf,KeeperPickup,Successful,[],[93],False,276366.0,,,,,,,,,,,,,0.1,,,,,,,,,,,Arsenal,Brighton,22.0,David Raya,GK,True,0.0,0.0,,D. Raya,2.0,Arsenal,Arsenal vs Brighton,2
5,6,6.0,0.0,18.0,13,9.555,34.204,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '19.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '17.3'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '25.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.18'}]","[91, 117, 30, 36, 38, 215, 218]",True,276366.0,20.790000000000003,11.764000000000001,,,,,,,,,,,0.3,,,,1.0,4.0,2.0,1.0,0.01082722,0.00942382,-0.0014034000000000008,Arsenal,Brighton,22.0,David Raya,GK,True,8.348927641359793,0.0,-63.404317561732796,D. Raya,2.0,Arsenal,Arsenal vs Brighton,2
6,7,7.0,0.0,21.0,13,21.945,10.132000000000001,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.87'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '21.7'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '7.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '5.4'}]","[91, 117, 30, 36, 38, 215, 218]",True,361822.0,22.785,4.828,,,,,,,,,,,0.35,,,,2.0,1.0,2.0,0.0,0.00942382,0.00844854,-0.0009752800000000002,Arsenal,Brighton,2.0,William Saliba,DC,True,-0.8205838805591981,0.0,-81.00074895416073,W. Saliba,2.0,Arsenal,Arsenal vs Brighton,2
7,8,8.0,0.0,23.0,13,22.47,4.488,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '10.2'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '16.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '23.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.38'}]","[91, 117, 30, 35, 37, 215, 218]",True,322036.0,10.709999999999999,15.708000000000002,,,,,,,,,,,0.3833333333333333,,,,2.0,0.0,1.0,1.0,0.00844854,0.00878589,0.00033735000000000015,Arsenal,Brighton,4.0,Ben White,DR,True,-8.399985176544433,0.0,136.346128284113,B. White,2.0,Arsenal,Arsenal vs Brighton,2
8,9,9.0,0.0,25.0,13,10.08,15.368000000000002,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '67.5'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.24'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '60.9'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '18.5'}]","[91, 120, 128, 36, 38, 217, 218]",True,276366.0,70.875,12.58,,,,,,,,,,,0.4166666666666667,,,,,,,,,,,Arsenal,Brighton,22.0,David Raya,GK,True,56.440774643497186,0.0,-2.6256895052184346,D. Raya,2.0,Arsenal,Arsenal vs Brighton,2
9,10,6.0,0.0,31.0,211,42.63,50.592000000000006,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.5'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '33.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '94.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.10'}]","[91, 117, 30, 139, 35, 37, 215, 218]",True,365402.0,34.86000000000001,63.988,,,,,,,,,,,0.5166666666666666,,,,4.0,5.0,4.0,7.0,0.01269174,0.01126267,-0.0014290699999999993,Brighton,Arsenal,29.0,Jan Paul van Hecke,DC,True,-11.742489584274068,0.0,120.11475728431738,J. P. van Hecke,2.0,Arsenal,Arsenal vs Brighton,2
10,11,7.0,0.0,33.0,211,34.86000000000001,63.988,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.25'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '93.6'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '43.7'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.0'}]","[91, 118, 120, 128, 36, 38, 216, 218]",True,469629.0,45.885000000000005,63.648,,,,,,,,,,,0.55,,,,,,,,,,,Brighton,Arsenal,41.0,Jack Hinshelwood,DL,True,10.148611424585468,0.0,-1.7663848463314833,J. Hinshelwood,2.0,Arsenal,Arsenal vs Brighton,2
11,12,10.0,0.0,36.0,13,70.56,5.236000000000001,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '80.6'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '10.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.12'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '14.2'}]","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,322036.0,84.63,6.936,,,,,,,,,,,0.6,,,,8.0,0.0,9.0,0.0,0.02122129,0.02756312,0.00634183,Arsenal,Brighton,4.0,Ben White,DR,True,10.998582903830858,0.0,6.889335756475586,B. White,2.0,Arsenal,Arsenal vs Brighton,2
12,13,10.5,0.0,39.0,13,84.63,6.936,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,247454.0,95.025,15.436,,,,,,11.0,,,,,0.6499999999999999,,,,9.0,0.0,11.0,1.0,0.02756312,0.04647721,0.018914089999999998,Arsenal,Brighton,8.0,Martin Odegaard,MC,True,0.0,12.799029628221987,39.272894678340535,M. Odegaard,2.0,Arsenal,Arsenal vs Brighton,2
13,14,11.0,0.0,42.0,13,95.025,15.436,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '29.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '6.3'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '86.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.39'}]","[91, 120, 29, 35, 37, 217, 218]",True,247454.0,90.405,19.720000000000002,,,,,,,,,,,0.7,,,,,,,,,,,Arsenal,Brighton,8.0,Martin Odegaard,MC,True,0.6552961363404464,0.0,137.1610794882264,M. Odegaard,2.0,Arsenal,Arsenal vs Brighton,2
14,15,8.0,0.0,43.0,211,14.91,49.164,0.0,FirstHalf,Interception,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 101, 102, 56]",True,469629.0,,,,,,,,,,,,,0.7166666666666667,,,,,,,,,,,Brighton,Arsenal,41.0,Jack Hinshelwood,DL,True,0.0,0.0,,J. Hinshelwood,3.0,Brighton,Arsenal vs Brighton,2
15,16,9.0,0.0,45.0,211,16.485,62.968,0.0,FirstHalf,BallRecovery,Successful,[],[93],False,425142.0,,,,,,,,,,,,,0.75,,,,,,,,,,,Brighton,Arsenal,22.0,Kaoru Mitoma,AML,True,0.0,0.0,,K. Mitoma,3.0,Brighton,Arsenal vs Brighton,2
