level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,13,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Arsenal,Wolves,,nan,,,0.0,0.0,,nan,1.0,Arsenal,Arsenal vs Wolves,1
1,2,3.0,0.0,0.0,161,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Wolves,Arsenal,,nan,,,0.0,0.0,,nan,1.0,Arsenal,Arsenal vs Wolves,1
2,3,4.0,0.0,0.0,13,52.5,34.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '24.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.06'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '52.8'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '26.9'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 117, 30, 35, 37, 215, 218]",True,238940.0,28.245,35.904,,,,,,,,,,,0.0,,,,6.0,3.0,3.0,4.0,0.01689528,0.01132376,-0.005571519999999998,Arsenal,Wolves,5.0,Thomas Partey,MC,True,-24.278611872057184,0.0,175.5115270739629,T. Partey,1.0,Arsenal,Arsenal vs Wolves,1
3,4,5.0,0.0,3.0,13,28.245,36.516000000000005,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '47.5'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.49'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '66.8'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '86.7'}]","[91, 120, 128, 36, 37, 217, 218]",True,276366.0,70.14,58.956,,,,,,,,,,,0.05,,,,,,,,,,,Arsenal,Wolves,22.0,David Raya,GK,True,33.92407230846556,0.0,28.174605069063094,D. Raya,1.0,Arsenal,Arsenal vs Wolves,1
4,5,5.0,0.0,6.0,161,35.28,9.724000000000002,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '8.1'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '10.9'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '41.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.99'}]","[91, 118, 120, 29, 139, 36, 38, 216, 218]",True,94042.0,43.050000000000004,7.412000000000001,,,,,,,,,,,0.1,,,,,,,,,,,Wolves,Arsenal,2.0,Matt Doherty,DR,True,6.410917337994476,0.0,-16.57062071893924,M. Doherty,1.0,Arsenal,Arsenal vs Wolves,1
5,6,8.0,0.0,8.0,13,64.26,63.17200000000001,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.12'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '94.8'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '71.6'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}]","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,273257.0,75.17999999999999,64.464,,,,,,,,,,,0.13333333333333333,,,,7.0,7.0,8.0,7.0,0.0174506,0.02122129,0.00377069,Arsenal,Wolves,17.0,Oleksandr Zinchenko,DL,True,7.477758987159291,0.0,6.747582661802077,O. Zinchenko,1.0,Arsenal,Arsenal vs Wolves,1
6,7,80.0,0.0,9.0,13,74.76,64.396,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.20'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '8.7'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '67.1'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '83.5'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 120, 29, 35, 38, 217, 218]",True,380706.0,70.455,56.78,,,,,,,,,,,0.15,,,,,,,,,,,Arsenal,Wolves,11.0,Gabriel Martinelli,FWL,True,1.4964979590020775,0.0,-119.47762423991242,G. Martinelli,1.0,Arsenal,Arsenal vs Wolves,1
7,8,6.0,0.0,10.0,161,33.495,13.124,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.23'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '64.7'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '35.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '30.9'}]","[91, 120, 128, 36, 37, 216, 218]",True,123481.0,67.935,21.012,,,,,,,,,,,0.16666666666666666,,,,,,,,,,,Wolves,Arsenal,5.0,Mario Lemina,DMC,True,35.21537863539999,0.0,12.900295633925936,M. Lemina,1.0,Arsenal,Arsenal vs Wolves,1
8,9,9.0,0.0,14.0,13,37.065,44.064,0.0,FirstHalf,Aerial,Successful,"[{'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[197, 200]",False,361822.0,,,,,,,,,,,,,0.23333333333333334,,,,,,,,,,,Arsenal,Wolves,2.0,William Saliba,DC,True,0.0,0.0,,W. Saliba,1.0,Arsenal,Arsenal vs Wolves,1
9,10,7.0,0.0,14.0,161,67.935,23.936000000000003,0.0,FirstHalf,Aerial,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '9'}, {'type': {'value': 286, 'displayName': 'Offensive'}}]","[198, 199]",False,333048.0,,,,,,,,,,,,,0.23333333333333334,,,,,,,,,,,Wolves,Arsenal,9.0,Jorgen Strand Larsen,FW,True,0.0,0.0,,J. S. Larsen,2.0,Wolves,Arsenal vs Wolves,1
