level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,13,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Arsenal,Aston Villa,,nan,,,0.0,0.0,,nan,1.0,Aston Villa,Aston Villa vs Arsenal,2
1,2,4.0,0.0,0.0,24,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Aston Villa,Arsenal,,nan,,,0.0,0.0,,nan,1.0,Aston Villa,Aston Villa vs Arsenal,2
2,3,5.0,0.0,0.0,24,52.605000000000004,34.068000000000005,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '51.2'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '3.3'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '47.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.92'}]","[91, 117, 30, 35, 37, 216, 218]",True,362824.0,49.35,34.816,,,,,,,,,,,0.0,,,,6.0,4.0,5.0,4.0,0.01689528,0.01484598,-0.0020492999999999987,Aston Villa,Arsenal,27.0,Morgan Rogers,FW,True,-3.260938085828215,0.0,167.05810266536682,M. Rogers,1.0,Aston Villa,Aston Villa vs Arsenal,2
3,4,6.0,0.0,1.0,24,49.35,34.816,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '45.2'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '30.6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '18.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.28'}]","[91, 117, 30, 35, 38, 215, 218]",True,136345.0,19.005000000000003,30.736000000000004,,,,,,,,,,,0.016666666666666666,,,,5.0,4.0,2.0,3.0,0.01484598,0.01016549,-0.004680490000000001,Aston Villa,Arsenal,8.0,Youri Tielemans,MC,True,-30.40093918873849,0.0,-172.34229030628615,Y. Tielemans,1.0,Aston Villa,Aston Villa vs Arsenal,2
4,5,7.0,0.0,6.0,24,19.215,29.92,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.11'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '67.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '30.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '52.0'}, {'type': {'value': 1, 'displayName': 'Longball'}}]","[91, 120, 124, 128, 36, 38, 217, 218]",True,102248.0,70.35000000000001,20.740000000000002,,,,,,,,,,,0.1,,,,,,,,,,,Aston Villa,Arsenal,23.0,Emiliano Martinez,GK,True,48.781428722194505,0.0,-10.177598349127212,E. Martinez,1.0,Aston Villa,Aston Villa vs Arsenal,2
5,6,4.0,0.0,9.0,13,41.475,54.400000000000006,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '65.2'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '42.5'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.02'}, {'type': {'value': 21, 'displayName': 'OtherBodyPart'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '10.5'}]","[91, 118, 120, 29, 36, 38, 216, 218]",True,388650.0,44.625,44.336000000000006,,,,,,,,,,,0.15,,,,,,,,,,,Arsenal,Aston Villa,12.0,Jurrien Timber,DL,True,5.466848842395109,0.0,-72.62004586025895,J. Timber,1.0,Aston Villa,Aston Villa vs Arsenal,2
6,7,8.0,0.0,11.0,24,69.72000000000001,24.004,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.93'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '69.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '3.7'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '33.4'}]","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,136345.0,73.185,22.712,,,,,,,,,,,0.18333333333333332,,,,8.0,2.0,8.0,2.0,0.0241224,0.0241224,0.0,Aston Villa,Arsenal,8.0,Youri Tielemans,MC,True,2.9106091451638036,0.0,-20.449055503727774,Y. Tielemans,1.0,Aston Villa,Aston Villa vs Arsenal,2
7,8,9.0,0.0,12.0,24,73.5,22.712,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '63.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '7.3'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.80'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '37.0'}]","[91, 119, 117, 30, 139, 35, 37, 216, 218]",True,362824.0,66.57000000000001,25.16,,,,,,,,,,,0.2,,,,8.0,2.0,7.0,3.0,0.0241224,0.0199707,-0.004151699999999998,Aston Villa,Arsenal,27.0,Morgan Rogers,FW,True,-5.972166840828322,0.0,160.54439778203894,M. Rogers,1.0,Aston Villa,Aston Villa vs Arsenal,2
8,9,10.0,0.0,14.0,24,65.94,25.568,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '45.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '56.7'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '22.5'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.53'}]","[91, 117, 30, 35, 37, 216, 218]",True,400815.0,47.565,38.556000000000004,,,,,,,,,,,0.23333333333333334,,,,7.0,3.0,5.0,4.0,0.0199707,0.01484598,-0.005124720000000001,Aston Villa,Arsenal,24.0,Amadou Onana,MC,True,-17.655660180099687,0.0,144.7461865584156,A. Onana,1.0,Aston Villa,Aston Villa vs Arsenal,2
9,10,10.5,0.0,18.5,24,47.565,38.556000000000004,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,344259.0,51.24,46.308,,,,,,11.0,,,,,0.30833333333333335,,,,5.0,4.0,5.0,5.0,0.01484598,0.01429128,-0.0005547,Aston Villa,Arsenal,14.0,Pau Torres,DC,True,0.0,2.4644933203718793,64.63571691122426,P. Torres,1.0,Aston Villa,Aston Villa vs Arsenal,2
