level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,31,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Everton,Aston Villa,,nan,,,0.0,0.0,,nan,1.0,Aston Villa,Aston Villa vs Everton,4
1,2,3.0,0.0,0.0,24,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Aston Villa,Everton,,nan,,,0.0,0.0,,nan,1.0,Aston Villa,Aston Villa vs Everton,4
2,3,4.0,0.0,0.0,24,52.5,34.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '46.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '53.4'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '4.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.52'}]","[91, 117, 30, 35, 37, 216, 218]",True,362824.0,49.245,36.312000000000005,,,,,,,,,,,0.0,,,,6.0,3.0,5.0,4.0,0.01689528,0.01484598,-0.0020492999999999987,Aston Villa,Everton,27.0,Morgan Rogers,AMC,True,-3.3029154166697623,0.0,144.61413189603417,M. Rogers,1.0,Aston Villa,Aston Villa vs Everton,4
3,4,4.5,0.0,0.5,24,49.245,36.312000000000005,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,136345.0,45.78,38.080000000000005,,,,,,5.0,,,,,0.008333333333333333,,,,5.0,4.0,5.0,4.0,0.01484598,0.01484598,0.0,Aston Villa,Everton,8.0,Youri Tielemans,DMC,True,0.0,-3.5574653098720788,152.9672654477699,Y. Tielemans,1.0,Aston Villa,Aston Villa vs Everton,4
4,5,5.0,0.0,1.0,24,45.78,38.080000000000005,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.62'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '12.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '65.0'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '33.4'}]","[91, 117, 30, 35, 37, 216, 218]",True,136345.0,35.07,44.2,,,,,,,,,,,0.016666666666666666,,,,5.0,4.0,3.0,5.0,0.01484598,0.01110462,-0.003741359999999999,Aston Villa,Everton,8.0,Youri Tielemans,DMC,True,-11.30959097290063,0.0,150.2551187030578,Y. Tielemans,1.0,Aston Villa,Aston Villa vs Everton,4
5,6,6.0,0.0,4.0,24,35.07,44.2,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '27.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '25.8'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.58'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '30.2'}]","[91, 117, 30, 35, 38, 215, 218]",True,344259.0,31.71,18.632,,,,,,,,,,,0.06666666666666667,,,,4.0,5.0,3.0,2.0,0.01269174,0.01110462,-0.0015871199999999992,Aston Villa,Everton,14.0,Pau Torres,DC,True,-4.21393527662282,0.0,-97.48658257594694,P. Torres,1.0,Aston Villa,Aston Villa vs Everton,4
6,7,7.0,0.0,17.0,24,39.06,29.512,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '40.6'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '8.5'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.14'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '32.0'}]","[91, 117, 30, 36, 38, 216, 218]",True,301440.0,42.63,21.76,,,,,,,,,,,0.2833333333333333,,,,4.0,3.0,4.0,2.0,0.01262646,0.01269174,6.527999999999916e-05,Aston Villa,Everton,4.0,Ezri Konsa,DC,True,2.5328619605497664,0.0,-65.27268561330986,E. Konsa,1.0,Aston Villa,Aston Villa vs Everton,4
7,8,7.5,0.0,18.0,24,42.63,21.76,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,400815.0,38.535000000000004,23.596000000000004,,,,,,8.0,,,,,0.3,,,,4.0,2.0,4.0,2.0,0.01269174,0.01269174,0.0,Aston Villa,Everton,24.0,Amadou Onana,DMC,True,0.0,-3.7146670459636226,155.85084247957093,A. Onana,1.0,Aston Villa,Aston Villa vs Everton,4
8,9,8.0,0.0,19.0,24,38.535000000000004,23.596000000000004,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.9'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '21.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.94'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '39.4'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 117, 30, 35, 37, 215, 218]",True,400815.0,22.995,26.792,,,,,,,,,,,0.31666666666666665,,,,4.0,2.0,2.0,3.0,0.01269174,0.01016549,-0.0025262500000000007,Aston Villa,Everton,24.0,Amadou Onana,DMC,True,-15.046812110247416,0.0,168.37843414005502,A. Onana,1.0,Aston Villa,Aston Villa vs Everton,4
9,10,9.0,0.0,22.0,24,22.995,26.792,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '7.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.40'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '59.3'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '20.0'}]","[91, 117, 30, 35, 37, 215, 218]",True,301440.0,8.295,40.324,,,,,,,,,,,0.36666666666666664,,,,2.0,3.0,0.0,4.0,0.01016549,0.00941056,-0.0007549299999999991,Aston Villa,Everton,4.0,Ezri Konsa,DC,True,-14.590386051352112,0.0,137.36906094834964,E. Konsa,1.0,Aston Villa,Aston Villa vs Everton,4
10,11,10.0,0.0,24.0,24,8.19,41.208000000000006,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '93.3'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '13.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.32'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '22.9'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 36, 37, 215, 218]",True,102248.0,13.86,63.444,,,,,,,,,,,0.4,,,,0.0,4.0,1.0,7.0,0.00941056,0.00779616,-0.0016144000000000002,Aston Villa,Everton,23.0,Emiliano Martinez,GK,True,1.2998429597783456,0.0,75.69488364470631,E. Martinez,1.0,Aston Villa,Aston Villa vs Everton,4
11,12,10.5,0.0,25.5,24,13.86,63.444,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,344259.0,18.69,64.26,,,,,,11.0,,,,,0.42500000000000004,,,,1.0,7.0,2.0,7.0,0.00779616,0.00844854,0.0006523799999999993,Aston Villa,Everton,14.0,Pau Torres,DC,True,0.0,4.317290921608773,9.58923572873988,P. Torres,1.0,Aston Villa,Aston Villa vs Everton,4
12,13,11.0,0.0,27.0,24,18.69,64.26,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '23.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.22'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '78.5'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '12.5'}]","[91, 117, 30, 36, 38, 215, 218]",True,344259.0,24.78,53.38,,,,,,,,,,,0.45,,,,2.0,7.0,2.0,6.0,0.00844854,0.00942382,0.0009752800000000002,Aston Villa,Everton,14.0,Pau Torres,DC,True,8.933061635540696,0.0,-60.762399953870634,P. Torres,1.0,Aston Villa,Aston Villa vs Everton,4
13,14,12.0,0.0,29.0,24,24.465000000000003,53.38,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '6.6'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '56.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.85'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '23.1'}]","[91, 117, 30, 35, 38, 215, 218]",True,136345.0,6.93,38.284,,,,,,,,,,,0.48333333333333334,,,,2.0,6.0,0.0,4.0,0.00942382,0.00941056,-1.3259999999999314e-05,Aston Villa,Everton,8.0,Youri Tielemans,DMC,True,-15.329530189647826,0.0,-139.27461720264048,Y. Tielemans,1.0,Aston Villa,Aston Villa vs Everton,4
14,15,12.5,0.0,30.5,24,6.93,38.284,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,102248.0,10.920000000000002,31.892000000000003,,,,,,13.0,,,,,0.5083333333333333,,,,0.0,4.0,1.0,3.0,0.00941056,0.01082722,0.0014166600000000001,Aston Villa,Everton,23.0,Emiliano Martinez,GK,True,0.0,4.059911121818388,-58.02685704933195,E. Martinez,1.0,Aston Villa,Aston Villa vs Everton,4
