level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,161,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Wolves,Aston Villa,,nan,,,0.0,0.0,,nan,1.0,Wolves,Aston Villa vs Wolves,5
1,2,3.0,0.0,0.0,24,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Aston Villa,Wolves,,nan,,,0.0,0.0,,nan,1.0,Wolves,Aston Villa vs Wolves,5
2,3,4.0,0.0,0.0,161,52.5,34.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '23.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '46.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.24'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '27.6'}]","[91, 117, 30, 35, 38, 215, 218]",True,123481.0,24.990000000000002,31.28,,,,,,,,,,,0.0,,,,5.0,3.0,2.0,3.0,0.01484598,0.01016549,-0.004680490000000001,Wolves,Aston Villa,5.0,Mario Lemina,MC,True,-27.556220870086037,0.0,-174.3533392081828,M. Lemina,1.0,Wolves,Aston Villa vs Wolves,5
3,4,4.5,0.0,3.0,161,24.990000000000002,31.28,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,105603.0,31.71,16.388,,,,,,5.0,,,,,0.05,,,,2.0,3.0,3.0,1.0,0.01016549,0.0105949,0.0004294100000000016,Wolves,Aston Villa,31.0,Sam Johnstone,GK,True,0.0,4.6797879218494955,-65.71277147619254,S. Johnstone,1.0,Wolves,Aston Villa vs Wolves,5
4,5,5.0,0.0,6.0,161,31.71,16.388,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.02'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '48.5'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '76.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '25.2'}]","[91, 119, 117, 127, 205, 36, 37, 217, 218]",True,105603.0,80.22000000000001,17.136,,,,,,,,,,,0.1,,,,3.0,1.0,9.0,1.0,0.0105949,0.02953272,0.018937819999999998,Wolves,Aston Villa,31.0,Sam Johnstone,GK,True,45.40239591616495,0.0,0.8834023287234669,S. Johnstone,1.0,Wolves,Aston Villa vs Wolves,5
5,6,5.5,0.0,8.0,161,80.22000000000001,17.136,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,333048.0,82.74,18.972,,,,,,6.0,,,,,0.13333333333333333,,,,9.0,2.0,9.0,2.0,0.02855202,0.02855202,0.0,Wolves,Aston Villa,9.0,Jorgen Strand Larsen,FW,True,0.0,3.1161074022583506,36.07601155636883,J. S. Larsen,1.0,Wolves,Aston Villa vs Wolves,5
6,7,6.0,0.0,10.0,161,82.74,18.972,0.0,FirstHalf,Aerial,Successful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 286, 'displayName': 'Offensive'}}]","[197, 199]",False,333048.0,,,,,,,,,,,,,0.16666666666666666,,,,,,,,,,,Wolves,Aston Villa,9.0,Jorgen Strand Larsen,FW,True,0.0,0.0,,J. S. Larsen,1.0,Wolves,Aston Villa vs Wolves,5
7,8,4.0,0.0,10.0,24,22.26,49.028,0.0,FirstHalf,Aerial,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '6'}, {'type': {'value': 285, 'displayName': 'Defensive'}}]","[198, 200]",False,344259.0,,,,,,,,,,,,,0.16666666666666666,,,,,,,,,,,Aston Villa,Wolves,14.0,Pau Torres,DC,True,0.0,0.0,,P. Torres,1.0,Wolves,Aston Villa vs Wolves,5
8,9,7.0,0.0,10.0,161,80.22000000000001,17.136,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.49'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '10.9'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '41.2'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '77.2'}]","[91, 119, 117, 30, 139, 205, 36, 37, 217, 218]",True,333048.0,81.06,28.016000000000005,,,,,,,,,,,0.16666666666666666,,,,9.0,2.0,9.0,3.0,0.02855202,0.03511326,0.0065612399999999994,Wolves,Aston Villa,9.0,Jorgen Strand Larsen,FW,True,5.297492379304675,0.0,85.58518675127284,J. S. Larsen,1.0,Wolves,Aston Villa vs Wolves,5
9,10,8.0,0.0,11.0,161,81.06,28.016000000000005,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '73.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '4.8'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.54'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '38.5'}]","[91, 119, 117, 30, 205, 35, 38, 217, 218]",True,123481.0,76.65,26.180000000000003,,,,,,,,,,,0.18333333333333332,,,,9.0,3.0,8.0,3.0,0.03511326,0.02385149,-0.01126177,Wolves,Aston Villa,5.0,Mario Lemina,MC,True,-4.732210846233706,0.0,-157.39674252381707,M. Lemina,1.0,Wolves,Aston Villa vs Wolves,5
