level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,15,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Chelsea,Bournemouth,,nan,,,0.0,0.0,,nan,1.0,Chelsea,Bournemouth vs Chelsea,4
1,2,3.0,0.0,0.0,183,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Bournemouth,Chelsea,,nan,,,0.0,0.0,,nan,1.0,Chelsea,Bournemouth vs Chelsea,4
2,3,4.0,0.0,0.0,15,52.605000000000004,33.932,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '33.2'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '18.7'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.02'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '55.7'}]","[91, 117, 127, 35, 37, 215, 218]",True,395692.0,19.635,37.876000000000005,,,,,,,,,,,0.0,,,,6.0,3.0,2.0,4.0,0.01689528,0.01016549,-0.006729789999999999,Chelsea,Bournemouth,20.0,Cole Palmer,AMC,True,-33.05790550678746,0.0,173.17847054530037,C. Palmer,1.0,Chelsea,Bournemouth vs Chelsea,4
3,4,5.0,0.0,4.0,15,19.425,36.924,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '32.8'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '68.1'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '54.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.01'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 120, 128, 36, 38, 217, 218]",True,362151.0,71.505,22.304,,,,,,,,,,,0.06666666666666667,,,,,,,,,,,Chelsea,Bournemouth,1.0,Robert Sanchez,GK,True,50.14661676073371,0.0,-15.680597586350451,R. Sanchez,1.0,Chelsea,Bournemouth vs Chelsea,4
4,5,4.0,0.0,7.0,183,24.675,47.804,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.67'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '32.5'}, {'type': {'value': 21, 'displayName': 'OtherBodyPart'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '60.5'}]","[91, 117, 30, 36, 38, 215, 218]",True,328330.0,34.125,41.14,,,,,,,,,,,0.11666666666666667,,,,2.0,5.0,3.0,4.0,0.01001304,0.01132376,0.0013107199999999996,Bournemouth,Chelsea,5.0,Marcos Senesi,DC,True,10.268754446094391,0.0,-35.19092361327323,M. Senesi,2.0,Bournemouth,Bournemouth vs Chelsea,4
5,6,5.0,0.0,8.0,183,35.910000000000004,39.1,0.0,FirstHalf,BallRecovery,Successful,[],[93],False,136456.0,,,,,,,,,,,,,0.13333333333333333,,,,,,,,,,,Bournemouth,Chelsea,4.0,Lewis Cook,DMC,True,0.0,0.0,,L. Cook,2.0,Bournemouth,Bournemouth vs Chelsea,4
6,7,6.0,0.0,8.0,183,36.225,39.1,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.52'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '10.6'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '51.7'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '25.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 35, 38, 215, 218]",True,136456.0,26.355000000000004,35.156000000000006,,,,,,,,,,,0.13333333333333333,,,,4.0,4.0,2.0,4.0,0.01262646,0.01016549,-0.0024609700000000016,Bournemouth,Chelsea,4.0,Lewis Cook,DMC,True,-9.689659910718262,0.0,-158.21861070204795,L. Cook,2.0,Bournemouth,Bournemouth vs Chelsea,4
7,8,6.5,0.0,9.5,183,26.355000000000004,35.156000000000006,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,399826.0,23.205000000000002,23.323999999999998,,,,,,7.0,,,,,0.15833333333333333,,,,3.0,4.0,2.0,2.0,0.01132376,0.01001304,-0.0013107199999999996,Bournemouth,Chelsea,27.0,Illia Zabarnyi,DC,True,0.0,-3.835285519270471,-104.90790565377323,I. Zabarnyi,2.0,Bournemouth,Bournemouth vs Chelsea,4
8,9,7.0,0.0,11.0,183,23.205000000000002,23.323999999999998,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '25.8'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.15'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '43.6'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '63.3'}]","[91, 120, 128, 36, 38, 216, 218]",True,399826.0,66.465,17.544,,,,,,,,,,,0.18333333333333332,,,,,,,,,,,Bournemouth,Chelsea,27.0,Illia Zabarnyi,DC,True,40.58715625999454,0.0,-7.6102586065422795,I. Zabarnyi,2.0,Bournemouth,Bournemouth vs Chelsea,4
9,10,6.0,0.0,13.0,15,39.480000000000004,54.74,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '69.1'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '19.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.88'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '54.8'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 120, 29, 139, 36, 38, 216, 218]",True,421351.0,57.54,46.988,,,,,,,,,,,0.21666666666666667,,,,,,,,,,,Chelsea,Bournemouth,6.0,Levi Colwill,DC,True,19.519138546446825,0.0,-23.230745601797377,L. Colwill,2.0,Bournemouth,Bournemouth vs Chelsea,4
