level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,23,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Newcastle,Bournemouth,,nan,,,0.0,0.0,,nan,1.0,Bournemouth,Bournemouth vs Newcastle,2
1,2,3.0,0.0,0.0,183,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Bournemouth,Newcastle,,nan,,,0.0,0.0,,nan,1.0,Bournemouth,Bournemouth vs Newcastle,2
2,3,4.0,0.0,0.0,183,52.5,34.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '50.8'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '49.1'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.65'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '1.0'}]","[91, 119, 117, 30, 36, 38, 216, 218]",True,384430.0,53.339999999999996,33.388000000000005,,,,,,,,,,,0.0,,,,6.0,3.0,6.0,3.0,0.01689528,0.01689528,0.0,Bournemouth,Newcastle,9.0,Evanilson,FW,True,0.8363750400729231,0.0,-36.076011556368485,Evanilson,1.0,Bournemouth,Bournemouth vs Newcastle,2
3,4,4.5,0.0,2.0,183,53.339999999999996,33.388000000000005,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,128882.0,56.385000000000005,32.300000000000004,,,,,,5.0,,,,,0.03333333333333333,,,,6.0,3.0,6.0,3.0,0.01689528,0.01689528,0.0,Bournemouth,Newcastle,10.0,Ryan Christie,DMC,True,0.0,3.0189107044193193,-19.662167524950643,R. Christie,1.0,Bournemouth,Bournemouth vs Newcastle,2
4,5,5.0,0.0,4.0,183,56.385000000000005,32.300000000000004,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '75.7'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '48.8'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '23.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.04'}]","[91, 120, 29, 36, 37, 217, 218]",True,128882.0,79.485,33.184,,,,,,,,,,,0.06666666666666667,,,,,,,,,,,Bournemouth,Newcastle,10.0,Ryan Christie,DMC,True,23.1166692657323,0.0,2.19154830783598,R. Christie,1.0,Bournemouth,Bournemouth vs Newcastle,2
5,6,4.0,0.0,5.0,23,25.305000000000003,37.400000000000006,0.0,FirstHalf,BallTouch,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]",[91],True,100599.0,,,,,,,,,,,,,0.08333333333333333,,,,,,,,,,,Newcastle,Bournemouth,17.0,Emil Krafth,DC,True,0.0,0.0,,E. Krafth,2.0,Newcastle,Bournemouth vs Newcastle,2
6,7,5.0,0.0,6.0,23,34.230000000000004,34.748000000000005,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '1.1'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '49.5'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '32.8'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.90'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 118, 120, 29, 36, 38, 215, 218]",True,338780.0,34.44,33.660000000000004,,,,,,,,,,,0.1,,,,,,,,,,,Newcastle,Bournemouth,39.0,Bruno Guimaraes,MC,True,0.21313370778761964,0.0,-79.07541386112493,B. Guimaraes,2.0,Newcastle,Bournemouth vs Newcastle,2
7,8,426.0,0.0,7.0,183,68.25,31.96,0.0,FirstHalf,BallTouch,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]",[91],True,357073.0,,,,,,,,,,,,,0.11666666666666667,,,,,,,,,,,Bournemouth,Newcastle,24.0,Antoine Semenyo,AMR,True,0.0,0.0,,A. Semenyo,2.0,Newcastle,Bournemouth vs Newcastle,2
8,9,461.0,0.0,7.0,23,45.045,22.644,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '10.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '45.5'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.19'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '37.3'}]","[91, 117, 30, 35, 37, 216, 218]",True,141486.0,39.165,30.94,,,,,,,,,,,0.11666666666666667,,,,5.0,2.0,4.0,3.0,0.01429128,0.01262646,-0.0016648199999999991,Newcastle,Bournemouth,23.0,Jacob Murphy,FWR,True,-4.885089547885386,0.0,125.3280728023503,J. Murphy,2.0,Newcastle,Bournemouth vs Newcastle,2
9,10,461.5,0.0,8.0,23,39.165,30.94,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,338780.0,40.425000000000004,27.268000000000004,,,,,,462.0,,,,,0.13333333333333333,,,,4.0,3.0,4.0,3.0,0.01262646,0.01262646,0.0,Newcastle,Bournemouth,39.0,Bruno Guimaraes,MC,True,0.0,0.981115643521818,-71.06099573975986,B. Guimaraes,2.0,Newcastle,Bournemouth vs Newcastle,2
