level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,189,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Brentford,Crystal Palace,,nan,,,0.0,0.0,,nan,1.0,Crystal Palace,Brentford vs Crystal Palace,1
1,2,3.0,0.0,0.0,162,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Crystal Palace,Brentford,,nan,,,0.0,0.0,,nan,1.0,Crystal Palace,Brentford vs Crystal Palace,1
2,3,4.0,0.0,0.0,162,52.5,34.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '53.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '2.2'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '49.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.92'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 35, 37, 216, 218]",True,108638.0,51.765,36.04,,,,,,,,,,,0.0,,,,6.0,3.0,6.0,4.0,0.01689528,0.01689528,0.0,Crystal Palace,Brentford,19.0,Will Hughes,MC,True,-0.7740727277350175,0.0,109.81379324549566,W. Hughes,1.0,Crystal Palace,Brentford vs Crystal Palace,1
3,4,5.0,0.0,3.0,162,54.075,35.428000000000004,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '62.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.72'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '18.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '35.8'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 117, 30, 35, 37, 216, 218]",True,332403.0,37.589999999999996,42.772000000000006,,,,,,,,,,,0.05,,,,6.0,4.0,4.0,5.0,0.01689528,0.01269174,-0.004203539999999999,Crystal Palace,Brentford,10.0,Eberechi Eze,AMC,True,-17.03333260329493,0.0,155.9872235885955,E. Eze,1.0,Crystal Palace,Brentford vs Crystal Palace,1
4,5,6.0,0.0,7.0,162,37.48500000000001,42.772000000000006,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.35'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '67.9'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '36.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '81.0'}]","[91, 120, 124, 128, 36, 37, 217, 218]",True,231135.0,71.29500000000002,55.080000000000005,,,,,,,,,,,0.11666666666666667,,,,,,,,,,,Crystal Palace,Brentford,5.0,Joachim Andersen,DC,True,28.328311220990138,0.0,20.003241713875255,J. Andersen,1.0,Crystal Palace,Brentford vs Crystal Palace,1
5,6,4.0,0.0,9.0,189,34.65,10.948000000000002,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '13.3'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.22'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '20.3'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '45.4'}]","[91, 117, 30, 139, 36, 37, 216, 218]",True,329554.0,47.67,13.804000000000002,,,,,,,,,,,0.15,,,,4.0,1.0,5.0,1.0,0.01214719,0.0138454,0.0016982100000000003,Brentford,Crystal Palace,30.0,Mads Roerslev,DR,True,13.247233806734108,0.0,12.372155250518233,M. Roerslev,2.0,Brentford,Brentford vs Crystal Palace,1
6,7,5.0,0.0,10.0,189,47.145,14.620000000000001,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.37'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 156, 'displayName': 'LayOff'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.7'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '37.6'}, {'type': {'value': 21, 'displayName': 'OtherBodyPart'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '34.2'}]","[91, 117, 30, 35, 37, 216, 218]",True,353377.0,35.910000000000004,25.568,,,,,,,,,,,0.16666666666666666,,,,5.0,1.0,4.0,3.0,0.0138454,0.01262646,-0.00121894,Brentford,Crystal Palace,19.0,Bryan Mbeumo,FWR,True,-8.588001585578276,0.0,135.7412420011481,B. Mbeumo,2.0,Brentford,Brentford vs Crystal Palace,1
7,8,6.0,0.0,14.0,189,35.805,25.568,0.0,FirstHalf,BallRecovery,Successful,[],[93],False,298689.0,,,,,,,,,,,,,0.23333333333333334,,,,,,,,,,,Brentford,Crystal Palace,27.0,Vitaly Janelt,MC,True,0.0,0.0,,V. Janelt,2.0,Brentford,Brentford vs Crystal Palace,1
8,9,7.0,0.0,14.0,189,34.230000000000004,26.656000000000002,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '9.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.68'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '57.2'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '27.5'}]","[91, 117, 30, 35, 37, 215, 218]",True,298689.0,9.555,38.89600000000001,,,,,,,,,,,0.23333333333333334,,,,4.0,3.0,1.0,4.0,0.01262646,0.01082722,-0.0017992400000000006,Brentford,Crystal Palace,27.0,Vitaly Janelt,MC,True,-24.42045819439612,0.0,153.61635229220227,V. Janelt,2.0,Brentford,Brentford vs Crystal Palace,1
9,10,8.0,0.0,26.0,189,7.455,35.02,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '18.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '32.6'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '95.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.18'}]","[91, 117, 127, 36, 37, 215, 218]",True,115131.0,19.845,65.212,,,,,,,,,,,0.43333333333333335,,,,0.0,4.0,2.0,7.0,0.00941056,0.00844854,-0.0009620200000000009,Brentford,Crystal Palace,1.0,Mark Flekken,GK,True,6.855443345950874,0.0,67.68804757530249,M. Flekken,2.0,Brentford,Brentford vs Crystal Palace,1
