level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,18,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Southampton,Brentford,,nan,,,0.0,0.0,,nan,1.0,Southampton,Brentford vs Southampton,2
1,2,3.0,0.0,0.0,189,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Brentford,Southampton,,nan,,,0.0,0.0,,nan,1.0,Southampton,Brentford vs Southampton,2
2,3,4.0,0.0,0.0,18,52.5,34.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '28.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.15'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '22.5'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '49.7'}]","[91, 117, 30, 35, 38, 215, 218]",True,390036.0,30.03,33.79600000000001,,,,,,,,,,,0.0,,,,6.0,3.0,3.0,3.0,0.01689528,0.01132376,-0.005571519999999998,Southampton,Brentford,8.0,Will Smallbone,MC,True,-22.470277550506637,0.0,-179.47983898963247,W. Smallbone,1.0,Southampton,Brentford vs Southampton,2
3,4,5.0,0.0,3.0,18,31.080000000000002,33.524,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '70.3'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '46.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '75.6'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.40'}]","[91, 120, 128, 36, 37, 217, 218]",True,316858.0,73.815,51.408,,,,,,,,,,,0.05,,,,,,,,,,,Southampton,Brentford,30.0,Aaron Ramsdale,GK,True,38.206792059623304,0.0,22.70862843023844,A. Ramsdale,1.0,Southampton,Brentford vs Southampton,2
4,5,4.0,0.0,7.0,189,30.135,15.164000000000001,0.0,FirstHalf,Aerial,Successful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '6'}, {'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[197, 200]",False,372724.0,,,,,,,,,,,,,0.11666666666666667,,,,,,,,,,,Brentford,Southampton,22.0,Nathan Collins,DC,True,0.0,0.0,,N. Collins,1.0,Southampton,Brentford vs Southampton,2
5,6,6.0,0.0,7.0,18,74.865,52.836000000000006,0.0,FirstHalf,Aerial,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '4'}, {'type': {'value': 286, 'displayName': 'Offensive'}}]","[198, 199]",False,342877.0,,,,,,,,,,,,,0.11666666666666667,,,,,,,,,,,Southampton,Brentford,7.0,Joe Aribo,MC,True,0.0,0.0,,J. Aribo,1.0,Southampton,Brentford vs Southampton,2
6,7,5.0,0.0,8.0,189,27.195,11.696,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '26.8'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '16.8'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '1.0'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.00'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 118, 120, 29, 139, 36, 38, 215, 218]",True,372724.0,28.14,11.424000000000001,,,,,,,,,,,0.13333333333333333,,,,,,,,,,,Brentford,Southampton,22.0,Nathan Collins,DC,True,0.831757546836883,0.0,-16.057442260839572,N. Collins,2.0,Brentford,Brentford vs Southampton,2
7,8,467.0,0.0,9.0,18,68.355,60.248,0.0,FirstHalf,BallTouch,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}]",[91],True,332839.0,,,,,,,,,,,,,0.15,,,,,,,,,,,Southampton,Brentford,17.0,Ben Brereton,FW,True,0.0,0.0,,B. Brereton,2.0,Brentford,Brentford vs Southampton,2
8,9,6.0,0.0,9.0,189,41.055,18.360000000000003,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '34.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '20.9'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '6.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.90'}]","[91, 117, 30, 35, 38, 216, 218]",True,296240.0,36.645,14.212,,,,,,,,,,,0.15,,,,4.0,2.0,4.0,1.0,0.01269174,0.01214719,-0.0005445499999999995,Brentford,Southampton,11.0,Yoane Wissa,FW,True,-5.331707133450422,0.0,-136.75354136472208,Y. Wissa,2.0,Brentford,Brentford vs Southampton,2
9,10,6.5,0.0,10.0,189,36.645,14.212,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,339674.0,40.635000000000005,14.212,,,,,,9.0,,,,,0.16666666666666666,,,,4.0,1.0,4.0,1.0,0.01214719,0.01214719,0.0,Brentford,Southampton,8.0,Mathias Jensen,MC,True,0.0,3.823494973695375,0.0,M. Jensen,2.0,Brentford,Brentford vs Southampton,2
