level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,165,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Ipswich,Brighton,,nan,,,0.0,0.0,,nan,1.0,Ipswich,Brighton vs Ipswich,4
1,2,3.0,0.0,0.0,211,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Brighton,Ipswich,,nan,,,0.0,0.0,,nan,1.0,Ipswich,Brighton vs Ipswich,4
2,3,4.0,0.0,0.0,165,52.395,34.068000000000005,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '41.2'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '30.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.42'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '21.8'}]","[91, 117, 30, 35, 38, 215, 218]",True,430908.0,31.5,28.016000000000005,,,,,,,,,,,0.0,,,,6.0,4.0,3.0,3.0,0.01689528,0.01132376,-0.005571519999999998,Ipswich,Brighton,20.0,Omari Hutchinson,AMC,True,-21.138147301626553,0.0,-163.84693950922497,O. Hutchinson,1.0,Ipswich,Brighton vs Ipswich,4
3,4,4.5,0.0,1.5,165,31.5,28.016000000000005,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,362426.0,32.13,24.752000000000002,,,,,,5.0,,,,,0.025,,,,3.0,3.0,3.0,2.0,0.01132376,0.01110462,-0.0002191399999999996,Ipswich,Brighton,1.0,Arijanet Muric,GK,True,0.0,0.28869919039129854,-79.07541386112456,A. Muric,1.0,Ipswich,Brighton vs Ipswich,4
4,5,5.0,0.0,3.0,165,32.13,24.752000000000002,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '46.8'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '68.4'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '72.8'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.56'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]","[91, 120, 128, 36, 37, 217, 218]",True,362426.0,71.82000000000001,49.504000000000005,,,,,,,,,,,0.05,,,,,,,,,,,Ipswich,Brighton,1.0,Arijanet Muric,GK,True,36.830914737507406,0.0,31.94903268168047,A. Muric,1.0,Ipswich,Brighton vs Ipswich,4
5,6,4.0,0.0,7.0,211,39.795,11.696,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '19.7'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.21'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '8.2'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '45.5'}]","[91, 117, 30, 139, 36, 37, 216, 218]",True,484175.0,47.775,13.396,,,,,,,,,,,0.11666666666666667,,,,4.0,1.0,5.0,1.0,0.01214719,0.0138454,0.0016982100000000003,Brighton,Ipswich,17.0,Yankuba Minteh,MR,True,8.09289455616237,0.0,12.026092419490634,Y. Minteh,2.0,Brighton,Brighton vs Ipswich,4
6,7,4.5,0.0,8.0,211,47.775,13.396,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,362433.0,41.37,17.34,,,,,,5.0,,,,,0.13333333333333333,,,,5.0,1.0,4.0,1.0,0.0138454,0.01214719,-0.0016982100000000003,Brighton,Ipswich,14.0,Georginio Rutter,FW,True,0.0,-4.953604085565907,148.3765291698572,G. Rutter,2.0,Brighton,Brighton vs Ipswich,4
7,8,5.0,0.0,9.0,211,41.37,17.34,0.0,FirstHalf,Aerial,Successful,"[{'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '6'}]","[197, 200]",False,362433.0,,,,,,,,,,,,,0.15,,,,,,,,,,,Brighton,Ipswich,14.0,Georginio Rutter,FW,True,0.0,0.0,,G. Rutter,2.0,Brighton,Brighton vs Ipswich,4
8,9,6.0,0.0,9.0,165,63.63,50.660000000000004,0.0,FirstHalf,Aerial,Unsuccessful,"[{'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '5'}]","[198, 199]",False,270446.0,,,,,,,,,,,,,0.15,,,,,,,,,,,Ipswich,Brighton,8.0,Kalvin Phillips,DMC,True,0.0,0.0,,K. Phillips,3.0,Ipswich,Brighton vs Ipswich,4
9,10,6.0,0.0,9.0,211,47.355000000000004,13.532,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '0.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '54.5'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '17.5'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.31'}]","[91, 120, 29, 139, 36, 38, 216, 218]",True,362433.0,57.225,0.0,,,,,,,,,,,0.15,,,,,,,,,,,Brighton,Ipswich,14.0,Georginio Rutter,FW,True,2.5326459931366188,0.0,-53.893654201791975,G. Rutter,3.0,Ipswich,Brighton vs Ipswich,4
