level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,211,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Brighton,Man Utd,,nan,,,0.0,0.0,,nan,1.0,Man Utd,Brighton vs Man Utd,2
1,2,3.0,0.0,0.0,32,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Man Utd,Brighton,,nan,,,0.0,0.0,,nan,1.0,Man Utd,Brighton vs Man Utd,2
2,3,4.0,0.0,0.0,32,52.71000000000001,33.932,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '13.6'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '44.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.40'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '37.7'}]","[91, 117, 30, 35, 38, 216, 218]",True,123761.0,39.58500000000001,30.464,,,,,,,,,,,0.0,,,,6.0,3.0,4.0,3.0,0.01689528,0.01262646,-0.004268819999999998,Man Utd,Brighton,8.0,Bruno Fernandes,FW,True,-13.220455103875125,0.0,-165.1990801794085,B. Fernandes,1.0,Man Utd,Brighton vs Man Utd,2
3,4,5.0,0.0,1.0,32,38.22,30.6,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '48.9'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '8.2'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '43.8'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.33'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 117, 30, 36, 37, 216, 218]",True,88526.0,45.99,33.252,,,,,,,,,,,0.016666666666666666,,,,4.0,3.0,5.0,3.0,0.01262646,0.01484598,0.002219519999999999,Man Utd,Brighton,18.0,Casemiro,DMC,True,7.851756277201716,0.0,18.84542693179724,Casemiro,1.0,Man Utd,Brighton vs Man Utd,2
4,5,6.0,0.0,2.0,32,45.99,33.252,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '45.8'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '37.6'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '6.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.45'}]","[91, 117, 30, 35, 38, 216, 218]",True,460260.0,39.480000000000004,31.144000000000002,,,,,,,,,,,0.03333333333333333,,,,5.0,3.0,4.0,3.0,0.01484598,0.01262646,-0.002219519999999999,Man Utd,Brighton,37.0,Kobbie Mainoo,DMC,True,-6.567476048569617,0.0,-162.05755291084134,K. Mainoo,1.0,Man Utd,Brighton vs Man Utd,2
5,6,7.0,0.0,3.0,32,38.43,33.932,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '69.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.90'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '14.2'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '32.2'}]","[91, 117, 30, 35, 37, 215, 218]",True,88526.0,33.81,47.39600000000001,,,,,,,,,,,0.05,,,,4.0,3.0,3.0,5.0,0.01262646,0.01110462,-0.00152184,Man Utd,Brighton,18.0,Casemiro,DMC,True,-5.869380755972131,0.0,108.93900426024005,Casemiro,1.0,Man Utd,Brighton vs Man Utd,2
6,7,7.5,0.0,4.5,32,33.81,47.39600000000001,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,340105.0,33.495,51.408,,,,,,8.0,,,,,0.07500000000000001,,,,3.0,5.0,3.0,6.0,0.01110462,0.0105949,-0.00050972,Man Utd,Brighton,6.0,Lisandro Martinez,DC,True,0.0,-1.1540861901167005,94.48933724181285,L. Martinez,1.0,Man Utd,Brighton vs Man Utd,2
7,8,8.0,0.0,6.0,32,33.495,51.408,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '49.7'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '25.0'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '15.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.92'}]","[91, 117, 30, 35, 38, 215, 218]",True,340105.0,15.75,33.79600000000001,,,,,,,,,,,0.1,,,,3.0,6.0,1.0,3.0,0.0105949,0.01082722,0.0002323199999999994,Man Utd,Brighton,6.0,Lisandro Martinez,DC,True,-15.65673146611384,0.0,-135.21552458447482,L. Martinez,1.0,Man Utd,Brighton vs Man Utd,2
8,9,8.5,0.0,9.5,32,15.75,33.79600000000001,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,260843.0,23.1,34.816,,,,,,9.0,,,,,0.15833333333333333,,,,1.0,3.0,2.0,4.0,0.01082722,0.01016549,-0.000661730000000001,Man Utd,Brighton,24.0,Andre Onana,GK,True,0.0,7.346168188485791,7.900789423839764,A. Onana,1.0,Man Utd,Brighton vs Man Utd,2
9,10,9.0,0.0,13.0,32,23.1,34.816,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.46'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '23.7'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '74.2'}]","[91, 117, 30, 36, 37, 215, 218]",True,260843.0,24.885,50.456,,,,,,,,,,,0.21666666666666667,,,,2.0,4.0,2.0,6.0,0.01016549,0.00942382,-0.0007416699999999998,Man Utd,Brighton,24.0,Andre Onana,GK,True,0.1164548838367665,0.0,83.48898055659936,A. Onana,1.0,Man Utd,Brighton vs Man Utd,2
