level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,162,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Crystal Palace,Chelsea,,nan,,,0.0,0.0,,nan,1.0,Crystal Palace,Chelsea vs Crystal Palace,2
1,2,3.0,0.0,0.0,15,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Chelsea,Crystal Palace,,nan,,,0.0,0.0,,nan,1.0,Crystal Palace,Chelsea vs Crystal Palace,2
2,3,4.0,0.0,0.0,162,52.5,34.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '65.5'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.63'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '21.5'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '32.1'}]","[91, 117, 30, 35, 37, 215, 218]",True,332403.0,33.705000000000005,44.540000000000006,,,,,,,,,,,0.0,,,,6.0,3.0,3.0,5.0,0.01689528,0.01110462,-0.005790659999999998,Crystal Palace,Chelsea,10.0,Eberechi Eze,AMC,True,-19.56988708885285,0.0,150.71683897902108,E. Eze,1.0,Crystal Palace,Chelsea vs Crystal Palace,2
3,4,5.0,0.0,4.0,162,33.705000000000005,43.52,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '76.4'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.82'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '29.8'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '52.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 1, 'displayName': 'Longball'}}]","[91, 120, 128, 36, 38, 217, 218]",True,374631.0,80.22000000000001,20.264000000000003,,,,,,,,,,,0.06666666666666667,,,,,,,,,,,Crystal Palace,Chelsea,6.0,Marc Guehi,DC,True,43.59537184583225,0.0,-26.5635730340642,M. Guehi,1.0,Crystal Palace,Chelsea vs Crystal Palace,2
4,5,4.0,0.0,7.0,15,28.455000000000002,42.636,0.0,FirstHalf,BallRecovery,Successful,[],[93],False,421351.0,,,,,,,,,,,,,0.11666666666666667,,,,,,,,,,,Chelsea,Crystal Palace,6.0,Levi Colwill,DC,True,0.0,0.0,,L. Colwill,2.0,Chelsea,Chelsea vs Crystal Palace,2
5,6,5.0,0.0,7.0,15,28.035,43.044000000000004,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.59'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '26.4'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '83.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '13.7'}]","[91, 117, 30, 35, 37, 215, 218]",True,421351.0,27.72,56.71200000000001,,,,,,,,,,,0.11666666666666667,,,,3.0,5.0,3.0,6.0,0.01110462,0.0105949,-0.00050972,Chelsea,Crystal Palace,6.0,Levi Colwill,DC,True,-3.0537800098775136,0.0,91.320235307305,L. Colwill,2.0,Chelsea,Chelsea vs Crystal Palace,2
6,7,6.0,0.0,9.0,15,27.195,57.528,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '62.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.61'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '43.6'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '23.7'}]","[91, 118, 120, 128, 36, 38, 216, 218]",True,363496.0,45.78,42.772000000000006,,,,,,,,,,,0.15,,,,,,,,,,,Chelsea,Crystal Palace,3.0,Marc Cucurella,DL,True,21.41843755091068,0.0,-38.44864864619155,M. Cucurella,2.0,Chelsea,Chelsea vs Crystal Palace,2
7,8,6.0,0.0,12.0,162,57.75,22.1,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '14.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.35'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '68.3'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '40.1'}]","[91, 120, 29, 139, 36, 37, 217, 218]",True,108638.0,71.715,27.268000000000004,,,,,,,,,,,0.2,,,,,,,,,,,Crystal Palace,Chelsea,19.0,Will Hughes,MC,True,14.766519766166866,0.0,20.30790196731078,W. Hughes,3.0,Crystal Palace,Chelsea vs Crystal Palace,2
8,9,7.0,0.0,14.0,15,39.58500000000001,36.856,0.0,FirstHalf,Interception,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 101, 56]",True,410175.0,,,,,,,,,,,,,0.23333333333333334,,,,,,,,,,,Chelsea,Crystal Palace,25.0,Moises Caicedo,DMC,True,0.0,0.0,,M. Caicedo,3.0,Crystal Palace,Chelsea vs Crystal Palace,2
9,10,7.0,0.0,15.0,162,58.065,43.044000000000004,0.0,FirstHalf,BallRecovery,Successful,[],[93],False,389579.0,,,,,,,,,,,,,0.25,,,,,,,,,,,Crystal Palace,Chelsea,3.0,Tyrick Mitchell,DML,True,0.0,0.0,,T. Mitchell,3.0,Crystal Palace,Chelsea vs Crystal Palace,2
