level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,162,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Crystal Palace,Leicester,,nan,,,0.0,0.0,,nan,1.0,Crystal Palace,Crystal Palace vs Leicester,4
1,2,3.0,0.0,0.0,14,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Leicester,Crystal Palace,,nan,,,0.0,0.0,,nan,1.0,Crystal Palace,Crystal Palace vs Leicester,4
2,3,4.0,0.0,0.0,162,52.5,34.34,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '31.6'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '60.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.79'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '20.6'}]","[91, 117, 30, 35, 37, 215, 218]",True,332403.0,33.18,41.412,,,,,,,,,,,0.0,,,,5.0,4.0,3.0,4.0,0.01484598,0.01132376,-0.0035222199999999995,Crystal Palace,Leicester,10.0,Eberechi Eze,AMC,True,-19.700354335354895,0.0,159.89507279562264,E. Eze,1.0,Crystal Palace,Crystal Palace vs Leicester,4
3,4,4.5,0.0,1.0,162,33.18,41.412,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,374993.0,36.75,38.48800000000001,,,,,,503.0,,,,,0.016666666666666666,,,,3.0,4.0,4.0,4.0,0.01132376,0.01262646,0.0013027000000000004,Crystal Palace,Leicester,28.0,Cheick Doucoure,MC,True,0.0,3.8040529570983495,-39.319109182033976,C. Doucoure,1.0,Crystal Palace,Crystal Palace vs Leicester,4
4,5,503.0,0.0,2.0,162,36.75,38.48800000000001,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '27.2'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '9.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '63.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.65'}]","[91, 117, 30, 35, 37, 215, 218]",True,374993.0,28.56,42.84,,,,,,,,,,,0.03333333333333333,,,,4.0,4.0,3.0,4.0,0.01262646,0.01132376,-0.0013027000000000004,Crystal Palace,Leicester,28.0,Cheick Doucoure,MC,True,-8.552056418443613,0.0,152.01472892845715,C. Doucoure,1.0,Crystal Palace,Crystal Palace vs Leicester,4
5,6,5.0,0.0,4.0,162,26.775000000000002,43.928,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.11'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '66.2'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '35.2'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '10.2'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 36, 37, 216, 218]",True,374631.0,36.96000000000001,45.016000000000005,,,,,,,,,,,0.06666666666666667,,,,2.0,5.0,4.0,5.0,0.01001304,0.01269174,0.002678699999999999,Crystal Palace,Leicester,6.0,Marc Guehi,DC,True,9.926491236952529,0.0,6.097427559286836,M. Guehi,1.0,Crystal Palace,Crystal Palace vs Leicester,4
6,7,5.5,0.0,5.0,162,36.96000000000001,45.016000000000005,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,374993.0,32.13,46.444,,,,,,6.0,,,,,0.08333333333333334,,,,4.0,5.0,3.0,5.0,0.01269174,0.01110462,-0.0015871199999999992,Crystal Palace,Leicester,28.0,Cheick Doucoure,MC,True,0.0,-4.998891805401485,163.52957156039145,C. Doucoure,1.0,Crystal Palace,Crystal Palace vs Leicester,4
7,8,6.0,0.0,6.0,162,32.13,46.444,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '90.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.64'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '29.6'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.2'}]","[91, 117, 30, 35, 37, 215, 218]",True,374993.0,31.080000000000002,61.608000000000004,,,,,,,,,,,0.1,,,,3.0,5.0,3.0,7.0,0.01110462,0.00977659,-0.0013280300000000009,Crystal Palace,Leicester,28.0,Cheick Doucoure,MC,True,-4.982443905363141,0.0,93.96100605477936,C. Doucoure,1.0,Crystal Palace,Crystal Palace vs Leicester,4
8,9,6.5,0.0,7.5,162,31.080000000000002,61.608000000000004,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,401130.0,27.72,64.328,,,,,,7.0,,,,,0.125,,,,3.0,7.0,3.0,7.0,0.00977659,0.00977659,0.0,Crystal Palace,Leicester,5.0,Maxence Lacroix,DC,True,0.0,-4.110647439325561,141.00900595749457,M. Lacroix,1.0,Crystal Palace,Crystal Palace vs Leicester,4
9,10,7.0,0.0,9.0,162,27.72,64.328,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '95.5'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.07'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '8.6'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '34.6'}]","[91, 117, 30, 36, 37, 216, 218]",True,401130.0,36.330000000000005,64.94,,,,,,,,,,,0.15,,,,3.0,7.0,4.0,7.0,0.00977659,0.01126267,0.0014860800000000007,Crystal Palace,Leicester,5.0,Maxence Lacroix,DC,True,7.699644846872019,0.0,4.065753941200844,M. Lacroix,1.0,Crystal Palace,Crystal Palace vs Leicester,4
10,11,8.0,0.0,11.0,162,34.230000000000004,65.28,0.0,FirstHalf,Dispossessed,Successful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '5'}, {'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 70]",True,389579.0,,,,,,,,,,,,,0.18333333333333332,,,,,,,,,,,Crystal Palace,Leicester,3.0,Tyrick Mitchell,DML,True,0.0,0.0,,T. Mitchell,1.0,Crystal Palace,Crystal Palace vs Leicester,4
11,12,5.0,0.0,11.0,14,70.77000000000001,2.72,0.0,FirstHalf,Tackle,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '8'}]","[91, 143]",True,301441.0,,,,,,,,,,,,,0.18333333333333332,,,,,,,,,,,Leicester,Crystal Palace,2.0,James Justin,DR,True,0.0,0.0,,J. Justin,2.0,Leicester,Crystal Palace vs Leicester,4
