level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,162,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Crystal Palace,West Ham,,nan,,,0.0,0.0,,nan,1.0,West Ham,Crystal Palace vs West Ham,2
1,2,3.0,0.0,0.0,29,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,West Ham,Crystal Palace,,nan,,,0.0,0.0,,nan,1.0,West Ham,Crystal Palace vs West Ham,2
2,3,4.0,0.0,0.0,29,52.92,34.272,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '14.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.06'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '37.1'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '52.1'}]","[91, 117, 30, 35, 37, 216, 218]",True,319756.0,38.955000000000005,35.428000000000004,,,,,,,,,,,0.0,,,,6.0,4.0,4.0,4.0,0.01689528,0.01262646,-0.004268819999999998,West Ham,Crystal Palace,10.0,Lucas Paqueta,MC,True,-13.9797257469682,0.0,175.26793726666978,L. Paqueta,1.0,West Ham,Crystal Palace vs West Ham,2
3,4,5.0,0.0,1.0,29,39.06,34.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '37.1'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '13.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.70'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '29.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 35, 38, 216, 218]",True,303876.0,38.955000000000005,20.264000000000003,,,,,,,,,,,0.016666666666666666,,,,4.0,3.0,4.0,2.0,0.01262646,0.01269174,6.527999999999916e-05,West Ham,Crystal Palace,24.0,Guido Rodriguez,DMC,True,-1.5182813374310484,0.0,-90.4379688172883,G. Rodriguez,1.0,West Ham,Crystal Palace vs West Ham,2
4,5,5.5,0.0,4.0,29,38.955000000000005,20.264000000000003,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,351127.0,42.315,14.824000000000002,,,,,,6.0,,,,,0.06666666666666667,,,,4.0,2.0,4.0,1.0,0.01269174,0.01214719,-0.0005445499999999995,West Ham,Crystal Palace,15.0,Konstantinos Mavropanos,DC,True,0.0,1.9057970137991873,-58.29857033049434,K. Mavropanos,1.0,West Ham,Crystal Palace vs West Ham,2
5,6,6.0,0.0,7.0,29,42.315,14.824000000000002,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '71.5'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '10.6'}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '33.6'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.05'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}]","[91, 120, 124, 128, 36, 38, 217, 218]",True,351127.0,75.075,7.208,,,,,,,,,,,0.11666666666666667,,,,,,,,,,,West Ham,Crystal Palace,15.0,Konstantinos Mavropanos,DC,True,25.386368143448344,0.0,-13.087571300861693,K. Mavropanos,1.0,West Ham,Crystal Palace vs West Ham,2
6,7,4.0,0.0,10.0,162,26.25,54.33200000000001,0.0,FirstHalf,Interception,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 15, 'displayName': 'Head'}}]","[91, 101, 56]",True,133464.0,,,,,,,,,,,,,0.16666666666666666,,,,,,,,,,,Crystal Palace,West Ham,8.0,Jefferson Lerma,MC,True,0.0,0.0,,J. Lerma,1.0,West Ham,Crystal Palace vs West Ham,2
7,8,7.0,0.0,11.0,29,70.35000000000001,7.888,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '92.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.05'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '27.0'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '13.4'}]","[91, 119, 117, 127, 205, 36, 37, 217, 218]",True,111372.0,97.33500000000001,9.112,,,,,,,,,,,0.18333333333333332,,,,8.0,0.0,11.0,0.0,0.02122129,0.0379259,0.016704609999999998,West Ham,Crystal Palace,5.0,Vladimir Coufal,DR,True,17.34571742308399,0.0,2.597072385116791,V. Coufal,1.0,West Ham,Crystal Palace vs West Ham,2
8,9,8.0,0.0,14.0,29,97.33500000000001,9.112,0.0,FirstHalf,BallTouch,Unsuccessful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}]","[91, 69]",True,69517.0,,,,,,,,,,,,,0.23333333333333334,,,,,,,,,,,West Ham,Crystal Palace,9.0,Michail Antonio,FW,True,0.0,0.0,,M. Antonio,1.0,West Ham,Crystal Palace vs West Ham,2
9,10,5.0,0.0,16.0,162,10.5,62.016000000000005,0.0,FirstHalf,BallRecovery,Successful,[],[93],False,133464.0,,,,,,,,,,,,,0.26666666666666666,,,,,,,,,,,Crystal Palace,West Ham,8.0,Jefferson Lerma,MC,True,0.0,0.0,,J. Lerma,2.0,Crystal Palace,Crystal Palace vs West Ham,2
10,11,6.0,0.0,17.0,162,10.5,62.628,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '8.4'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '3.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.78'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '84.7'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 35, 38, 215, 218]",True,133464.0,3.7800000000000002,57.596000000000004,,,,,,,,,,,0.2833333333333333,,,,1.0,7.0,0.0,6.0,0.00779616,0.00750072,-0.0002954400000000001,Crystal Palace,West Ham,8.0,Jefferson Lerma,MC,True,-5.192781212551111,0.0,-143.17378123230634,J. Lerma,2.0,Crystal Palace,Crystal Palace vs West Ham,2
11,12,7.0,0.0,18.0,162,2.415,56.37200000000001,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '27.6'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '93.5'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.26'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '27.5'}]","[91, 117, 127, 36, 37, 215, 218]",True,454342.0,28.980000000000004,63.580000000000005,,,,,,,,,,,0.3,,,,0.0,6.0,3.0,7.0,0.00750072,0.00977659,0.00227587,Crystal Palace,West Ham,34.0,Chadi Riad,DC,True,23.42397914773092,0.0,15.180815097741121,C. Riad,2.0,Crystal Palace,Crystal Palace vs West Ham,2
12,13,8.0,0.0,20.0,162,26.25,63.988,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '12.7'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '36.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '100.0'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.37'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 155, 'displayName': 'Chipped'}}]","[91, 118, 120, 29, 124, 36, 37, 216, 218]",True,332403.0,38.115,68.0,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,Crystal Palace,West Ham,10.0,Eberechi Eze,AMC,True,9.235815864821902,0.0,18.682317152294583,E. Eze,2.0,Crystal Palace,Crystal Palace vs West Ham,2
13,14,10.0,0.0,29.0,29,72.87,0.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '28.1'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '43.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '8.9'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 107, 'displayName': 'ThrowIn'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.90'}]","[91, 212, 35, 37, 216]",True,111372.0,45.57,6.0520000000000005,,,,,,,,,,,0.48333333333333334,,,,8.0,0.0,5.0,0.0,0.02122129,0.01248344,-0.00873785,West Ham,Crystal Palace,5.0,Vladimir Coufal,DR,True,-18.893889990802897,0.0,167.500528694608,V. Coufal,3.0,West Ham,Crystal Palace vs West Ham,2
14,15,11.0,0.0,33.0,29,44.94,6.256,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '38.5'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.77'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '22.9'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '42.2'}]","[91, 117, 30, 35, 37, 216, 218]",True,351127.0,40.425000000000004,28.696000000000005,,,,,,,,,,,0.55,,,,5.0,0.0,4.0,3.0,0.01248344,0.01262646,0.00014302000000000065,West Ham,Crystal Palace,15.0,Konstantinos Mavropanos,DC,True,1.3659329997302194,0.0,101.37620439095309,K. Mavropanos,3.0,West Ham,Crystal Palace vs West Ham,2
15,16,12.0,0.0,37.0,29,39.69,29.036000000000005,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '19.3'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '16.3'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.94'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '41.3'}]","[91, 117, 30, 36, 38, 216, 218]",True,368310.0,43.365,13.124,,,,,,,,,,,0.6166666666666667,,,,4.0,3.0,4.0,1.0,0.01262646,0.01214719,-0.0004792700000000004,West Ham,Crystal Palace,26.0,Maximilian Kilman,DC,True,0.42395349371503244,0.0,-76.99512744747496,M. Kilman,3.0,West Ham,Crystal Palace vs West Ham,2
16,17,13.0,0.0,39.0,29,43.365,13.124,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '5.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.5'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '47.2'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.28'}]","[91, 117, 30, 36, 38, 216, 218]",True,351127.0,49.56,3.4000000000000004,,,,,,,,,,,0.65,,,,4.0,1.0,5.0,0.0,0.01214719,0.01248344,0.00033624999999999974,West Ham,Crystal Palace,15.0,Konstantinos Mavropanos,DC,True,1.750229126526449,0.0,-57.49946024700725,K. Mavropanos,3.0,West Ham,Crystal Palace vs West Ham,2
17,18,14.0,0.0,41.0,29,49.56,3.4000000000000004,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '10.5'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.18'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '17.6'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '41.5'}]","[91, 117, 30, 35, 37, 216, 218]",True,111372.0,43.575,11.968000000000002,,,,,,,,,,,0.6833333333333333,,,,5.0,0.0,4.0,1.0,0.01248344,0.01214719,-0.00033624999999999974,West Ham,Crystal Palace,5.0,Vladimir Coufal,DR,True,-1.9325266737668017,0.0,124.93543179274813,V. Coufal,3.0,West Ham,Crystal Palace vs West Ham,2
18,19,14.5,0.0,42.0,29,43.575,11.968000000000002,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,351127.0,40.425000000000004,18.224,,,,,,15.0,,,,,0.7,,,,4.0,1.0,4.0,2.0,0.01214719,0.01269174,0.0005445499999999995,West Ham,Crystal Palace,15.0,Konstantinos Mavropanos,DC,True,0.0,-1.217430272680346,116.72601450655665,K. Mavropanos,3.0,West Ham,Crystal Palace vs West Ham,2
