level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,183,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Bournemouth,Everton,,nan,,,0.0,0.0,,nan,1.0,Bournemouth,Everton vs Bournemouth,2
1,2,3.0,0.0,0.0,31,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Everton,Bournemouth,,nan,,,0.0,0.0,,nan,1.0,Bournemouth,Everton vs Bournemouth,2
2,3,4.0,0.0,0.0,183,52.5,34.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '20.7'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '30.9'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '42.4'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.39'}]","[91, 117, 30, 35, 38, 215, 218]",True,331579.0,32.445,28.832,,,,,,,,,,,0.0,,,,6.0,3.0,3.0,3.0,0.01689528,0.01132376,-0.005571519999999998,Bournemouth,Everton,19.0,Justin Kluivert,AMC,True,-20.238822158459513,0.0,-165.54975361934032,J. Kluivert,1.0,Bournemouth,Everton vs Bournemouth,2
3,4,4.5,0.0,2.0,183,32.445,28.832,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,328330.0,36.75,29.240000000000002,,,,,,5.0,,,,,0.03333333333333333,,,,3.0,3.0,4.0,3.0,0.01132376,0.01262646,0.0013027000000000004,Bournemouth,Everton,5.0,Marcos Senesi,DC,True,0.0,4.323033775952368,5.413951892994472,M. Senesi,1.0,Bournemouth,Everton vs Bournemouth,2
4,5,5.0,0.0,4.0,183,36.75,29.240000000000002,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '0.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.80'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '64.5'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '89.5'}]","[91, 120, 128, 36, 38, 217, 218]",True,328330.0,93.97500000000001,0.0,,,,,,,,,,,0.06666666666666667,,,,,,,,,,,Bournemouth,Everton,5.0,Marcos Senesi,DC,True,32.67294819037916,0.0,-27.06546439259651,M. Senesi,1.0,Bournemouth,Everton vs Bournemouth,2
5,6,5.0,0.0,23.0,31,12.285,68.0,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 107, 'displayName': 'ThrowIn'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '97.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '37.2'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '26.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.19'}, {'type': {'value': 1, 'displayName': 'Longball'}}]","[91, 212, 36, 38, 216]",True,345516.0,39.06,66.572,,,,,,,,,,,0.3833333333333333,,,,,,,,,,,Everton,Bournemouth,19.0,Vitalii Mykolenko,DL,True,25.20654405395777,0.0,-3.052882514792422,V. Mykolenko,1.0,Bournemouth,Everton vs Bournemouth,2
6,7,7.0,0.0,28.0,183,62.79,2.108,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '6.0'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '3.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.00'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '65.5'}]","[91, 120, 128, 36, 216, 218]",True,399826.0,68.775,2.108,,,,,,,,,,,0.4666666666666667,,,,,,,,,,,Bournemouth,Everton,27.0,Illia Zabarnyi,DC,True,4.640189504299094,0.0,0.0,I. Zabarnyi,1.0,Bournemouth,Everton vs Bournemouth,2
7,8,6.0,0.0,30.0,31,43.365,63.376000000000005,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.9'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '96.7'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '52.4'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.20'}]","[91, 119, 117, 30, 36, 37, 216, 218]",True,366116.0,55.02,65.756,,,,,,,,,,,0.5,,,,5.0,7.0,6.0,7.0,0.01248344,0.01473596,0.002252519999999999,Everton,Bournemouth,10.0,Iliman Ndiaye,AML,True,9.062306984800124,0.0,11.541362523298002,I. Ndiaye,1.0,Bournemouth,Everton vs Bournemouth,2
8,9,7.0,0.0,31.0,31,55.33500000000001,65.756,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.88'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '82.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '25.7'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '75.2'}]","[91, 120, 29, 36, 38, 217, 218]",True,357427.0,78.96000000000001,55.760000000000005,,,,,,,,,,,0.5166666666666666,,,,,,,,,,,Everton,Bournemouth,7.0,Dwight McNeil,AMC,True,25.01467760817374,0.0,-22.933761859021573,D. McNeil,1.0,Bournemouth,Everton vs Bournemouth,2
9,10,8.0,0.0,34.0,183,21.21,14.280000000000001,0.0,FirstHalf,BallRecovery,Successful,[],[93],False,424273.0,,,,,,,,,,,,,0.5666666666666667,,,,,,,,,,,Bournemouth,Everton,3.0,Milos Kerkez,DL,True,0.0,0.0,,M. Kerkez,1.0,Bournemouth,Everton vs Bournemouth,2
