level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,31,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Everton,Brighton,,nan,,,0.0,0.0,,nan,1.0,Everton,Everton vs Brighton,1
1,2,3.0,0.0,0.0,211,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Brighton,Everton,,nan,,,0.0,0.0,,nan,1.0,Everton,Everton vs Brighton,1
2,3,4.0,0.0,0.0,31,52.71000000000001,33.79600000000001,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '43.1'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '24.2'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '27.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.30'}]","[91, 117, 30, 35, 38, 215, 218]",True,80464.0,25.41,29.308000000000003,,,,,,,,,,,0.0,,,,6.0,3.0,2.0,3.0,0.01689528,0.01016549,-0.006729789999999999,Everton,Brighton,27.0,Idrissa Gueye,DMC,True,-27.437783809637445,0.0,-170.6643296938535,I. Gueye,1.0,Everton,Everton vs Brighton,1
3,4,5.0,0.0,2.0,31,25.41,29.308000000000003,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '15.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.96'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '57.9'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '76.5'}]","[91, 120, 128, 36, 38, 217, 218]",True,110189.0,80.325,10.812000000000001,,,,,,,,,,,0.03333333333333333,,,,,,,,,,,Everton,Brighton,1.0,Jordan Pickford,GK,True,45.86760039803425,0.0,-18.61411382776653,J. Pickford,1.0,Everton,Everton vs Brighton,1
4,5,4.0,0.0,6.0,211,23.52,57.868,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '37.3'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '90.5'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '16.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.23'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 118, 120, 29, 139, 36, 37, 216, 218]",True,86441.0,39.165,61.540000000000006,,,,,,,,,,,0.1,,,,,,,,,,,Brighton,Everton,5.0,Lewis Dunk,DC,True,13.540750051102066,0.0,13.208672257462144,L. Dunk,1.0,Everton,Everton vs Brighton,1
5,6,6.0,0.0,8.0,31,64.89,7.004000000000001,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '14.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.36'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '74.9'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '18.0'}]","[91, 119, 117, 30, 139, 205, 36, 37, 217, 218]",True,8166.0,78.64500000000001,12.24,,,,,,,,,,,0.13333333333333333,,,,7.0,0.0,9.0,1.0,0.0174506,0.02953272,0.012082119999999998,Everton,Brighton,18.0,Ashley Young,DR,True,14.171454607210542,0.0,20.839906422837785,A. Young,1.0,Everton,Everton vs Brighton,1
6,7,7.0,0.0,9.0,31,79.69500000000001,12.784,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '68.6'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '8.1'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '14.9'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.47'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}]","[91, 119, 117, 30, 139, 205, 35, 38, 217, 218]",True,141469.0,72.03,10.132000000000001,,,,,,,,,,,0.15,,,,9.0,1.0,8.0,1.0,0.02953272,0.02401521,-0.00551751,Everton,Brighton,9.0,Dominic Calvert-Lewin,FW,True,-7.680469064015284,0.0,-160.91498074398314,D. Calvert-Lewin,1.0,Everton,Everton vs Brighton,1
7,8,8.0,0.0,12.0,31,72.87,8.772,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '14.2'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '78.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.49'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '0.0'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 120, 29, 36, 38, 217, 218]",True,317896.0,82.84500000000001,0.0,,,,,,,,,,,0.2,,,,,,,,,,,Everton,Brighton,11.0,Jack Harrison,AMR,True,0.26948646296737166,0.0,-41.32834873152552,J. Harrison,1.0,Everton,Everton vs Brighton,1
8,9,6.0,0.0,26.0,211,26.040000000000003,68.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.29'}, {'type': {'value': 107, 'displayName': 'ThrowIn'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '93.9'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '22.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '5.8'}]","[91, 212, 35, 38, 215]",True,469629.0,23.625,63.85200000000001,,,,,,,,,,,0.43333333333333335,,,,3.0,7.0,2.0,7.0,0.00977659,0.00844854,-0.0013280500000000008,Brighton,Everton,41.0,Jack Hinshelwood,DL,True,-0.7086775520180311,0.0,-120.20831906544441,J. Hinshelwood,2.0,Brighton,Everton vs Brighton,1
9,10,7.0,0.0,27.0,211,23.205000000000002,63.580000000000005,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '24.6'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '3.6'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '97.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.75'}]","[91, 117, 30, 36, 37, 215, 218]",True,365402.0,25.830000000000002,66.028,,,,,,,,,,,0.45,,,,2.0,7.0,2.0,7.0,0.00844854,0.00844854,0.0,Brighton,Everton,29.0,Jan Paul van Hecke,DC,True,1.5762445288850273,0.0,43.00172663666212,J. P. van Hecke,2.0,Brighton,Everton vs Brighton,1
