level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,14,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Leicester,Fulham,,nan,,,0.0,0.0,,nan,1.0,Leicester,Fulham vs Leicester,2
1,2,3.0,0.0,0.0,170,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Fulham,Leicester,,nan,,,0.0,0.0,,nan,1.0,Leicester,Fulham vs Leicester,2
2,3,4.0,0.0,0.0,14,52.815,33.932,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.75'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '41.8'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '40.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '10.9'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 117, 30, 35, 38, 216, 218]",True,106981.0,43.89,27.676000000000005,,,,,,,,,,,0.0,,,,6.0,3.0,5.0,3.0,0.01689528,0.01484598,-0.0020492999999999987,Leicester,Fulham,9.0,Jamie Vardy,FW,True,-9.251305490012776,0.0,-144.97137376277712,J. Vardy,1.0,Leicester,Fulham vs Leicester,2
3,4,5.0,0.0,0.0,14,43.89,27.676000000000005,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '40.1'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '49.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.85'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '6.5'}]","[91, 117, 30, 35, 37, 216, 218]",True,143990.0,42.105000000000004,33.932,,,,,,,,,,,0.0,,,,5.0,3.0,4.0,4.0,0.01484598,0.01262646,-0.002219519999999999,Leicester,Fulham,8.0,Harry Winks,MC,True,-1.458686965755355,0.0,105.92483029537637,H. Winks,1.0,Leicester,Fulham vs Leicester,2
4,5,6.0,0.0,1.0,14,42.105000000000004,34.204,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '6.8'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.64'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '39.6'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '40.3'}]","[91, 117, 30, 35, 38, 216, 218]",True,327683.0,41.580000000000005,27.404,,,,,,,,,,,0.016666666666666666,,,,4.0,4.0,4.0,3.0,0.01262646,0.01262646,0.0,Leicester,Fulham,6.0,Wilfred Ndidi,MC,True,-0.8667552024090455,0.0,-94.4148132487272,W. Ndidi,1.0,Leicester,Fulham vs Leicester,2
5,6,7.0,0.0,2.0,14,41.37,28.492,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '16.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '30.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '60.8'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.22'}]","[91, 117, 30, 35, 37, 215, 218]",True,143990.0,31.71,41.344,,,,,,,,,,,0.03333333333333333,,,,4.0,3.0,3.0,4.0,0.01262646,0.01132376,-0.0013027000000000004,Leicester,Fulham,8.0,Harry Winks,MC,True,-9.789083068284086,0.0,126.9297678220819,H. Winks,1.0,Leicester,Fulham vs Leicester,2
6,7,8.0,0.0,4.0,14,31.71,41.344,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '22.5'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '27.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.60'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '28.0'}]","[91, 117, 30, 35, 38, 215, 218]",True,299693.0,29.085,19.040000000000003,,,,,,,,,,,0.06666666666666667,,,,3.0,4.0,3.0,2.0,0.01132376,0.01110462,-0.0002191399999999996,Leicester,Fulham,3.0,Wout Faes,DC,True,-3.7179558731280054,0.0,-96.71237058154247,W. Faes,1.0,Leicester,Fulham vs Leicester,2
7,8,9.0,0.0,6.0,14,28.980000000000004,18.972,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.79'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '22.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '11.9'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '46.7'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 117, 30, 36, 38, 216, 218]",True,301441.0,49.035000000000004,8.092,,,,,,,,,,,0.1,,,,3.0,2.0,5.0,0.0,0.01110462,0.01248344,0.0013788199999999994,Leicester,Fulham,2.0,James Justin,DC,True,15.820221546442134,0.0,-28.480189828408992,J. Justin,1.0,Leicester,Fulham vs Leicester,2
8,9,9.5,0.0,7.5,14,49.035000000000004,8.092,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,430985.0,45.885000000000005,5.576,,,,,,10.0,,,,,0.125,,,,5.0,0.0,5.0,0.0,0.01248344,0.01248344,0.0,Leicester,Fulham,7.0,Abdul Fatawu,DMR,True,0.0,-3.922551281636437,-141.38458298171116,A. Fatawu,1.0,Leicester,Fulham vs Leicester,2
9,10,10.0,0.0,9.0,14,45.885000000000005,5.576,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '21.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '6.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.22'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '63.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 119, 117, 30, 36, 38, 216, 218]",True,430985.0,66.99,4.148,,,,,,,,,,,0.15,,,,5.0,0.0,7.0,0.0,0.01248344,0.0174506,0.00496716,Leicester,Fulham,7.0,Abdul Fatawu,DMR,True,17.262328053109258,0.0,-3.870829533597136,A. Fatawu,1.0,Leicester,Fulham vs Leicester,2
