level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,170,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Fulham,Newcastle,,nan,,,0.0,0.0,,nan,1.0,Fulham,Fulham vs Newcastle,5
1,2,3.0,0.0,0.0,23,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Newcastle,Fulham,,nan,,,0.0,0.0,,nan,1.0,Fulham,Fulham vs Newcastle,5
2,3,4.0,0.0,0.0,170,52.5,34.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.11'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '33.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '50.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '17.9'}]","[91, 117, 30, 35, 37, 215, 218]",True,243254.0,34.65,34.612,,,,,,,,,,,0.0,,,,5.0,3.0,3.0,4.0,0.01484598,0.01132376,-0.0035222199999999995,Fulham,Newcastle,18.0,Andreas Pereira,DMC,True,-17.85266195390193,0.0,178.03634246594802,A. Pereira,1.0,Fulham,Fulham vs Newcastle,5
3,4,5.0,0.0,5.0,170,34.65,34.612,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '81.5'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '74.5'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '48.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.45'}]","[91, 120, 128, 36, 37, 217, 218]",True,231135.0,78.22500000000001,55.42,,,,,,,,,,,0.08333333333333333,,,,,,,,,,,Fulham,Newcastle,5.0,Joachim Andersen,DC,True,36.06393166244903,0.0,25.52547916810828,J. Andersen,1.0,Fulham,Fulham vs Newcastle,5
4,5,4.0,0.0,6.0,23,28.455000000000002,11.356,0.0,FirstHalf,Aerial,Successful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '6'}, {'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[197, 200]",False,83078.0,,,,,,,,,,,,,0.1,,,,,,,,,,,Newcastle,Fulham,2.0,Kieran Trippier,DR,True,0.0,0.0,,K. Trippier,2.0,Newcastle,Fulham vs Newcastle,5
5,6,6.0,0.0,6.0,170,76.54500000000002,56.644000000000005,0.0,FirstHalf,Aerial,Unsuccessful,"[{'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}]","[198, 199]",False,108186.0,,,,,,,,,,,,,0.1,,,,,,,,,,,Fulham,Newcastle,7.0,Raul Jimenez,FW,True,0.0,0.0,,R. Jimenez,2.0,Newcastle,Fulham vs Newcastle,5
6,7,5.0,0.0,6.0,23,31.185000000000002,9.316,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.56'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.6'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '39.1'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '22.8'}]","[91, 117, 30, 139, 36, 37, 216, 218]",True,83078.0,41.055,15.504000000000001,,,,,,,,,,,0.1,,,,3.0,1.0,4.0,1.0,0.0105949,0.01214719,0.0015522899999999996,Newcastle,Fulham,2.0,Kieran Trippier,DR,True,11.266614397290851,0.0,32.08567023510631,K. Trippier,2.0,Newcastle,Fulham vs Newcastle,5
7,8,6.0,0.0,7.0,23,40.74,15.504000000000001,0.0,FirstHalf,BallRecovery,Successful,[],[93],False,342563.0,,,,,,,,,,,,,0.11666666666666667,,,,,,,,,,,Newcastle,Fulham,28.0,Joe Willock,MC,True,0.0,0.0,,J. Willock,2.0,Newcastle,Fulham vs Newcastle,5
8,9,7.0,0.0,8.0,23,42.839999999999996,15.844000000000001,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.57'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '5.8'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '14.8'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '40.0'}]","[91, 117, 30, 35, 38, 216, 218]",True,342563.0,42.0,10.064000000000002,,,,,,,,,,,0.13333333333333333,,,,4.0,1.0,4.0,1.0,0.01214719,0.01214719,0.0,Newcastle,Fulham,28.0,Joe Willock,MC,True,-2.6365731887966604,0.0,-98.26883278404355,J. Willock,2.0,Newcastle,Fulham vs Newcastle,5
9,10,8.0,0.0,10.0,23,41.895,10.064000000000002,0.0,FirstHalf,OffsidePass,Successful,"[{'type': {'value': 7, 'displayName': 'PlayerCaughtOffside'}, 'value': '299254'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '15.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '61.1'}]","[91, 216]",True,349669.0,64.155,10.268,,,,,,,,,,,0.16666666666666666,,,,,,,,,,,Newcastle,Fulham,10.0,Anthony Gordon,FWR,True,0.0,0.0,0.5250679162561265,A. Gordon,2.0,Newcastle,Fulham vs Newcastle,5
10,11,7.0,0.0,10.0,170,43.575,45.424,0.0,FirstHalf,OffsideProvoked,Successful,[],[62],False,396976.0,,,,,,,,,,,,,0.16666666666666666,,,,,,,,,,,Fulham,Newcastle,3.0,Calvin Bassey,DC,True,0.0,0.0,,C. Bassey,3.0,Fulham,Fulham vs Newcastle,5
11,12,8.0,0.0,20.0,170,35.28,42.976000000000006,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '17.3'}, {'type': {'value': 241, 'displayName': 'IndirectFreekickTaken'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.96'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '38.6'}, {'type': {'value': 5, 'displayName': 'FreekickTaken'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '37.7'}]","[91, 117, 30, 132, 36, 38, 216, 218]",True,396976.0,39.58500000000001,26.248,,,,,,,,,,,0.3333333333333333,,,,3.0,5.0,4.0,3.0,0.01110462,0.01262646,0.00152184,Fulham,Newcastle,3.0,Calvin Bassey,DC,True,4.422702712863739,0.0,-75.56793706386406,C. Bassey,3.0,Fulham,Fulham vs Newcastle,5
12,13,8.5,0.0,22.0,170,39.58500000000001,26.248,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,231135.0,56.910000000000004,22.983999999999998,,,,,,9.0,,,,,0.3666666666666667,,,,4.0,3.0,6.0,2.0,0.01262646,0.01685596,0.004229499999999999,Fulham,Newcastle,5.0,Joachim Andersen,DC,True,0.0,16.53713456807808,-10.6693662280944,J. Andersen,3.0,Fulham,Fulham vs Newcastle,5
13,14,9.0,0.0,24.0,170,56.910000000000004,22.983999999999998,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '33.2'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '16.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.26'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '69.6'}]","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,231135.0,73.08,22.576000000000004,,,,,,,,,,,0.4,,,,6.0,2.0,8.0,2.0,0.01685596,0.0241224,0.007266439999999999,Fulham,Newcastle,5.0,Joachim Andersen,DC,True,15.432872790770695,0.0,-1.4453753259136164,J. Andersen,3.0,Fulham,Fulham vs Newcastle,5
14,15,10.0,0.0,26.0,170,73.29,22.916000000000004,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '34.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.01'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '87.9'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '19.0'}]","[91, 120, 29, 36, 37, 217, 218]",True,243254.0,92.29500000000002,23.12,,,,,,,,,,,0.43333333333333335,,,,,,,,,,,Fulham,Newcastle,18.0,Andreas Pereira,DMC,True,16.864388376619374,0.0,0.6149902733466677,A. Pereira,3.0,Fulham,Fulham vs Newcastle,5
