level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,170,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Fulham,West Ham,,nan,,,0.0,0.0,,nan,1.0,West Ham,Fulham vs West Ham,4
1,2,3.0,0.0,0.0,29,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,West Ham,Fulham,,nan,,,0.0,0.0,,nan,1.0,West Ham,Fulham vs West Ham,4
2,3,4.0,0.0,0.0,29,52.5,34.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '45.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '20.8'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.28'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '30.4'}]","[91, 117, 30, 35, 38, 215, 218]",True,69517.0,31.919999999999998,31.144000000000002,,,,,,,,,,,0.0,,,,6.0,3.0,3.0,3.0,0.01689528,0.01132376,-0.005571519999999998,West Ham,Fulham,9.0,Michail Antonio,FW,True,-20.635785604586204,0.0,-172.0992105761602,M. Antonio,1.0,West Ham,Fulham vs West Ham,4
3,4,5.0,0.0,4.0,29,33.6,29.104,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '41.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.96'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '69.1'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '23.6'}]","[91, 120, 128, 36, 38, 217, 218]",True,351127.0,72.55499999999999,16.048000000000002,,,,,,,,,,,0.06666666666666667,,,,,,,,,,,West Ham,Fulham,15.0,Konstantinos Mavropanos,DC,True,34.48731636092251,0.0,-18.528882752788956,K. Mavropanos,1.0,West Ham,Fulham vs West Ham,4
4,5,4.0,0.0,7.0,170,29.925,48.348,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '71.0'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '6.2'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '34.4'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.27'}]","[91, 118, 120, 29, 139, 36, 38, 216, 218]",True,297395.0,36.12,48.28,,,,,,,,,,,0.11666666666666667,,,,,,,,,,,Fulham,West Ham,20.0,Sasa Lukic,DMC,True,6.089095502377546,0.0,-0.6288872547228173,S. Lukic,1.0,West Ham,Fulham vs West Ham,4
5,6,6.0,0.0,8.0,29,65.415,18.428,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '6.5'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '67.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '23.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.85'}]","[91, 119, 117, 30, 139, 205, 36, 38, 217, 218]",True,322596.0,71.29500000000002,15.708000000000002,,,,,,,,,,,0.13333333333333333,,,,7.0,2.0,8.0,1.0,0.01935132,0.02401521,0.004663889999999997,West Ham,Fulham,20.0,Jarrod Bowen,AMR,True,4.189021473197606,0.0,-24.8245547691833,J. Bowen,1.0,West Ham,Fulham vs West Ham,4
6,7,7.0,0.0,9.0,29,72.03,17.68,0.0,FirstHalf,Aerial,Successful,"[{'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]","[197, 199]",False,143595.0,,,,,,,,,,,,,0.15,,,,,,,,,,,West Ham,Fulham,28.0,Tomas Soucek,AMC,True,0.0,0.0,,T. Soucek,1.0,West Ham,Fulham vs West Ham,4
7,8,5.0,0.0,9.0,170,32.97,50.32,0.0,FirstHalf,Aerial,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '7'}, {'type': {'value': 285, 'displayName': 'Defensive'}}]","[198, 200]",False,297395.0,,,,,,,,,,,,,0.15,,,,,,,,,,,Fulham,West Ham,20.0,Sasa Lukic,DMC,True,0.0,0.0,,S. Lukic,1.0,West Ham,Fulham vs West Ham,4
8,9,8.0,0.0,10.0,29,71.29500000000002,15.708000000000002,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '6.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '73.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '25.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.25'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}]","[91, 119, 117, 30, 139, 205, 36, 37, 217, 218]",True,143595.0,77.07000000000001,17.204,,,,,,,,,,,0.16666666666666666,,,,8.0,1.0,8.0,1.0,0.02401521,0.02401521,0.0,West Ham,Fulham,28.0,Tomas Soucek,AMC,True,5.757455109883772,0.0,14.523092131093065,T. Soucek,1.0,West Ham,Fulham vs West Ham,4
9,10,9.0,0.0,13.0,29,77.07000000000001,17.204,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '84.1'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '14.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.64'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '37.6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]","[91, 120, 128, 36, 37, 217, 218]",True,69517.0,88.30499999999999,25.568,,,,,,,,,,,0.21666666666666667,,,,,,,,,,,West Ham,Fulham,9.0,Michail Antonio,FW,True,13.88774471691461,0.0,36.66618235881871,M. Antonio,1.0,West Ham,Fulham vs West Ham,4
