level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,165,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Ipswich,Fulham,,nan,,,0.0,0.0,,nan,1.0,Fulham,Ipswich vs Fulham,2
1,2,3.0,0.0,0.0,170,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Fulham,Ipswich,,nan,,,0.0,0.0,,nan,1.0,Fulham,Ipswich vs Fulham,2
2,3,4.0,0.0,0.0,170,52.395,33.932,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '32.6'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '18.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.92'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '55.8'}]","[91, 117, 30, 35, 37, 215, 218]",True,363686.0,34.230000000000004,37.944,,,,,,,,,,,0.0,,,,6.0,3.0,3.0,4.0,0.01689528,0.01132376,-0.005571519999999998,Fulham,Ipswich,32.0,Emile Smith Rowe,MC,True,-18.27477007328155,0.0,167.5453554889791,E. S. Rowe,1.0,Fulham,Ipswich vs Fulham,2
3,4,5.0,0.0,3.0,170,35.7,38.080000000000005,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '62.2'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '46.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.41'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '3.6'}]","[91, 119, 117, 127, 36, 38, 216, 218]",True,396976.0,65.31,2.4480000000000004,,,,,,,,,,,0.05,,,,4.0,4.0,7.0,0.0,0.01262646,0.0174506,0.004824139999999999,Fulham,Ipswich,3.0,Calvin Bassey,DC,True,18.716698292911936,0.0,-50.27360123024828,C. Bassey,1.0,Fulham,Ipswich vs Fulham,2
4,5,5.5,0.0,4.0,170,65.31,2.4480000000000004,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,140088.0,68.565,1.904,,,,,,6.0,,,,,0.06666666666666667,,,,7.0,0.0,7.0,0.0,0.0174506,0.0174506,0.0,Fulham,Ipswich,11.0,Adama Traore,FWR,True,0.0,2.1475354068843373,-9.488010261281927,A. Traore,1.0,Fulham,Ipswich vs Fulham,2
5,6,6.0,0.0,5.0,170,68.565,1.904,0.0,FirstHalf,Aerial,Successful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 286, 'displayName': 'Offensive'}}]","[197, 199]",False,140088.0,,,,,,,,,,,,,0.08333333333333333,,,,,,,,,,,Fulham,Ipswich,11.0,Adama Traore,FWR,True,0.0,0.0,,A. Traore,1.0,Fulham,Ipswich vs Fulham,2
6,7,4.0,0.0,5.0,165,36.435,66.096,0.0,FirstHalf,Aerial,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '6'}, {'type': {'value': 285, 'displayName': 'Defensive'}}]","[198, 200]",False,366211.0,,,,,,,,,,,,,0.08333333333333333,,,,,,,,,,,Ipswich,Fulham,3.0,Leif Davis,DL,True,0.0,0.0,,L. Davis,1.0,Fulham,Ipswich vs Fulham,2
7,8,7.0,0.0,6.0,170,65.31,2.4480000000000004,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '9.1'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.89'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '4.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '65.1'}]","[91, 119, 117, 30, 139, 36, 37, 216, 218]",True,140088.0,68.355,6.188000000000001,,,,,,,,,,,0.1,,,,7.0,0.0,7.0,0.0,0.0174506,0.0174506,0.0,Fulham,Ipswich,11.0,Adama Traore,FWR,True,4.699352213593492,0.0,50.84851399765989,A. Traore,1.0,Fulham,Ipswich vs Fulham,2
8,9,44.0,0.0,7.0,170,73.39500000000001,8.5,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '6.1'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '74.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.75'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '18.6'}]","[91, 119, 117, 30, 139, 205, 36, 37, 217, 218]",True,243254.0,77.80499999999999,12.648000000000001,,,,,,,,,,,0.11666666666666667,,,,8.0,0.0,8.0,1.0,0.02122129,0.02401521,0.0027939199999999983,Fulham,Ipswich,18.0,Andreas Pereira,MC,True,6.033777560402967,0.0,43.246458635278,A. Pereira,1.0,Fulham,Ipswich vs Fulham,2
9,10,9.0,0.0,8.0,170,73.08,6.800000000000001,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '64.6'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '11.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '5.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.95'}]","[91, 119, 117, 30, 35, 37, 216, 218]",True,403649.0,67.83,7.82,,,,,,,,,,,0.13333333333333333,,,,8.0,0.0,7.0,0.0,0.02122129,0.0174506,-0.00377069,Fulham,Ipswich,9.0,Rodrigo Muniz,FW,True,-3.527113928266097,0.0,169.00522265070788,R. Muniz,1.0,Fulham,Ipswich vs Fulham,2
