level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,165,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Ipswich,Liverpool,,nan,,,0.0,0.0,,nan,1.0,Liverpool,Ipswich vs Liverpool,1
1,2,3.0,0.0,0.0,26,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Liverpool,Ipswich,,nan,,,0.0,0.0,,nan,1.0,Liverpool,Ipswich vs Liverpool,1
2,3,4.0,0.0,0.0,26,52.71000000000001,34.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '48.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '27.6'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '23.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.17'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 117, 30, 35, 38, 215, 218]",True,369875.0,25.095,33.184,,,,,,,,,,,0.0,,,,6.0,3.0,2.0,3.0,0.01689528,0.01016549,-0.006729789999999999,Liverpool,Ipswich,8.0,Dominik Szoboszlai,AMC,True,-27.6191664391514,0.0,-178.30745045808015,D. Szoboszlai,1.0,Liverpool,Ipswich vs Liverpool,1
3,4,5.0,0.0,3.0,26,26.880000000000003,32.164,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.52'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '90.9'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '74.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '59.5'}]","[91, 119, 117, 127, 205, 36, 37, 217, 218]",True,114147.0,78.435,61.81200000000001,,,,,,,,,,,0.05,,,,3.0,3.0,9.0,7.0,0.01132376,0.02756312,0.01623936,Liverpool,Ipswich,1.0,Alisson Becker,GK,True,39.68111752423366,0.0,29.902138175799713,A. Becker,1.0,Liverpool,Ipswich vs Liverpool,1
4,5,5.5,0.0,4.5,26,78.435,61.81200000000001,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,235755.0,82.215,62.696000000000005,,,,,,6.0,,,,,0.07500000000000001,,,,9.0,7.0,9.0,7.0,0.02756312,0.02756312,0.0,Liverpool,Ipswich,20.0,Diogo Jota,FW,True,0.0,1.8187210154093165,13.162768890353883,D. Jota,1.0,Liverpool,Ipswich vs Liverpool,1
5,6,6.0,0.0,6.0,26,82.215,62.696000000000005,0.0,FirstHalf,Aerial,Successful,"[{'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '4'}]","[197, 199]",False,235755.0,,,,,,,,,,,,,0.1,,,,,,,,,,,Liverpool,Ipswich,20.0,Diogo Jota,FW,True,0.0,0.0,,D. Jota,1.0,Liverpool,Ipswich vs Liverpool,1
6,7,4.0,0.0,6.0,165,22.785,5.304,0.0,FirstHalf,Aerial,Unsuccessful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 285, 'displayName': 'Defensive'}}]","[198, 200]",False,299271.0,,,,,,,,,,,,,0.1,,,,,,,,,,,Ipswich,Liverpool,40.0,Axel Tuanzebe,DR,True,0.0,0.0,,A. Tuanzebe,1.0,Liverpool,Ipswich vs Liverpool,1
7,8,7.0,0.0,6.0,26,79.065,61.81200000000001,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.26'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '10.9'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '85.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '95.0'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}]","[91, 119, 117, 30, 139, 205, 36, 37, 217, 218]",True,235755.0,89.565,64.60000000000001,,,,,,,,,,,0.1,,,,9.0,7.0,10.0,7.0,0.02756312,0.03485072,0.007287600000000002,Liverpool,Ipswich,20.0,Diogo Jota,FW,True,3.75561001850199,0.0,14.87026619032584,D. Jota,1.0,Liverpool,Ipswich vs Liverpool,1
8,9,7.5,0.0,9.0,26,89.565,64.60000000000001,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,377168.0,95.44500000000001,59.704,,,,,,8.0,,,,,0.15000000000000002,,,,10.0,7.0,11.0,7.0,0.03485072,0.0379259,0.003075179999999997,Liverpool,Ipswich,7.0,Luis Diaz,AML,True,0.0,6.849924142311782,-39.78256074028419,L. Diaz,1.0,Liverpool,Ipswich vs Liverpool,1
9,10,8.0,0.0,12.0,26,95.44500000000001,59.704,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '6.2'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '87.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '95.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.23'}]","[91, 119, 117, 30, 205, 35, 37, 217, 218]",True,377168.0,91.665,64.60000000000001,,,,,,,,,,,0.2,,,,11.0,7.0,10.0,7.0,0.0379259,0.03485072,-0.003075179999999997,Liverpool,Ipswich,7.0,Luis Diaz,AML,True,-5.956865796534661,0.0,127.67025228324123,L. Diaz,1.0,Liverpool,Ipswich vs Liverpool,1
