level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,14,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Leicester,Aston Villa,,nan,,,0.0,0.0,,nan,1.0,Aston Villa,Leicester vs Aston Villa,2
1,2,3.0,0.0,0.0,24,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Aston Villa,Leicester,,nan,,,0.0,0.0,,nan,1.0,Aston Villa,Leicester vs Aston Villa,2
2,3,4.0,0.0,0.0,24,52.605000000000004,33.79600000000001,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '6.9'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '43.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.79'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '44.9'}]","[91, 117, 30, 35, 38, 216, 218]",True,362824.0,47.145,29.648000000000003,,,,,,,,,,,0.0,,,,6.0,3.0,5.0,3.0,0.01689528,0.01484598,-0.0020492999999999987,Aston Villa,Leicester,27.0,Morgan Rogers,FW,True,-5.6230562132867234,0.0,-142.77581025169684,M. Rogers,1.0,Aston Villa,Leicester vs Aston Villa,2
3,4,5.0,0.0,1.0,24,46.830000000000005,28.696000000000005,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '14.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.05'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '36.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '25.9'}]","[91, 117, 30, 35, 38, 216, 218]",True,136345.0,38.115,17.612000000000002,,,,,,,,,,,0.016666666666666666,,,,5.0,3.0,4.0,1.0,0.01484598,0.01214719,-0.0026987899999999995,Aston Villa,Leicester,8.0,Youri Tielemans,MC,True,-10.452102322451331,0.0,-128.17685460369057,Y. Tielemans,1.0,Aston Villa,Leicester vs Aston Villa,2
4,5,5.5,0.0,2.5,24,38.115,17.612000000000002,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,301440.0,29.505000000000003,21.42,,,,,,6.0,,,,,0.041666666666666664,,,,4.0,2.0,3.0,2.0,0.01269174,0.01110462,-0.0015871199999999992,Aston Villa,Leicester,4.0,Ezri Konsa,DC,True,0.0,-7.672534715769075,156.14132328599578,E. Konsa,1.0,Aston Villa,Leicester vs Aston Villa,2
5,6,6.0,0.0,4.0,24,29.505000000000003,21.42,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.75'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '23.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '69.6'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '26.3'}]","[91, 117, 30, 35, 37, 215, 218]",True,301440.0,24.885,47.328,,,,,,,,,,,0.06666666666666667,,,,3.0,2.0,2.0,5.0,0.01110462,0.01001304,-0.00109158,Aston Villa,Leicester,4.0,Ezri Konsa,DC,True,-4.680113926396302,0.0,100.11089355327476,E. Konsa,1.0,Aston Villa,Leicester vs Aston Villa,2
6,7,6.5,0.0,5.5,24,24.885,47.328,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '1'}",[],True,344259.0,31.815,60.044000000000004,,,,,,8.0,,,,,0.09166666666666667,,,,2.0,5.0,3.0,7.0,0.01001304,0.00977659,-0.0002364500000000009,Aston Villa,Leicester,14.0,Pau Torres,DC,True,0.0,3.535085677825151,61.410380214121986,P. Torres,1.0,Aston Villa,Leicester vs Aston Villa,2
7,8,4.0,0.0,7.0,14,76.44,8.84,0.0,FirstHalf,Challenge,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '7'}]",[55],False,327683.0,,,,,,,,,,,,,0.11666666666666667,,,,,,,,,,,Leicester,Aston Villa,6.0,Wilfred Ndidi,AMC,True,0.0,0.0,,W. Ndidi,1.0,Aston Villa,Leicester vs Aston Villa,2
8,9,7.0,0.0,7.0,24,28.56,59.160000000000004,0.0,FirstHalf,TakeOn,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '4'}, {'type': {'value': 285, 'displayName': 'Defensive'}}]","[91, 54]",True,344259.0,,,,,,,,,,,,,0.11666666666666667,,,,,,,,,,,Aston Villa,Leicester,14.0,Pau Torres,DC,True,0.0,0.0,,P. Torres,1.0,Aston Villa,Leicester vs Aston Villa,2
9,10,8.0,0.0,10.0,24,31.815,60.044000000000004,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '72.4'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '67.3'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '40.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.01'}]","[91, 120, 128, 36, 38, 217, 218]",True,344259.0,70.665,49.232000000000006,,,,,,,,,,,0.16666666666666666,,,,,,,,,,,Aston Villa,Leicester,14.0,Pau Torres,DC,True,40.11894747684645,0.0,-15.551946631314033,P. Torres,1.0,Aston Villa,Leicester vs Aston Villa,2
