level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,14,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Leicester,Everton,,nan,,,0.0,0.0,,nan,1.0,Everton,Leicester vs Everton,5
1,2,3.0,0.0,0.0,31,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Everton,Leicester,,nan,,,0.0,0.0,,nan,1.0,Everton,Leicester vs Everton,5
2,3,4.0,0.0,1.0,31,52.395,33.79600000000001,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '27.4'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '23.8'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '49.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.16'}]","[91, 117, 30, 35, 38, 215, 218]",True,357427.0,24.990000000000002,33.388000000000005,,,,,,,,,,,0.016666666666666666,,,,6.0,3.0,2.0,3.0,0.01689528,0.01016549,-0.006729789999999999,Everton,Leicester,7.0,Dwight McNeil,AMC,True,-27.406945022922564,0.0,-179.1470552398461,D. McNeil,1.0,Everton,Leicester vs Everton,5
3,4,5.0,0.0,3.0,31,24.990000000000002,33.388000000000005,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '71.6'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '56.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '12.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.82'}, {'type': {'value': 1, 'displayName': 'Longball'}}]","[91, 120, 128, 36, 38, 217, 218]",True,110189.0,75.17999999999999,8.568,,,,,,,,,,,0.05,,,,,,,,,,,Everton,Leicester,1.0,Jordan Pickford,GK,True,40.82026198580103,0.0,-26.313354084251152,J. Pickford,1.0,Everton,Leicester vs Everton,5
4,5,4.0,0.0,7.0,14,31.290000000000003,56.168,0.0,FirstHalf,Aerial,Successful,"[{'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[197, 200]",False,327683.0,,,,,,,,,,,,,0.11666666666666667,,,,,,,,,,,Leicester,Everton,6.0,Wilfred Ndidi,DMC,True,0.0,0.0,,W. Ndidi,1.0,Everton,Leicester vs Everton,5
5,6,6.0,0.0,7.0,31,73.71000000000001,11.832,0.0,FirstHalf,Aerial,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '4'}]","[198, 199]",False,141469.0,,,,,,,,,,,,,0.11666666666666667,,,,,,,,,,,Everton,Leicester,9.0,Dominic Calvert-Lewin,FW,True,0.0,0.0,,D. Calvert-Lewin,1.0,Everton,Leicester vs Everton,5
6,7,5.0,0.0,9.0,14,33.285000000000004,50.456,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '78.8'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '44.1'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '13.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.24'}]","[91, 118, 120, 29, 139, 36, 37, 216, 218]",True,327683.0,46.30500000000001,53.584,,,,,,,,,,,0.15,,,,,,,,,,,Leicester,Everton,6.0,Wilfred Ndidi,DMC,True,11.702835810276468,0.0,13.509047507731053,W. Ndidi,2.0,Leicester,Leicester vs Everton,5
7,8,7.0,0.0,10.0,31,62.580000000000005,9.996,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.20'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '19.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '75.3'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '16.8'}]","[91, 120, 29, 124, 36, 37, 217, 218]",True,131464.0,79.065,13.260000000000002,,,,,,,,,,,0.16666666666666666,,,,,,,,,,,Everton,Leicester,6.0,James Tarkowski,DC,True,15.532615431070312,0.0,11.199605688372415,J. Tarkowski,2.0,Leicester,Leicester vs Everton,5
8,9,6.0,0.0,12.0,14,34.125,49.368,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '42.4'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '13.7'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '85.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.71'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 124, 36, 37, 216, 218]",True,368312.0,44.52,58.276,,,,,,,,,,,0.2,,,,3.0,5.0,5.0,6.0,0.01110462,0.0138454,0.00274078,Leicester,Everton,5.0,Caleb Okoli,DC,True,7.351806903186102,0.0,40.594939191050486,C. Okoli,2.0,Leicester,Leicester vs Everton,5
9,10,7.0,0.0,13.0,14,44.31,58.480000000000004,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '79.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.64'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '4.2'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '41.9'}]","[91, 117, 30, 35, 38, 216, 218]",True,318750.0,43.995,54.33200000000001,,,,,,,,,,,0.21666666666666667,,,,5.0,6.0,4.0,6.0,0.0138454,0.01214719,-0.0016982100000000003,Leicester,Everton,10.0,Stephy Mavididi,AML,True,1.1372006360855238,0.0,-94.34271842036028,S. Mavididi,2.0,Leicester,Leicester vs Everton,5
