level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,14,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Leicester,Tottenham,,nan,,,0.0,0.0,,nan,1.0,Tottenham,Leicester vs Tottenham,1
1,2,3.0,0.0,0.0,30,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Tottenham,Leicester,,nan,,,0.0,0.0,,nan,1.0,Tottenham,Leicester vs Tottenham,1
2,3,4.0,0.0,0.0,30,52.5,34.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '10.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '39.6'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '49.2'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.19'}]","[91, 117, 30, 35, 38, 216, 218]",True,136459.0,41.580000000000005,33.456,,,,,,,,,,,0.0,,,,6.0,3.0,4.0,3.0,0.01689528,0.01262646,-0.004268819999999998,Tottenham,Leicester,19.0,Dominic Solanke,FW,True,-10.922333101203392,0.0,-177.148062432993,D. Solanke,1.0,Tottenham,Leicester vs Tottenham,1
3,4,4.5,0.0,1.5,30,41.580000000000005,33.456,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,303657.0,44.730000000000004,31.96,,,,,,5.0,,,,,0.025,,,,4.0,3.0,5.0,3.0,0.01262646,0.01484598,0.002219519999999999,Tottenham,Leicester,30.0,Rodrigo Bentancur,MC,True,0.0,3.117818344843741,-25.404007819133916,R. Bentancur,1.0,Tottenham,Leicester vs Tottenham,1
4,5,5.0,0.0,3.0,30,44.730000000000004,31.96,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '44.2'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '48.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.99'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '6.7'}]","[91, 117, 30, 36, 38, 216, 218]",True,303657.0,51.135000000000005,30.056000000000004,,,,,,,,,,,0.05,,,,5.0,3.0,5.0,3.0,0.01484598,0.01484598,0.0,Tottenham,Leicester,30.0,Rodrigo Bentancur,MC,True,6.295317752515949,0.0,-16.55551641106694,R. Bentancur,1.0,Tottenham,Leicester vs Tottenham,1
5,6,6.0,0.0,3.0,30,51.135000000000005,30.056000000000004,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '9.4'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.34'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '54.1'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '42.5'}]","[91, 117, 30, 35, 37, 216, 218]",True,403859.0,44.625,36.788000000000004,,,,,,,,,,,0.05,,,,5.0,3.0,5.0,4.0,0.01484598,0.01484598,0.0,Tottenham,Leicester,29.0,Pape Sarr,MC,True,-6.430140922708738,0.0,134.0395354485197,P. Sarr,1.0,Tottenham,Leicester vs Tottenham,1
6,7,7.0,0.0,5.0,30,44.625,36.788000000000004,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '61.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.83'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '28.2'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.8'}]","[91, 117, 30, 35, 37, 215, 218]",True,303657.0,29.61,41.548,,,,,,,,,,,0.08333333333333333,,,,5.0,4.0,3.0,4.0,0.01484598,0.01132376,-0.0035222199999999995,Tottenham,Leicester,30.0,Rodrigo Bentancur,MC,True,-15.327570443790876,0.0,162.41053538922938,R. Bentancur,1.0,Tottenham,Leicester vs Tottenham,1
7,8,7.5,0.0,7.5,30,29.61,41.548,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,425229.0,23.730000000000004,43.86000000000001,,,,,,8.0,,,,,0.125,,,,3.0,4.0,2.0,5.0,0.01132376,0.01001304,-0.0013107199999999996,Tottenham,Leicester,37.0,Micky van de Ven,DC,True,0.0,-6.099033876723013,158.53538289319064,M. v. de Ven,1.0,Tottenham,Leicester vs Tottenham,1
8,9,8.0,0.0,10.0,30,23.730000000000004,43.86000000000001,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '26.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '25.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.66'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '21.3'}]","[91, 117, 30, 35, 38, 215, 218]",True,425229.0,22.365000000000002,17.952,,,,,,,,,,,0.16666666666666666,,,,2.0,5.0,2.0,2.0,0.01001304,0.01001304,0.0,Tottenham,Leicester,37.0,Micky van de Ven,DC,True,-2.3129240377678855,0.0,-93.01592148466884,M. v. de Ven,1.0,Tottenham,Leicester vs Tottenham,1
9,10,8.5,0.0,12.5,30,22.365000000000002,17.952,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,323663.0,24.990000000000002,20.060000000000002,,,,,,9.0,,,,,0.20833333333333331,,,,2.0,2.0,2.0,2.0,0.01001304,0.01001304,0.0,Tottenham,Leicester,17.0,Cristian Romero,DC,True,0.0,2.9635740056088764,38.766123072953214,C. Romero,1.0,Tottenham,Leicester vs Tottenham,1
