level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,26,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Liverpool,Bournemouth,,nan,,,0.0,0.0,,nan,1.0,Bournemouth,Liverpool vs Bournemouth,5
1,2,3.0,0.0,0.0,183,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Bournemouth,Liverpool,,nan,,,0.0,0.0,,nan,1.0,Bournemouth,Liverpool vs Bournemouth,5
2,3,4.0,0.0,0.0,183,52.5,34.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '20.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.07'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '52.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '30.8'}]","[91, 117, 30, 35, 37, 215, 218]",True,331579.0,32.34,35.428000000000004,,,,,,,,,,,0.0,,,,6.0,3.0,3.0,4.0,0.01689528,0.01132376,-0.005571519999999998,Bournemouth,Liverpool,19.0,Justin Kluivert,AMC,True,-20.174031015212023,0.0,175.94831616217155,J. Kluivert,1.0,Bournemouth,Liverpool vs Bournemouth,5
3,4,5.0,0.0,3.0,183,32.97,35.428000000000004,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.35'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '37.6'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '71.1'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '65.0'}]","[91, 120, 128, 36, 37, 216, 218]",True,399826.0,68.25,48.348,,,,,,,,,,,0.05,,,,,,,,,,,Bournemouth,Liverpool,27.0,Illia Zabarnyi,DC,True,32.592568141292354,0.0,20.11339504463038,I. Zabarnyi,1.0,Bournemouth,Liverpool vs Bournemouth,5
4,5,4.0,0.0,6.0,26,28.56,13.872,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '13.8'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '42.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.00'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '16.2'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 118, 120, 29, 139, 36, 38, 216, 218]",True,345957.0,44.1,9.384,,,,,,,,,,,0.1,,,,,,,,,,,Liverpool,Bournemouth,5.0,Ibrahima Konate,DC,True,13.358806227979017,0.0,-16.10888081609186,I. Konate,1.0,Bournemouth,Liverpool vs Bournemouth,5
5,6,6.0,0.0,8.0,183,60.69,55.89600000000001,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.11'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '84.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '10.8'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '68.0'}]","[91, 120, 29, 139, 36, 37, 217, 218]",True,424273.0,71.4,57.120000000000005,,,,,,,,,,,0.13333333333333333,,,,,,,,,,,Bournemouth,Liverpool,3.0,Milos Kerkez,DL,True,8.638842248648231,0.0,6.5198017516569635,M. Kerkez,1.0,Bournemouth,Liverpool vs Bournemouth,5
6,7,5.0,0.0,10.0,26,27.825000000000003,8.908000000000001,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.90'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '38.1'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '13.1'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '5.9'}]","[91, 118, 120, 29, 139, 36, 38, 216, 218]",True,345957.0,40.005,4.0120000000000005,,,,,,,,,,,0.16666666666666666,,,,,,,,,,,Liverpool,Bournemouth,5.0,Ibrahima Konate,DC,True,9.572105190398958,0.0,-21.898669246121226,I. Konate,1.0,Bournemouth,Liverpool vs Bournemouth,5
7,8,7.0,0.0,11.0,183,59.64,57.25600000000001,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.22'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '83.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '67.4'}]","[91, 120, 29, 36, 38, 217, 218]",True,136456.0,70.77000000000001,56.508,,,,,,,,,,,0.18333333333333332,,,,,,,,,,,Bournemouth,Liverpool,4.0,Lewis Cook,DMC,True,10.007124194083815,0.0,-3.8448242747195986,L. Cook,1.0,Bournemouth,Liverpool vs Bournemouth,5
8,9,6.0,0.0,13.0,26,29.505000000000003,11.152,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.01'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '21.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '43.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '38.8'}]","[91, 117, 127, 36, 37, 216, 218]",True,345957.0,40.74,29.240000000000002,,,,,,,,,,,0.21666666666666667,,,,3.0,1.0,4.0,3.0,0.0105949,0.01262646,0.00203156,Liverpool,Bournemouth,5.0,Ibrahima Konate,DC,True,14.440596230697054,0.0,58.15434256419468,I. Konate,2.0,Liverpool,Liverpool vs Bournemouth,5
9,10,7.0,0.0,16.0,26,39.165,27.744,0.0,FirstHalf,Foul,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 13, 'displayName': 'Foul'}}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '8'}]","[91, 63]",True,377168.0,,,,,,,,,,,,,0.26666666666666666,,,,,,,,,,,Liverpool,Bournemouth,7.0,Luis Diaz,AML,True,0.0,0.0,,L. Diaz,2.0,Liverpool,Liverpool vs Bournemouth,5
10,11,8.0,0.0,16.0,183,65.83500000000001,40.25600000000001,0.0,FirstHalf,Foul,Unsuccessful,"[{'type': {'value': 13, 'displayName': 'Foul'}}, {'type': {'value': 55, 'displayName': 'RelatedEventId'}, 'value': '9'}, {'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '7'}]",[64],False,128882.0,,,,,,,,9.0,128882.0,,,,0.26666666666666666,,,,,,,,,,,Bournemouth,Liverpool,10.0,Ryan Christie,DMC,True,0.0,0.0,,R. Christie,2.0,Liverpool,Liverpool vs Bournemouth,5
11,12,9.0,0.0,24.0,183,0.0,0.0,0.0,FirstHalf,Card,Successful,"[{'type': {'value': 13, 'displayName': 'Foul'}, 'value': '243'}, {'type': {'value': 55, 'displayName': 'RelatedEventId'}, 'value': '8'}, {'type': {'value': 31, 'displayName': 'Yellow'}}]",[65],False,128882.0,,,,,,,,8.0,128882.0,,"{'value': 31, 'displayName': 'Yellow'}",,0.4,,,,,,,,,,,Bournemouth,Liverpool,10.0,Ryan Christie,DMC,True,0.0,0.0,,R. Christie,2.0,Liverpool,Liverpool vs Bournemouth,5
