level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,189,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Brentford,Liverpool,,nan,,,0.0,0.0,,nan,1.0,Brentford,Liverpool vs Brentford,2
1,2,3.0,0.0,0.0,26,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Liverpool,Brentford,,nan,,,0.0,0.0,,nan,1.0,Brentford,Liverpool vs Brentford,2
2,3,4.0,0.0,0.0,189,52.605000000000004,33.932,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.70'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '14.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '38.8'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '38.7'}]","[91, 117, 30, 35, 38, 216, 218]",True,296240.0,40.635000000000005,26.384,,,,,,,,,,,0.0,,,,6.0,3.0,4.0,3.0,0.01689528,0.01262646,-0.004268819999999998,Brentford,Liverpool,11.0,Yoane Wissa,FW,True,-12.418971958156561,0.0,-147.76543489616242,Y. Wissa,1.0,Brentford,Liverpool vs Brentford,2
3,4,5.0,0.0,1.0,189,40.74,26.452,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.84'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '41.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '18.5'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '11.9'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 36, 38, 216, 218]",True,101856.0,43.050000000000004,8.092,,,,,,,,,,,0.016666666666666666,,,,4.0,3.0,4.0,0.0,0.01262646,0.01126267,-0.0013637900000000001,Brentford,Liverpool,6.0,Christian Norgaard,MC,True,-2.4475119655781725,0.0,-82.82889817580609,C. Norgaard,1.0,Brentford,Liverpool vs Brentford,2
4,5,5.5,0.0,3.0,189,43.050000000000004,8.092,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,329554.0,41.895,18.768,,,,,,6.0,,,,,0.049999999999999996,,,,4.0,0.0,4.0,2.0,0.01126267,0.01269174,0.0014290699999999993,Brentford,Liverpool,30.0,Mads Roerslev,DR,True,0.0,2.2319962609311403,96.17461960688388,M. Roerslev,1.0,Brentford,Liverpool vs Brentford,2
5,6,6.0,0.0,5.0,189,41.895,18.768,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '32.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.97'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '20.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '20.8'}]","[91, 117, 30, 35, 37, 215, 218]",True,329554.0,21.419999999999998,22.236000000000004,,,,,,,,,,,0.08333333333333333,,,,4.0,2.0,2.0,2.0,0.01269174,0.01001304,-0.002678699999999999,Brentford,Liverpool,30.0,Mads Roerslev,DR,True,-19.48654697127415,0.0,170.38663478638577,M. Roerslev,1.0,Brentford,Liverpool vs Brentford,2
6,7,7.0,0.0,7.0,189,21.419999999999998,22.236000000000004,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '52.5'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '17.6'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '9.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.27'}]","[91, 117, 30, 35, 37, 215, 218]",True,372724.0,10.08,35.7,,,,,,,,,,,0.11666666666666667,,,,2.0,2.0,0.0,4.0,0.01001304,0.00941056,-0.0006024800000000007,Brentford,Liverpool,22.0,Nathan Collins,DC,True,-10.531382781451043,0.0,130.10562480122488,N. Collins,1.0,Brentford,Liverpool vs Brentford,2
7,8,8.0,0.0,9.0,189,9.975,35.7,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.96'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '96.3'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '36.3'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '29.3'}]","[91, 117, 127, 36, 37, 215, 218]",True,115131.0,30.765,65.48400000000001,,,,,,,,,,,0.15,,,,0.0,4.0,3.0,7.0,0.00941056,0.00977659,0.00036602999999999983,Brentford,Liverpool,1.0,Mark Flekken,GK,True,14.40474486416801,0.0,55.083965769373734,M. Flekken,1.0,Brentford,Liverpool vs Brentford,2
8,9,9.0,0.0,21.0,189,78.54,52.29200000000001,0.0,FirstHalf,BallTouch,Unsuccessful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]","[91, 69]",True,321085.0,,,,,,,,,,,,,0.35,,,,,,,,,,,Brentford,Liverpool,20.0,Kristoffer Ajer,DL,True,0.0,0.0,,K. Ajer,1.0,Brentford,Liverpool vs Brentford,2
9,10,5.0,0.0,22.0,26,8.925,8.024000000000001,0.0,FirstHalf,BallTouch,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 69]",True,318871.0,,,,,,,,,,,,,0.36666666666666664,,,,,,,,,,,Liverpool,Brentford,66.0,Trent Alexander-Arnold,DR,True,0.0,0.0,,T. Alexander-Arnold,1.0,Brentford,Liverpool vs Brentford,2
