level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,26,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Liverpool,Nottingham Forest,,nan,,,0.0,0.0,,nan,1.0,Nottingham Forest,Liverpool vs Nottingham Forest,4
1,2,3.0,0.0,0.0,174,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Nottingham Forest,Liverpool,,nan,,,0.0,0.0,,nan,1.0,Nottingham Forest,Liverpool vs Nottingham Forest,4
2,3,4.0,0.0,0.0,174,52.29,34.136,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '26.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.17'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '49.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '25.0'}]","[91, 117, 30, 35, 38, 215, 218]",True,402596.0,26.25,33.388000000000005,,,,,,,,,,,0.0,,,,5.0,4.0,2.0,3.0,0.01484598,0.01016549,-0.004680490000000001,Nottingham Forest,Liverpool,8.0,Elliot Anderson,AML,True,-26.042202570951545,0.0,-178.35462898079538,E. Anderson,1.0,Nottingham Forest,Liverpool vs Nottingham Forest,4
3,4,4.5,0.0,1.5,174,26.25,33.388000000000005,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,78386.0,29.400000000000002,27.200000000000003,,,,,,5.0,,,,,0.025,,,,2.0,3.0,3.0,3.0,0.01016549,0.01132376,0.0011582700000000012,Nottingham Forest,Liverpool,26.0,Matz Sels,GK,True,0.0,2.847173983570258,-63.021641081172525,M. Sels,1.0,Nottingham Forest,Liverpool vs Nottingham Forest,4
4,5,5.0,0.0,3.0,174,29.400000000000002,27.200000000000003,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '5.5'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.86'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '77.1'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '56.6'}]","[91, 119, 117, 127, 205, 36, 38, 217, 218]",True,78386.0,80.955,3.74,,,,,,,,,,,0.05,,,,3.0,3.0,9.0,0.0,0.01132376,0.02756312,0.01623936,Nottingham Forest,Liverpool,26.0,Matz Sels,GK,True,37.255111864427256,0.0,-24.467813893394037,M. Sels,1.0,Nottingham Forest,Liverpool vs Nottingham Forest,4
5,6,7.0,0.0,8.0,174,82.74,3.74,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '18.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.20'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '9.2'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '82.0'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}]","[91, 120, 29, 139, 36, 37, 217, 218]",True,73380.0,86.10000000000001,12.308000000000002,,,,,,,,,,,0.13333333333333333,,,,,,,,,,,Nottingham Forest,Liverpool,11.0,Chris Wood,FW,True,8.794917399777699,0.0,68.58703052512816,C. Wood,1.0,Nottingham Forest,Liverpool vs Nottingham Forest,4
6,7,4.0,0.0,9.0,26,20.37,56.37200000000001,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '35.8'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.10'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '73.3'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '52.9'}, {'type': {'value': 1, 'displayName': 'Longball'}}]","[91, 120, 128, 36, 38, 216, 218]",True,345319.0,55.545,49.844,,,,,,,,,,,0.15,,,,,,,,,,,Liverpool,Nottingham Forest,10.0,Alexis Mac Allister,DMC,True,35.606090839338705,0.0,-10.513698580587754,A. M. Allister,1.0,Nottingham Forest,Liverpool vs Nottingham Forest,4
7,8,8.0,0.0,13.0,174,47.46000000000001,17.748,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '8.4'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.40'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.6'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '54.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}]","[91, 119, 117, 30, 139, 36, 38, 216, 218]",True,445424.0,57.435,5.712000000000001,,,,,,,,,,,0.21666666666666667,,,,5.0,2.0,6.0,0.0,0.01429128,0.01473596,0.0004446799999999994,Nottingham Forest,Liverpool,5.0,Murillo,DC,True,4.450003497672888,0.0,-50.349293403850155,Murillo,1.0,Nottingham Forest,Liverpool vs Nottingham Forest,4
8,9,9.0,0.0,15.0,174,57.435,7.072000000000001,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '13.0'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.16'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '65.3'}]","[91, 119, 117, 127, 36, 37, 216, 218]",True,315543.0,68.565,8.84,,,,,,,,,,,0.25,,,,6.0,0.0,7.0,0.0,0.01473596,0.0174506,0.002714640000000001,Nottingham Forest,Liverpool,34.0,Ola Aina,DR,True,10.380525247648997,0.0,9.026017446415267,O. Aina,1.0,Nottingham Forest,Liverpool vs Nottingham Forest,4
9,10,10.0,0.0,16.0,174,70.14,6.732000000000001,0.0,FirstHalf,Aerial,Successful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '5'}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}]","[197, 199]",False,334653.0,,,,,,,,,,,,,0.26666666666666666,,,,,,,,,,,Nottingham Forest,Liverpool,16.0,Nicolas Dominguez,AMR,True,0.0,0.0,,N. Dominguez,1.0,Nottingham Forest,Liverpool vs Nottingham Forest,4
