level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,189,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Brentford,Man City,,nan,,,0.0,0.0,,nan,1.0,Brentford,Man City vs Brentford,4
1,2,3.0,0.0,0.0,167,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Man City,Brentford,,nan,,,0.0,0.0,,nan,1.0,Brentford,Man City vs Brentford,4
2,3,4.0,0.0,0.0,189,52.5,34.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '22.5'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '51.6'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '28.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.10'}]","[91, 117, 30, 35, 37, 215, 218]",True,401168.0,23.625,35.088,,,,,,,,,,,0.0,,,,6.0,3.0,2.0,4.0,0.01689528,0.01016549,-0.006729789999999999,Brentford,Man City,24.0,Mikkel Damsgaard,MC,True,-28.882273063610114,0.0,177.84213569810868,M. Damsgaard,1.0,Brentford,Man City vs Brentford,4
3,4,4.5,0.0,2.0,189,23.625,35.088,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,115131.0,27.825000000000003,30.328000000000003,,,,,,5.0,,,,,0.03333333333333333,,,,2.0,4.0,3.0,3.0,0.01016549,0.01132376,0.0011582700000000012,Brentford,Man City,1.0,Mark Flekken,GK,True,0.0,4.119965247961744,-48.57633437499732,M. Flekken,1.0,Brentford,Man City vs Brentford,4
4,5,5.0,0.0,4.0,189,27.825000000000003,30.328000000000003,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '72.1'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '52.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '14.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.88'}]","[91, 119, 117, 127, 205, 36, 38, 217, 218]",True,115131.0,75.705,10.064000000000002,,,,,,,,,,,0.06666666666666667,,,,3.0,3.0,8.0,0.0,0.01132376,0.02122129,0.00989753,Brentford,Man City,1.0,Mark Flekken,GK,True,39.432040555159716,0.0,-22.939282981734692,M. Flekken,1.0,Brentford,Man City vs Brentford,4
5,6,6.0,0.0,8.0,189,77.91000000000001,8.568,0.0,FirstHalf,Aerial,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '4'}]","[197, 199]",False,321085.0,,,,,,,,,,,,,0.13333333333333333,,,,,,,,,,,Brentford,Man City,20.0,Kristoffer Ajer,DR,True,0.0,0.0,,K. Ajer,1.0,Brentford,Man City vs Brentford,4
6,7,4.0,0.0,8.0,167,27.090000000000003,59.43200000000001,0.0,FirstHalf,Aerial,Unsuccessful,"[{'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '6'}]","[198, 200]",False,113069.0,,,,,,,,,,,,,0.13333333333333333,,,,,,,,,,,Man City,Brentford,10.0,Jack Grealish,AML,True,0.0,0.0,,J. Grealish,1.0,Brentford,Man City vs Brentford,4
7,8,7.0,0.0,8.0,189,75.705,10.064000000000002,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '7.1'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '71.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '25.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.60'}]","[91, 120, 29, 139, 35, 37, 217, 218]",True,321085.0,75.495,17.204,,,,,,,,,,,0.13333333333333333,,,,,,,,,,,Brentford,Man City,20.0,Kristoffer Ajer,DR,True,3.8795582693644803,0.0,91.68468431789624,K. Ajer,1.0,Brentford,Man City vs Brentford,4
8,9,5.0,0.0,9.0,167,32.865,49.300000000000004,0.0,FirstHalf,BallTouch,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 69]",True,77464.0,,,,,,,,,,,,,0.15,,,,,,,,,,,Man City,Brentford,19.0,Ilkay Gundogan,DMC,True,0.0,0.0,,I. Gundogan,1.0,Brentford,Man City vs Brentford,4
9,10,8.0,0.0,10.0,189,72.24,18.632,0.0,FirstHalf,TakeOn,Unsuccessful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '6'}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]","[91, 53]",True,401168.0,,,,,,,,,,,,,0.16666666666666666,,,,,,,,,,,Brentford,Man City,24.0,Mikkel Damsgaard,MC,True,0.0,0.0,,M. Damsgaard,1.0,Brentford,Man City vs Brentford,4
