level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,167,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Man City,Ipswich,,nan,,,0.0,0.0,,nan,1.0,Ipswich,Man City vs Ipswich,2
1,2,3.0,0.0,0.0,165,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Ipswich,Man City,,nan,,,0.0,0.0,,nan,1.0,Ipswich,Man City vs Ipswich,2
2,3,4.0,0.0,0.0,165,52.605000000000004,34.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '42.7'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '18.5'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '33.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.41'}]","[91, 117, 30, 35, 38, 215, 218]",True,430908.0,34.755,29.036000000000005,,,,,,,,,,,0.0,,,,6.0,3.0,3.0,3.0,0.01689528,0.01132376,-0.005571519999999998,Ipswich,Man City,20.0,Omari Hutchinson,MR,True,-18.025176945247736,0.0,-164.45900419641242,O. Hutchinson,1.0,Ipswich,Man City vs Ipswich,2
3,4,5.0,0.0,2.0,165,34.65,28.424,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '60.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '36.9'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '75.3'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.66'}]","[91, 120, 128, 36, 37, 216, 218]",True,362426.0,63.73500000000001,51.204,,,,,,,,,,,0.03333333333333333,,,,,,,,,,,Ipswich,Man City,1.0,Arijanet Muric,GK,True,25.86293993187659,0.0,38.06881396586401,A. Muric,1.0,Ipswich,Man City vs Ipswich,2
4,5,4.0,0.0,4.0,167,44.83500000000001,11.968000000000002,0.0,FirstHalf,BallRecovery,Successful,[],[93],False,397821.0,,,,,,,,,,,,,0.06666666666666667,,,,,,,,,,,Man City,Ipswich,26.0,Savinho,AMR,True,0.0,0.0,,Savinho,2.0,Man City,Man City vs Ipswich,2
5,6,5.0,0.0,6.0,167,45.675000000000004,11.968000000000002,0.0,FirstHalf,BallTouch,Unsuccessful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 69]",True,397821.0,,,,,,,,,,,,,0.1,,,,,,,,,,,Man City,Ipswich,26.0,Savinho,AMR,True,0.0,0.0,,Savinho,2.0,Man City,Man City vs Ipswich,2
6,7,6.0,0.0,7.0,165,50.61000000000001,54.196000000000005,0.0,FirstHalf,Clearance,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '100.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '50.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.38'}]","[91, 94, 95, 216]",True,110555.0,53.445,68.0,,,,,,,,,,,0.11666666666666667,,,,,,,,,,,Ipswich,Man City,25.0,Massimo Luongo,MC,True,0.0,0.0,78.39424197017564,M. Luongo,2.0,Man City,Man City vs Ipswich,2
7,8,7.0,0.0,12.0,167,38.745,0.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '23.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 107, 'displayName': 'ThrowIn'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '14.4'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.46'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '17.7'}]","[91, 212, 35, 37, 215]",True,444791.0,24.990000000000002,9.792000000000002,,,,,,,,,,,0.2,,,,4.0,0.0,2.0,1.0,0.01126267,0.00942382,-0.0018388500000000012,Man City,Ipswich,82.0,Rico Lewis,DMC,True,-9.122404461032119,0.0,144.5534462667422,R. Lewis,2.0,Man City,Man City vs Ipswich,2
8,9,7.5,0.0,15.5,167,24.990000000000002,9.792000000000002,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,297390.0,25.62,19.244000000000003,,,,,,8.0,,,,,0.2583333333333333,,,,2.0,1.0,2.0,2.0,0.00942382,0.01001304,0.0005892200000000014,Man City,Ipswich,25.0,Manuel Akanji,DC,True,0.0,2.8521758536163446,86.18672982520701,M. Akanji,2.0,Man City,Man City vs Ipswich,2
9,10,8.0,0.0,19.0,167,25.62,19.244000000000003,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '31.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.74'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '73.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '19.3'}]","[91, 117, 30, 35, 37, 215, 218]",True,297390.0,20.265,49.912000000000006,,,,,,,,,,,0.31666666666666665,,,,2.0,2.0,2.0,5.0,0.01001304,0.01001304,0.0,Man City,Ipswich,25.0,Manuel Akanji,DC,True,-5.476223751809059,0.0,99.90467243127277,M. Akanji,2.0,Man City,Man City vs Ipswich,2
