level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,32,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Man Utd,Fulham,,nan,,,0.0,0.0,,nan,1.0,Fulham,Man Utd vs Fulham,1
1,2,3.0,0.0,0.0,170,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Fulham,Man Utd,,nan,,,0.0,0.0,,nan,1.0,Fulham,Man Utd vs Fulham,1
2,3,4.0,0.0,0.0,170,52.395,33.932,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '46.7'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '39.2'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.4'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.33'}]","[91, 117, 30, 35, 38, 216, 218]",True,243254.0,41.160000000000004,31.756000000000004,,,,,,,,,,,0.0,,,,6.0,3.0,4.0,3.0,0.01689528,0.01262646,-0.004268819999999998,Fulham,Man Utd,18.0,Andreas Pereira,DMC,True,-11.274382597030396,0.0,-169.03864339925013,A. Pereira,1.0,Fulham,Man Utd vs Fulham,1
3,4,5.0,0.0,1.0,170,41.160000000000004,31.756000000000004,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '24.2'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '36.7'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '17.2'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.55'}]","[91, 117, 30, 35, 38, 215, 218]",True,297395.0,25.41,24.956000000000003,,,,,,,,,,,0.016666666666666666,,,,4.0,3.0,2.0,2.0,0.01262646,0.01001304,-0.00261342,Fulham,Man Utd,20.0,Sasa Lukic,DMC,True,-16.222770900803248,0.0,-156.64791943768813,S. Lukic,1.0,Fulham,Man Utd vs Fulham,1
4,5,5.5,0.0,4.0,170,25.41,24.956000000000003,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,300359.0,32.025,14.008000000000003,,,,,,6.0,,,,,0.06666666666666667,,,,3.0,2.0,3.0,1.0,0.01110462,0.0105949,-0.00050972,Fulham,Man Utd,31.0,Issa Diop,DC,True,0.0,4.438264897553836,-58.858791128329116,I. Diop,1.0,Fulham,Man Utd vs Fulham,1
5,6,6.0,0.0,7.0,170,32.025,14.008000000000003,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.10'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '10.6'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '37.6'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '65.7'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 1, 'displayName': 'Longball'}}]","[91, 119, 117, 127, 36, 38, 216, 218]",True,300359.0,68.985,7.208,,,,,,,,,,,0.11666666666666667,,,,3.0,1.0,8.0,0.0,0.0105949,0.02122129,0.01062639,Fulham,Man Utd,31.0,Issa Diop,DC,True,30.776389857633376,0.0,-10.42484887795735,I. Diop,1.0,Fulham,Man Utd vs Fulham,1
6,7,7.0,0.0,9.0,170,68.355,9.928,0.0,FirstHalf,BallTouch,Unsuccessful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}]","[91, 69]",True,140088.0,,,,,,,,,,,,,0.15,,,,,,,,,,,Fulham,Man Utd,11.0,Adama Traore,AMR,True,0.0,0.0,,A. Traore,1.0,Fulham,Man Utd vs Fulham,1
7,8,4.0,0.0,10.0,32,38.85,59.772000000000006,0.0,FirstHalf,TakeOn,Successful,"[{'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '8'}]","[91, 54]",True,460260.0,,,,,,,,,,,,,0.16666666666666666,,,,,,,,,,,Man Utd,Fulham,37.0,Kobbie Mainoo,DMC,True,0.0,0.0,,K. Mainoo,2.0,Man Utd,Man Utd vs Fulham,1
8,9,8.0,0.0,10.0,170,66.15,8.228,0.0,FirstHalf,Challenge,Unsuccessful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 285, 'displayName': 'Defensive'}}]",[55],False,140088.0,,,,,,,,,,,,,0.16666666666666666,,,,,,,,,,,Fulham,Man Utd,11.0,Adama Traore,AMR,True,0.0,0.0,,A. Traore,2.0,Man Utd,Man Utd vs Fulham,1
9,10,5.0,0.0,12.0,32,39.480000000000004,66.912,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '44.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.12'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '96.8'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '6.8'}]","[91, 117, 30, 36, 38, 216, 218]",True,460260.0,46.2,65.824,,,,,,,,,,,0.2,,,,4.0,7.0,5.0,7.0,0.01126267,0.01248344,0.0012207699999999995,Man Utd,Fulham,37.0,Kobbie Mainoo,DMC,True,6.462082991244429,0.0,-9.19665589162897,K. Mainoo,2.0,Man Utd,Man Utd vs Fulham,1
