level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,26,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Liverpool,Man Utd,,nan,,,0.0,0.0,,nan,1.0,Man Utd,Man Utd vs Liverpool,2
1,2,3.0,0.0,0.0,32,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Man Utd,Liverpool,,nan,,,0.0,0.0,,nan,1.0,Man Utd,Man Utd vs Liverpool,2
2,3,4.0,0.0,0.0,32,52.29,33.932,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '38.6'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '50.6'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.10'}]","[91, 117, 30, 35, 37, 216, 218]",True,123761.0,40.53,34.408,,,,,,,,,,,0.0,,,,5.0,3.0,4.0,3.0,0.01484598,0.01262646,-0.002219519999999999,Man Utd,Liverpool,8.0,Bruno Fernandes,AMC,True,-11.761247143526084,0.0,177.682150357097,B. Fernandes,1.0,Man Utd,Man Utd vs Liverpool,2
3,4,5.0,0.0,3.0,32,39.795,34.204,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '42.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.14'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '4.5'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '51.2'}]","[91, 117, 30, 36, 37, 216, 218]",True,88526.0,44.205000000000005,34.816,,,,,,,,,,,0.05,,,,4.0,4.0,4.0,4.0,0.01262646,0.01262646,0.0,Man Utd,Liverpool,18.0,Casemiro,DMC,True,4.404843122648735,0.0,7.9007894238398135,Casemiro,1.0,Man Utd,Man Utd vs Liverpool,2
4,5,6.0,0.0,3.0,32,44.415,34.816,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '37.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.30'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '5.5'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '49.9'}]","[91, 117, 30, 35, 38, 216, 218]",True,460260.0,38.955000000000005,33.932,,,,,,,,,,,0.05,,,,5.0,4.0,4.0,3.0,0.01484598,0.01262646,-0.002219519999999999,Man Utd,Liverpool,37.0,Kobbie Mainoo,DMC,True,-5.4545400340292645,0.0,-170.8033441083711,K. Mainoo,1.0,Man Utd,Man Utd vs Liverpool,2
5,6,7.0,0.0,4.0,32,38.955000000000005,33.932,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.03'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '31.7'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '27.6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 35, 38, 215, 218]",True,88526.0,28.980000000000004,21.556,,,,,,,,,,,0.06666666666666667,,,,4.0,3.0,3.0,2.0,0.01262646,0.01110462,-0.00152184,Man Utd,Liverpool,18.0,Casemiro,DMC,True,-10.986734647399572,0.0,-128.8686571443917,Casemiro,1.0,Man Utd,Man Utd vs Liverpool,2
6,7,8.0,0.0,6.0,32,28.980000000000004,21.556,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '29.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.87'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.8'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '8.8'}]","[91, 117, 30, 36, 38, 215, 218]",True,320374.0,31.395,5.984000000000001,,,,,,,,,,,0.1,,,,3.0,2.0,3.0,0.0,0.01110462,0.00977659,-0.0013280300000000009,Man Utd,Liverpool,4.0,Matthijs de Ligt,DC,True,-1.724768366836841,0.0,-81.18445234076802,M. d. Ligt,1.0,Man Utd,Man Utd vs Liverpool,2
7,8,8.5,0.0,7.5,32,31.395,5.984000000000001,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,349932.0,22.47,5.78,,,,,,9.0,,,,,0.125,,,,3.0,0.0,2.0,0.0,0.00977659,0.00844854,-0.0013280500000000008,Man Utd,Liverpool,3.0,Noussair Mazraoui,DR,True,0.0,-8.464842959003633,-178.69061018058946,N. Mazraoui,1.0,Man Utd,Man Utd vs Liverpool,2
8,9,9.0,0.0,9.0,32,22.47,5.78,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.12'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '27.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '42.8'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '7.8'}]","[91, 117, 30, 35, 37, 215, 218]",True,349932.0,8.19,29.104,,,,,,,,,,,0.15,,,,2.0,0.0,0.0,3.0,0.00844854,0.00941056,0.0009620200000000009,Man Utd,Liverpool,3.0,Noussair Mazraoui,DR,True,-9.712343368468098,0.0,121.476839349584,N. Mazraoui,1.0,Man Utd,Man Utd vs Liverpool,2
9,10,10.0,0.0,12.0,32,8.19,29.104,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '52.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.08'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '56.9'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '26.9'}]","[91, 120, 128, 36, 38, 216, 218]",True,260843.0,59.745000000000005,18.292,,,,,,,,,,,0.2,,,,,,,,,,,Man Utd,Liverpool,24.0,Andre Onana,GK,True,49.03010977678863,0.0,-11.844291048160015,A. Onana,1.0,Man Utd,Man Utd vs Liverpool,2
10,11,4.0,0.0,15.0,26,46.935,51.408,0.0,FirstHalf,Aerial,Successful,"[{'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '11'}]","[197, 200]",False,95408.0,,,,,,,,,,,,,0.25,,,,,,,,,,,Liverpool,Man Utd,4.0,Virgil van Dijk,DC,True,0.0,0.0,,V. v. Dijk,1.0,Man Utd,Man Utd vs Liverpool,2
11,12,11.0,0.0,15.0,32,58.065,16.592,0.0,FirstHalf,Aerial,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '4'}]","[198, 199]",False,123761.0,,,,,,,,,,,,,0.25,,,,,,,,,,,Man Utd,Liverpool,8.0,Bruno Fernandes,AMC,True,0.0,0.0,,B. Fernandes,1.0,Man Utd,Man Utd vs Liverpool,2
