level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,18,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Southampton,Newcastle,,nan,,,0.0,0.0,,nan,1.0,Newcastle,Newcastle vs Southampton,1
1,2,4.0,0.0,0.0,23,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Newcastle,Southampton,,nan,,,0.0,0.0,,nan,1.0,Newcastle,Newcastle vs Southampton,1
2,3,5.0,0.0,0.0,23,52.5,34.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.01'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '36.8'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '14.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '52.6'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 117, 30, 35, 37, 216, 218]",True,299254.0,38.64,35.768,,,,,,,,,,,0.0,,,,6.0,3.0,4.0,4.0,0.01689528,0.01262646,-0.004268819999999998,Newcastle,Southampton,14.0,Alexander Isak,FW,True,-13.883547841313813,0.0,172.7305339768347,A. Isak,1.0,Newcastle,Newcastle vs Southampton,1
3,4,6.0,0.0,2.0,23,38.64,37.74,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '31.1'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '13.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.02'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '73.9'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 117, 30, 35, 37, 215, 218]",True,338780.0,32.655,50.25200000000001,,,,,,,,,,,0.03333333333333333,,,,4.0,4.0,3.0,5.0,0.01262646,0.01110462,-0.00152184,Newcastle,Southampton,39.0,Bruno Guimaraes,MC,True,-7.682695970317582,0.0,115.56369187412362,B. Guimaraes,1.0,Newcastle,Newcastle vs Southampton,1
4,5,7.0,0.0,5.0,23,33.915,51.544000000000004,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.18'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '54.1'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '17.1'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '24.1'}]","[91, 117, 30, 35, 38, 215, 218]",True,430294.0,25.305000000000003,36.788000000000004,,,,,,,,,,,0.08333333333333333,,,,3.0,6.0,2.0,4.0,0.0105949,0.01016549,-0.0004294100000000016,Newcastle,Southampton,20.0,Lewis Hall,DL,True,-6.525795364426273,0.0,-120.263196531104,L. Hall,1.0,Newcastle,Newcastle vs Southampton,1
5,6,8.0,0.0,7.0,23,23.94,35.292,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '20.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.63'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '15.6'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '24.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 35, 38, 215, 218]",True,82277.0,21.945,10.608,,,,,,,,,,,0.11666666666666667,,,,2.0,4.0,2.0,1.0,0.01016549,0.00942382,-0.0007416699999999998,Newcastle,Southampton,33.0,Dan Burn,DC,True,-5.215964322413939,0.0,-94.62069218482448,D. Burn,1.0,Newcastle,Newcastle vs Southampton,1
6,7,9.0,0.0,10.0,23,21.945,10.608,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '46.4'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '64.5'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.17'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '26.9'}]","[91, 120, 128, 36, 37, 216, 218]",True,82726.0,67.72500000000001,18.292,,,,,,,,,,,0.16666666666666666,,,,,,,,,,,Newcastle,Southampton,5.0,Fabian Schar,DC,True,45.83670032811198,0.0,9.528066511176405,F. Schar,1.0,Newcastle,Newcastle vs Southampton,1
7,8,4.0,0.0,12.0,18,34.86000000000001,50.388,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '20.8'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '69.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.29'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '13.6'}]","[91, 117, 30, 139, 35, 38, 215, 218]",True,92550.0,14.28,47.39600000000001,,,,,,,,,,,0.2,,,,4.0,5.0,1.0,5.0,0.01269174,0.00977745,-0.00291429,Southampton,Newcastle,5.0,Jack Stephens,DC,True,-19.67464971960463,0.0,-171.72807284137065,J. Stephens,2.0,Southampton,Newcastle vs Southampton,1
8,9,5.0,0.0,20.0,18,14.28,47.39600000000001,0.0,FirstHalf,KeeperPickup,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}]",[93],False,38577.0,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,Southampton,Newcastle,1.0,Alex McCarthy,GK,True,0.0,0.0,,A. McCarthy,2.0,Southampton,Newcastle vs Southampton,1
9,10,6.0,0.0,25.0,18,8.925,40.732,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '12.5'}, {'type': {'value': 123, 'displayName': 'KeeperThrow'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.30'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '82.4'}]","[91, 36, 37, 215, 218]",True,38577.0,13.125,56.03200000000001,,,,,,,,,,,0.4166666666666667,,,,1.0,4.0,1.0,6.0,0.01082722,0.00878589,-0.002041330000000001,Southampton,Newcastle,1.0,Alex McCarthy,GK,True,1.8308098115293205,0.0,74.64986350757559,A. McCarthy,2.0,Southampton,Newcastle vs Southampton,1
