level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,23,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Newcastle,Tottenham,,nan,,,0.0,0.0,,nan,1.0,Newcastle,Newcastle vs Tottenham,2
1,2,3.0,0.0,0.0,30,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Tottenham,Newcastle,,nan,,,0.0,0.0,,nan,1.0,Newcastle,Newcastle vs Tottenham,2
2,3,4.0,0.0,0.0,23,52.71000000000001,34.204,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '12.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.07'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '38.6'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '51.5'}]","[91, 117, 30, 35, 37, 216, 218]",True,299254.0,40.53,35.02,,,,,,,,,,,0.0,,,,5.0,4.0,4.0,4.0,0.01484598,0.01262646,-0.002219519999999999,Newcastle,Tottenham,14.0,Alexander Isak,FW,True,-12.18767043128576,0.0,176.16719248491725,A. Isak,1.0,Newcastle,Newcastle vs Tottenham,2
3,4,4.5,0.0,2.0,23,40.53,35.02,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,338780.0,38.955000000000005,32.232,,,,,,5.0,,,,,0.03333333333333333,,,,4.0,4.0,4.0,3.0,0.01262646,0.01262646,0.0,Newcastle,Tottenham,39.0,Bruno Guimaraes,MC,True,0.0,-1.5905917476708566,-119.46302100489524,B. Guimaraes,1.0,Newcastle,Newcastle vs Tottenham,2
4,5,5.0,0.0,4.0,23,38.955000000000005,32.232,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.87'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '41.7'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '3.7'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '30.1'}]","[91, 117, 30, 36, 38, 216, 218]",True,338780.0,43.785000000000004,2.5160000000000005,,,,,,,,,,,0.06666666666666667,,,,4.0,3.0,4.0,0.0,0.01262646,0.01126267,-0.0013637900000000001,Newcastle,Tottenham,39.0,Bruno Guimaraes,MC,True,-2.76823755919645,0.0,-80.76795348557812,B. Guimaraes,1.0,Newcastle,Newcastle vs Tottenham,2
5,6,7.0,0.0,8.0,23,45.57,3.468,0.0,FirstHalf,Dispossessed,Successful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '5'}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 70]",True,415174.0,,,,,,,,,,,,,0.13333333333333333,,,,,,,,,,,Newcastle,Tottenham,21.0,Tino Livramento,DR,True,0.0,0.0,,T. Livramento,1.0,Newcastle,Newcastle vs Tottenham,2
6,7,5.0,0.0,8.0,30,59.43000000000001,64.53200000000001,0.0,FirstHalf,Tackle,Successful,"[{'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}]","[91, 143]",True,91909.0,,,,,,,,,,,,,0.13333333333333333,,,,,,,,,,,Tottenham,Newcastle,7.0,Son Heung-Min,FWL,True,0.0,0.0,,S. Heung-Min,1.0,Newcastle,Newcastle vs Tottenham,2
7,8,9.0,0.0,24.0,23,47.775,0.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 107, 'displayName': 'ThrowIn'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '27.3'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '50.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '20.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.30'}]","[91, 212, 36, 37, 216]",True,415174.0,53.23500000000001,18.564,,,,,,,,,,,0.4,,,,5.0,0.0,6.0,2.0,0.01248344,0.01685596,0.0043725199999999995,Newcastle,Tottenham,21.0,Tino Livramento,DR,True,12.546054353114492,0.0,73.6104596659652,T. Livramento,1.0,Newcastle,Newcastle vs Tottenham,2
8,9,10.0,0.0,27.0,23,52.5,18.360000000000003,0.0,FirstHalf,Foul,Successful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '7'}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 13, 'displayName': 'Foul'}}]","[91, 63]",True,338780.0,,,,,,,,,,,,,0.45,,,,,,,,,,,Newcastle,Tottenham,39.0,Bruno Guimaraes,MC,True,0.0,0.0,,B. Guimaraes,1.0,Newcastle,Newcastle vs Tottenham,2
9,10,7.0,0.0,27.0,30,52.5,49.64,0.0,FirstHalf,Foul,Unsuccessful,"[{'type': {'value': 13, 'displayName': 'Foul'}}, {'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '10'}]",[64],False,355855.0,,,,,,,,,,,,,0.45,,,,,,,,,,,Tottenham,Newcastle,21.0,Dejan Kulusevski,FW,True,0.0,0.0,,D. Kulusevski,1.0,Newcastle,Newcastle vs Tottenham,2
