level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,183,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Bournemouth,Nottingham Forest,,nan,,,0.0,0.0,,nan,1.0,Bournemouth,Nottingham Forest vs Bournemouth,1
1,2,3.0,0.0,0.0,174,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Nottingham Forest,Bournemouth,,nan,,,0.0,0.0,,nan,1.0,Bournemouth,Nottingham Forest vs Bournemouth,1
2,3,4.0,0.0,0.0,183,52.5,34.34,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.17'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '33.6'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '49.8'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '17.2'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 35, 38, 216, 218]",True,344314.0,35.28,33.864,,,,,,,,,,,0.0,,,,6.0,4.0,4.0,4.0,0.01689528,0.01262646,-0.004268819999999998,Bournemouth,Nottingham Forest,16.0,Marcus Tavernier,AMC,True,-17.21903170390157,0.0,-178.41661742783907,M. Tavernier,1.0,Bournemouth,Nottingham Forest vs Bournemouth,1
3,4,5.0,0.0,3.0,183,37.275,34.0,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '0.0'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.58'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '54.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '75.0'}]","[91, 120, 128, 36, 38, 217, 218]",True,468852.0,78.75,0.0,,,,,,,,,,,0.05,,,,,,,,,,,Bournemouth,Nottingham Forest,2.0,Dean Huijsen,DC,True,24.77080928477408,0.0,-39.34390445523208,D. Huijsen,1.0,Bournemouth,Nottingham Forest vs Bournemouth,1
4,5,5.0,0.0,19.0,174,24.885,68.0,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 107, 'displayName': 'ThrowIn'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.07'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '93.6'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '25.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '47.0'}]","[91, 212, 36, 38, 216]",True,315543.0,49.35,63.648,,,,,,,,,,,0.31666666666666665,,,,,,,,,,,Nottingham Forest,Bournemouth,34.0,Ola Aina,DL,True,23.97615742987182,0.0,-10.086651738807776,O. Aina,1.0,Bournemouth,Nottingham Forest vs Bournemouth,1
5,6,7.0,0.0,21.0,183,60.58500000000001,4.760000000000001,0.0,FirstHalf,Interception,Successful,"[{'type': {'value': 21, 'displayName': 'OtherBodyPart'}}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}]","[91, 101, 56]",True,69877.0,,,,,,,,,,,,,0.35,,,,,,,,,,,Bournemouth,Nottingham Forest,15.0,Adam Smith,DR,True,0.0,0.0,,A. Smith,1.0,Bournemouth,Nottingham Forest vs Bournemouth,1
6,7,9.0,0.0,22.0,183,66.045,4.964,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '55.2'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.13'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '36.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '77.4'}]","[91, 120, 128, 36, 37, 217, 218]",True,422183.0,81.27000000000001,37.536,,,,,,,,,,,0.36666666666666664,,,,,,,,,,,Bournemouth,Nottingham Forest,11.0,Dango Ouattara,AMR,True,24.593811238353766,0.0,64.94739022707594,D. Ouattara,1.0,Bournemouth,Nottingham Forest vs Bournemouth,1
7,8,6.0,0.0,26.0,174,21.840000000000003,25.772000000000002,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.04'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '27.7'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '22.4'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '6.8'}]","[91, 117, 30, 36, 38, 215, 218]",True,386969.0,29.085,4.6240000000000006,,,,,,,,,,,0.43333333333333335,,,,2.0,3.0,3.0,0.0,0.01016549,0.00977659,-0.0003888999999999993,Nottingham Forest,Bournemouth,7.0,Neco Williams,DR,True,2.165584693071594,0.0,-71.08927913972718,N. Williams,2.0,Nottingham Forest,Nottingham Forest vs Bournemouth,1
8,9,6.5,0.0,28.0,174,29.085,4.6240000000000006,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,413211.0,24.255000000000003,4.352,,,,,,7.0,,,,,0.4666666666666667,,,,3.0,0.0,2.0,0.0,0.00977659,0.00844854,-0.0013280500000000008,Nottingham Forest,Bournemouth,21.0,Anthony Elanga,AMR,True,0.0,-4.615568268533153,-176.77680978375042,A. Elanga,2.0,Nottingham Forest,Nottingham Forest vs Bournemouth,1
9,10,7.0,0.0,30.0,174,24.255000000000003,4.352,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '10.7'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '8.5'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.79'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '15.5'}]","[91, 117, 30, 35, 37, 215, 218]",True,413211.0,16.275000000000002,7.276,,,,,,,,,,,0.5,,,,2.0,0.0,1.0,0.0,0.00844854,0.00779616,-0.0006523799999999993,Nottingham Forest,Bournemouth,21.0,Anthony Elanga,AMR,True,-6.646239409557936,0.0,159.87635563817764,A. Elanga,2.0,Nottingham Forest,Nottingham Forest vs Bournemouth,1
