level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,161,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Wolves,Nottingham Forest,,nan,,,0.0,0.0,,nan,1.0,Nottingham Forest,Nottingham Forest vs Wolves,2
1,2,3.0,0.0,0.0,174,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Nottingham Forest,Wolves,,nan,,,0.0,0.0,,nan,1.0,Nottingham Forest,Nottingham Forest vs Wolves,2
2,3,4.0,0.0,0.0,174,52.29,34.272,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '50.4'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '27.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.14'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '23.2'}]","[91, 117, 30, 35, 215, 218]",True,402596.0,29.085,34.272,,,,,,,,,,,0.0,,,,5.0,4.0,3.0,3.0,0.01484598,0.01132376,-0.0035222199999999995,Nottingham Forest,Wolves,8.0,Elliot Anderson,DMC,True,-23.204785482621908,0.0,180.0,E. Anderson,1.0,Nottingham Forest,Nottingham Forest vs Wolves,2
3,4,5.0,0.0,4.0,174,28.77,34.408,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '55.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '33.4'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '78.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.07'}]","[91, 120, 128, 36, 38, 217, 218]",True,78386.0,82.53,22.712,,,,,,,,,,,0.06666666666666667,,,,,,,,,,,Nottingham Forest,Wolves,26.0,Matz Sels,GK,True,51.085121114867334,0.0,-12.273976731874171,M. Sels,1.0,Nottingham Forest,Nottingham Forest vs Wolves,2
4,5,4.0,0.0,8.0,161,31.605000000000004,42.84,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '43.4'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '23.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '48.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.67'}]","[91, 118, 120, 29, 139, 36, 38, 216, 218]",True,73063.0,50.714999999999996,29.512,,,,,,,,,,,0.13333333333333333,,,,,,,,,,,Wolves,Nottingham Forest,15.0,Craig Dawson,DC,True,19.455240146271997,0.0,-34.89330255069868,C. Dawson,1.0,Nottingham Forest,Nottingham Forest vs Wolves,2
5,6,6.0,0.0,10.0,174,55.33500000000001,38.760000000000005,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '43.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.09'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '10.2'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '56.3'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}]","[91, 119, 117, 30, 139, 36, 38, 216, 218]",True,315543.0,59.115,29.240000000000002,,,,,,,,,,,0.16666666666666666,,,,6.0,4.0,6.0,3.0,0.01689528,0.01689528,0.0,Nottingham Forest,Wolves,34.0,Ola Aina,DL,True,3.7613480566258843,0.0,-68.34401096157754,O. Aina,1.0,Nottingham Forest,Nottingham Forest vs Wolves,2
6,7,7.0,0.0,11.0,174,57.12,31.688000000000002,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '56.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '10.6'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '46.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.50'}]","[91, 117, 30, 35, 37, 216, 218]",True,328075.0,48.615,38.080000000000005,,,,,,,,,,,0.18333333333333332,,,,6.0,3.0,5.0,4.0,0.01689528,0.01484598,-0.0020492999999999987,Nottingham Forest,Wolves,6.0,Ibrahim Sangare,DMC,True,-8.596633291286274,0.0,143.0730176991177,I. Sangare,1.0,Nottingham Forest,Nottingham Forest vs Wolves,2
7,8,8.0,0.0,13.0,174,46.2,39.78,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '18.9'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '47.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.36'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '85.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 36, 37, 216, 218]",True,445424.0,50.08500000000001,58.276,,,,,,,,,,,0.21666666666666667,,,,5.0,4.0,5.0,6.0,0.01484598,0.0138454,-0.0010005799999999992,Nottingham Forest,Wolves,5.0,Murillo,DC,True,-0.9580952561656773,0.0,78.13772870690067,Murillo,1.0,Nottingham Forest,Nottingham Forest vs Wolves,2
8,9,9.0,0.0,15.0,174,50.08500000000001,58.276,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '36.6'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '94.1'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '82.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.16'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}]","[91, 119, 117, 127, 205, 36, 37, 217, 218]",True,315543.0,86.205,63.988,,,,,,,,,,,0.25,,,,5.0,6.0,9.0,7.0,0.0138454,0.02756312,0.01371772,Nottingham Forest,Wolves,34.0,Ola Aina,DL,True,24.65036610520859,0.0,8.98631082278358,O. Aina,1.0,Nottingham Forest,Nottingham Forest vs Wolves,2
9,10,770.0,0.0,19.0,174,91.245,65.62,0.0,FirstHalf,TakeOn,Unsuccessful,"[{'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}]","[91, 53]",True,402596.0,,,,,,,,,,,,,0.31666666666666665,,,,,,,,,,,Nottingham Forest,Wolves,8.0,Elliot Anderson,DMC,True,0.0,0.0,,E. Anderson,1.0,Nottingham Forest,Nottingham Forest vs Wolves,2
