level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,18,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Southampton,Ipswich,,nan,,,0.0,0.0,,nan,1.0,Ipswich,Southampton vs Ipswich,5
1,2,3.0,0.0,0.0,165,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Ipswich,Southampton,,nan,,,0.0,0.0,,nan,1.0,Ipswich,Southampton vs Ipswich,5
2,3,4.0,0.0,0.0,165,52.080000000000005,34.204,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '17.3'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '33.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '53.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.02'}]","[91, 117, 30, 35, 37, 215, 218]",True,138686.0,34.86000000000001,36.244,,,,,,,,,,,0.0,,,,5.0,4.0,3.0,4.0,0.01484598,0.01132376,-0.0035222199999999995,Ipswich,Southampton,23.0,Sam Szmodics,AML,True,-17.25549394499393,0.0,173.24383550513843,S. Szmodics,1.0,Ipswich,Southampton vs Ipswich,5
3,4,5.0,0.0,4.0,165,34.86000000000001,36.244,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '82.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.33'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '88.3'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '61.1'}]","[91, 120, 128, 36, 37, 217, 218]",True,362826.0,92.715,55.964,,,,,,,,,,,0.06666666666666667,,,,,,,,,,,Ipswich,Southampton,26.0,Dara O'Shea,DC,True,45.00966928830197,0.0,18.82178616748158,D. O'Shea,1.0,Ipswich,Southampton vs Ipswich,5
4,5,4.0,0.0,8.0,18,15.33,11.288000000000002,0.0,FirstHalf,Clearance,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '19.5'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '32.6'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '23.5'}, {'type': {'value': 15, 'displayName': 'Head'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.24'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 94, 95, 57, 215]",True,384061.0,34.230000000000004,15.98,,,,,,,,,,,0.13333333333333333,,,,,,,,,,,Southampton,Ipswich,6.0,Taylor Harwood-Bellis,DC,True,0.0,0.0,13.942049325519921,T. Harwood-Bellis,1.0,Ipswich,Southampton vs Ipswich,5
5,6,6.0,0.0,9.0,165,75.60000000000001,49.776,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '75.6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '7.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '64.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.29'}]","[91, 119, 117, 30, 139, 205, 36, 38, 217, 218]",True,404108.0,79.38,43.928,,,,,,,,,,,0.15,,,,8.0,5.0,9.0,5.0,0.0241224,0.02855202,0.004429620000000002,Ipswich,Southampton,12.0,Jens Cajuste,DMC,True,5.888938094295195,0.0,-57.122389865919814,J. Cajuste,1.0,Ipswich,Southampton vs Ipswich,5
6,7,382.0,0.0,10.0,165,86.31,36.312000000000005,0.0,FirstHalf,BallTouch,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]",[91],True,430908.0,,,,,,,,,,,,,0.16666666666666666,,,,,,,,,,,Ipswich,Southampton,20.0,Omari Hutchinson,AMC,True,0.0,0.0,,O. Hutchinson,1.0,Ipswich,Southampton vs Ipswich,5
7,8,6.0,0.0,13.0,18,12.915000000000001,28.628000000000004,0.0,FirstHalf,Clearance,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.18'}, {'type': {'value': 15, 'displayName': 'Head'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '34.7'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '5.8'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '9.5'}]","[91, 94, 95, 57, 215]",True,384061.0,9.975,23.596000000000004,,,,,,,,,,,0.21666666666666667,,,,,,,,,,,Southampton,Ipswich,6.0,Taylor Harwood-Bellis,DC,True,0.0,0.0,-120.29606666727257,T. Harwood-Bellis,1.0,Ipswich,Southampton vs Ipswich,5
8,9,7.0,0.0,13.0,165,74.34,43.52,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '58.8'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '85.5'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.8'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.06'}, {'type': {'value': 1, 'displayName': 'Longball'}}]","[91, 120, 128, 36, 38, 217, 218]",True,134666.0,89.775,39.984,,,,,,,,,,,0.21666666666666667,,,,,,,,,,,Ipswich,Southampton,5.0,Sam Morsy,DMC,True,15.745231806851454,0.0,-12.903220469235478,S. Morsy,1.0,Ipswich,Southampton vs Ipswich,5
9,10,7.5,0.0,14.5,165,89.775,39.984,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,401254.0,95.23500000000001,42.704,,,,,,8.0,,,,,0.24166666666666667,,,,10.0,4.0,11.0,5.0,0.10805102,0.06442595,-0.04362507,Ipswich,Southampton,19.0,Liam Delap,FW,True,0.0,3.277668335439097,26.481039830374367,L. Delap,1.0,Ipswich,Southampton vs Ipswich,5
