level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,18,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Southampton,Man Utd,,nan,,,0.0,0.0,,nan,1.0,Man Utd,Southampton vs Man Utd,4
1,2,3.0,0.0,0.0,32,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Man Utd,Southampton,,nan,,,0.0,0.0,,nan,1.0,Man Utd,Southampton vs Man Utd,4
2,3,4.0,0.0,0.0,32,52.5,34.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.90'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '23.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '28.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '58.4'}]","[91, 117, 30, 35, 37, 215, 218]",True,123761.0,29.715000000000003,39.712,,,,,,,,,,,0.0,,,,6.0,3.0,3.0,4.0,0.01689528,0.01132376,-0.005571519999999998,Man Utd,Southampton,8.0,Bruno Fernandes,AMC,True,-23.001378590062842,0.0,165.9264869496155,B. Fernandes,1.0,Man Utd,Southampton vs Man Utd,4
3,4,4.5,0.0,2.0,32,29.715000000000003,39.712,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,260843.0,32.865,36.720000000000006,,,,,,5.0,,,,,0.03333333333333333,,,,3.0,4.0,3.0,4.0,0.01132376,0.01132376,0.0,Man Utd,Southampton,24.0,Andre Onana,GK,True,0.0,3.315115180740989,-43.52641858177429,A. Onana,1.0,Man Utd,Southampton vs Man Utd,4
4,5,5.0,0.0,4.0,32,32.865,36.720000000000006,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '92.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '49.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '70.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.56'}, {'type': {'value': 1, 'displayName': 'Longball'}}]","[91, 120, 128, 36, 37, 217, 218]",True,260843.0,74.44500000000001,62.628,,,,,,,,,,,0.06666666666666667,,,,,,,,,,,Man Utd,Southampton,24.0,Andre Onana,GK,True,30.31538559430585,0.0,31.926539266828676,A. Onana,1.0,Man Utd,Southampton vs Man Utd,4
5,6,4.0,0.0,7.0,18,32.97,6.188000000000001,0.0,FirstHalf,BallTouch,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 69]",True,438067.0,,,,,,,,,,,,,0.11666666666666667,,,,,,,,,,,Southampton,Man Utd,33.0,Tyler Dibling,AMR,True,0.0,0.0,,T. Dibling,1.0,Man Utd,Southampton vs Man Utd,4
6,7,6.0,0.0,8.0,32,74.655,62.288000000000004,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.23'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '84.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '68.6'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '5.6'}]","[91, 119, 117, 30, 205, 35, 38, 217, 218]",True,353418.0,72.03,57.324000000000005,,,,,,,,,,,0.13333333333333333,,,,8.0,7.0,8.0,6.0,0.02122129,0.02401521,0.0027939199999999983,Man Utd,Southampton,20.0,Diogo Dalot,DL,True,1.0992873323402463,0.0,-117.87021794902216,D. Dalot,1.0,Man Utd,Southampton vs Man Utd,4
7,8,7.0,0.0,10.0,32,72.765,56.984,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '73.5'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '7.5'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.94'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '92.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}]","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,69344.0,77.175,63.03600000000001,,,,,,,,,,,0.16666666666666666,,,,8.0,6.0,8.0,7.0,0.02401521,0.02122129,-0.0027939199999999983,Man Utd,Southampton,14.0,Christian Eriksen,DMC,True,-0.6260251179790259,0.0,53.9197479110409,C. Eriksen,1.0,Man Utd,Southampton vs Man Utd,4
8,9,8.0,0.0,12.0,32,76.23,63.92,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '92.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.22'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '60.8'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '12.4'}]","[91, 119, 117, 30, 35, 38, 216, 218]",True,300299.0,63.839999999999996,62.968,,,,,,,,,,,0.2,,,,8.0,7.0,7.0,7.0,0.02122129,0.0174506,-0.00377069,Man Utd,Southampton,10.0,Marcus Rashford,AML,True,-8.823742220347896,0.0,-175.6062454597777,M. Rashford,1.0,Man Utd,Southampton vs Man Utd,4
9,10,9.0,0.0,13.0,32,63.839999999999996,62.968,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '79.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.01'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '53.7'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.5'}]","[91, 119, 117, 30, 35, 38, 216, 218]",True,353418.0,56.385000000000005,54.196000000000005,,,,,,,,,,,0.21666666666666667,,,,7.0,7.0,6.0,6.0,0.0174506,0.01611813,-0.0013324699999999988,Man Utd,Southampton,20.0,Diogo Dalot,DL,True,-2.3113010083465326,0.0,-130.3599859031034,D. Dalot,1.0,Man Utd,Southampton vs Man Utd,4
