level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,18,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Southampton,Nottingham Forest,,nan,,,0.0,0.0,,nan,1.0,Nottingham Forest,Southampton vs Nottingham Forest,2
1,2,3.0,0.0,0.0,174,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Nottingham Forest,Southampton,,nan,,,0.0,0.0,,nan,1.0,Nottingham Forest,Southampton vs Nottingham Forest,2
2,3,4.0,0.0,0.0,174,52.5,34.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.21'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '47.7'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '26.7'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '24.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 35, 38, 215, 218]",True,402596.0,28.035,32.43600000000001,,,,,,,,,,,0.0,,,,6.0,3.0,3.0,3.0,0.01689528,0.01132376,-0.005571519999999998,Nottingham Forest,Southampton,8.0,Elliot Anderson,DMC,True,-24.480889323259973,0.0,-176.3421694591917,E. Anderson,1.0,Nottingham Forest,Southampton vs Nottingham Forest,2
3,4,4.5,0.0,2.0,174,28.035,32.43600000000001,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,78386.0,32.655,27.200000000000003,,,,,,5.0,,,,,0.03333333333333333,,,,3.0,3.0,3.0,3.0,0.01132376,0.01132376,0.0,Nottingham Forest,Southampton,26.0,Matz Sels,GK,True,0.0,4.317012293473013,-48.57633437499737,M. Sels,1.0,Nottingham Forest,Southampton vs Nottingham Forest,2
4,5,5.0,0.0,4.0,174,32.655,27.200000000000003,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '86.5'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.60'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '75.5'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '56.3'}, {'type': {'value': 1, 'displayName': 'Longball'}}]","[91, 119, 117, 127, 205, 36, 37, 217, 218]",True,78386.0,79.275,58.82000000000001,,,,,,,,,,,0.06666666666666667,,,,3.0,3.0,9.0,6.0,0.01132376,0.02953272,0.018208959999999996,Nottingham Forest,Southampton,26.0,Matz Sels,GK,True,36.917436297876314,0.0,34.147069960378715,M. Sels,1.0,Nottingham Forest,Southampton vs Nottingham Forest,2
5,6,5.5,0.0,5.5,174,79.275,58.82000000000001,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,73380.0,77.28,64.05600000000001,,,,,,6.0,,,,,0.09166666666666667,,,,9.0,6.0,9.0,7.0,0.02953272,0.02756312,-0.0019695999999999984,Nottingham Forest,Southampton,11.0,Chris Wood,FW,True,0.0,-5.140739850760994,110.8576432619185,C. Wood,1.0,Nottingham Forest,Southampton vs Nottingham Forest,2
6,7,6.0,0.0,7.0,174,77.28,64.05600000000001,0.0,FirstHalf,Aerial,Successful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '4'}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}]","[197, 199]",False,73380.0,,,,,,,,,,,,,0.11666666666666667,,,,,,,,,,,Nottingham Forest,Southampton,11.0,Chris Wood,FW,True,0.0,0.0,,C. Wood,1.0,Nottingham Forest,Southampton vs Nottingham Forest,2
7,8,4.0,0.0,7.0,18,27.72,3.944,0.0,FirstHalf,Aerial,Unsuccessful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '6'}, {'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[198, 200]",False,337428.0,,,,,,,,,,,,,0.11666666666666667,,,,,,,,,,,Southampton,Nottingham Forest,4.0,Flynn Downes,MC,True,0.0,0.0,,F. Downes,1.0,Nottingham Forest,Southampton vs Nottingham Forest,2
8,9,7.0,0.0,8.0,174,78.12,63.376000000000005,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.81'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '85.2'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '84.5'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.9'}]","[91, 120, 29, 139, 36, 38, 217, 218]",True,73380.0,88.72500000000001,57.93600000000001,,,,,,,,,,,0.13333333333333333,,,,,,,,,,,Nottingham Forest,Southampton,11.0,Chris Wood,FW,True,10.873225380563785,0.0,-27.156262439857,C. Wood,1.0,Nottingham Forest,Southampton vs Nottingham Forest,2
9,10,5.0,0.0,9.0,18,14.91,12.308000000000002,0.0,FirstHalf,Clearance,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '9.6'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '20.2'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '23.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.15'}]","[91, 94, 95, 215]",True,379783.0,24.36,13.736,,,,,,,,,,,0.15,,,,,,,,,,,Southampton,Nottingham Forest,16.0,Yukinari Sugawara,DMR,True,0.0,0.0,8.59301654103049,Y. Sugawara,2.0,Southampton,Southampton vs Nottingham Forest,2
