level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,30,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Tottenham,Arsenal,,nan,,,0.0,0.0,,nan,1.0,Arsenal,Tottenham vs Arsenal,4
1,2,3.0,0.0,0.0,13,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Arsenal,Tottenham,,nan,,,0.0,0.0,,nan,1.0,Arsenal,Tottenham vs Arsenal,4
2,3,4.0,0.0,0.0,13,52.5,34.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.20'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '28.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '23.1'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '48.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 35, 38, 215, 218]",True,106968.0,29.400000000000002,32.708000000000006,,,,,,,,,,,0.0,,,,5.0,3.0,3.0,3.0,0.01484598,0.01132376,-0.0035222199999999995,Arsenal,Tottenham,20.0,Jorginho,MC,True,-23.111039299827098,0.0,-176.7987402166868,Jorginho,1.0,Arsenal,Tottenham vs Arsenal,4
3,4,5.0,0.0,3.0,13,29.925,30.736000000000004,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '26.9'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '71.7'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '47.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.02'}]","[91, 120, 128, 36, 38, 217, 218]",True,276366.0,75.28500000000001,18.292,,,,,,,,,,,0.05,,,,,,,,,,,Arsenal,Tottenham,22.0,David Raya,GK,True,41.534575541350755,0.0,-15.341015513408896,D. Raya,1.0,Arsenal,Tottenham vs Arsenal,4
4,5,5.0,0.0,9.0,30,26.25,48.824,0.0,FirstHalf,Interception,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 15, 'displayName': 'Head'}}]","[91, 101, 56]",True,425229.0,,,,,,,,,,,,,0.15,,,,,,,,,,,Tottenham,Arsenal,37.0,Micky van de Ven,DC,True,0.0,0.0,,M. v. de Ven,1.0,Arsenal,Tottenham vs Arsenal,4
5,6,7.0,0.0,10.0,13,88.62,7.616,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.74'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '6.9'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '79.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '5.5'}]","[91, 119, 117, 30, 205, 35, 38, 217, 218]",True,367185.0,82.95,3.74,,,,,,,,,,,0.16666666666666666,,,,10.0,0.0,9.0,0.0,0.03485072,0.02756312,-0.007287600000000002,Arsenal,Tottenham,7.0,Bukayo Saka,FWR,True,-6.386445808230004,0.0,-145.6435710936348,B. Saka,1.0,Arsenal,Tottenham vs Arsenal,4
6,7,8.0,0.0,12.0,13,81.27000000000001,3.128,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '68.6'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '10.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '10.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.71'}]","[91, 119, 117, 30, 205, 35, 37, 217, 218]",True,322036.0,72.03,7.412000000000001,,,,,,,,,,,0.2,,,,9.0,0.0,8.0,0.0,0.02756312,0.02122129,-0.00634183,Arsenal,Tottenham,4.0,Ben White,DR,True,-3.4166334155356495,0.0,155.12584608587238,B. White,1.0,Arsenal,Tottenham vs Arsenal,4
7,8,9.0,0.0,13.0,13,72.03,7.412000000000001,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.22'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '13.4'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '7.6'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '75.7'}]","[91, 120, 29, 36, 37, 217, 218]",True,238940.0,79.485,9.112,,,,,,,,,,,0.21666666666666667,,,,,,,,,,,Arsenal,Tottenham,5.0,Thomas Partey,MC,True,6.71189948643007,0.0,12.845782332086921,T. Partey,1.0,Arsenal,Tottenham vs Arsenal,4
8,9,7.0,0.0,15.0,30,30.450000000000003,61.540000000000006,0.0,FirstHalf,Interception,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 101, 56]",True,137015.0,,,,,,,,,,,,,0.25,,,,,,,,,,,Tottenham,Arsenal,10.0,James Maddison,MC,True,0.0,0.0,,J. Maddison,1.0,Arsenal,Tottenham vs Arsenal,4
9,10,11.0,0.0,17.0,13,80.01,0.0,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '32.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.85'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '30.4'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '95.4'}, {'type': {'value': 107, 'displayName': 'ThrowIn'}}]","[91, 212, 36, 37, 217]",True,322036.0,100.17000000000002,22.1,,,,,,,,,,,0.2833333333333333,,,,,,,,,,,Arsenal,Tottenham,4.0,Ben White,DR,True,29.353118512455822,0.0,47.62839160997174,B. White,1.0,Arsenal,Tottenham vs Arsenal,4
