level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,189,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Brentford,Tottenham,,nan,,,0.0,0.0,,nan,1.0,Brentford,Tottenham vs Brentford,5
1,2,3.0,0.0,0.0,30,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Tottenham,Brentford,,nan,,,0.0,0.0,,nan,1.0,Brentford,Tottenham vs Brentford,5
2,3,4.0,0.0,0.0,189,52.395,34.204,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '22.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '56.9'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '29.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.99'}]","[91, 117, 30, 35, 37, 215, 218]",True,401168.0,23.415000000000003,38.692,,,,,,,,,,,0.0,,,,5.0,4.0,2.0,4.0,0.01484598,0.01016549,-0.004680490000000001,Brentford,Tottenham,24.0,Mikkel Damsgaard,MC,True,-29.114412874619056,0.0,171.1967968782005,M. Damsgaard,1.0,Brentford,Tottenham vs Brentford,5
3,4,4.5,0.0,1.5,189,23.415000000000003,38.692,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,115131.0,24.990000000000002,32.096000000000004,,,,,,5.0,,,,,0.025,,,,2.0,4.0,2.0,3.0,0.01016549,0.01016549,0.0,Brentford,Tottenham,1.0,Mark Flekken,GK,True,0.0,1.6871568631635938,-76.57032032734914,M. Flekken,1.0,Brentford,Tottenham vs Brentford,5
4,5,5.0,0.0,3.0,189,24.990000000000002,32.096000000000004,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.85'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '70.5'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '13.8'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '54.0'}, {'type': {'value': 1, 'displayName': 'Longball'}}]","[91, 120, 128, 36, 38, 217, 218]",True,115131.0,74.025,9.384,,,,,,,,,,,0.05,,,,,,,,,,,Brentford,Tottenham,1.0,Mark Flekken,GK,True,40.46753964478182,0.0,-24.85259857257221,M. Flekken,1.0,Brentford,Tottenham vs Brentford,5
5,6,4.0,0.0,8.0,30,32.445,57.664,0.0,FirstHalf,Aerial,Successful,"[{'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[197, 200]",False,425229.0,,,,,,,,,,,,,0.13333333333333333,,,,,,,,,,,Tottenham,Brentford,37.0,Micky van de Ven,DC,True,0.0,0.0,,M. v. de Ven,1.0,Brentford,Tottenham vs Brentford,5
6,7,6.0,0.0,8.0,189,72.55499999999999,10.336,0.0,FirstHalf,Aerial,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '4'}]","[198, 199]",False,321085.0,,,,,,,,,,,,,0.13333333333333333,,,,,,,,,,,Brentford,Tottenham,20.0,Kristoffer Ajer,DR,True,0.0,0.0,,K. Ajer,1.0,Brentford,Tottenham vs Brentford,5
7,8,5.0,0.0,9.0,30,33.495,56.984,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '32.8'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '1.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.62'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '84.8'}]","[91, 118, 120, 29, 139, 36, 37, 215, 218]",True,425229.0,34.44,57.664,,,,,,,,,,,0.15,,,,,,,,,,,Tottenham,Brentford,37.0,Micky van de Ven,DC,True,0.685684530572388,0.0,35.73791185278378,M. v. de Ven,1.0,Brentford,Tottenham vs Brentford,5
8,9,410.0,0.0,11.0,189,65.94,7.276,0.0,FirstHalf,BallTouch,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}]",[91],True,321085.0,,,,,,,,,,,,,0.18333333333333332,,,,,,,,,,,Brentford,Tottenham,20.0,Kristoffer Ajer,DR,True,0.0,0.0,,K. Ajer,1.0,Brentford,Tottenham vs Brentford,5
9,10,7.0,0.0,11.0,30,35.7,45.220000000000006,0.0,FirstHalf,Dispossessed,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '7'}]","[91, 70]",True,355855.0,,,,,,,,,,,,,0.18333333333333332,,,,,,,,,,,Tottenham,Brentford,21.0,Dejan Kulusevski,MC,True,0.0,0.0,,D. Kulusevski,1.0,Brentford,Tottenham vs Brentford,5
10,11,7.0,0.0,11.0,189,69.3,22.78,0.0,FirstHalf,Tackle,Successful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '7'}, {'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]","[91, 143]",True,401168.0,,,,,,,,,,,,,0.18333333333333332,,,,,,,,,,,Brentford,Tottenham,24.0,Mikkel Damsgaard,MC,True,0.0,0.0,,M. Damsgaard,1.0,Brentford,Tottenham vs Brentford,5
