level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,30,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Tottenham,Everton,,nan,,,0.0,0.0,,nan,1.0,Tottenham,Tottenham vs Everton,2
1,2,3.0,0.0,0.0,31,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Everton,Tottenham,,nan,,,0.0,0.0,,nan,1.0,Tottenham,Tottenham vs Everton,2
2,3,4.0,0.0,0.0,30,52.395,34.068000000000005,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '38.6'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '51.8'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.04'}]","[91, 117, 30, 35, 37, 216, 218]",True,91909.0,40.53,35.224000000000004,,,,,,,,,,,0.0,,,,6.0,4.0,4.0,4.0,0.01689528,0.01262646,-0.004268819999999998,Tottenham,Everton,7.0,Son Heung-Min,FW,True,-11.876574174681387,0.0,174.43526913149614,S. Heung-Min,1.0,Tottenham,Tottenham vs Everton,2
3,4,5.0,0.0,2.0,30,43.365,35.496,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '75.2'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '44.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.65'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '91.8'}, {'type': {'value': 155, 'displayName': 'Chipped'}}]","[91, 119, 117, 124, 127, 205, 36, 37, 217, 218]",True,303096.0,78.96000000000001,62.424,,,,,,,,,,,0.03333333333333333,,,,5.0,4.0,9.0,7.0,0.01484598,0.02756312,0.01271714,Tottenham,Everton,8.0,Yves Bissouma,MC,True,23.104412460789135,0.0,37.10789697425312,Y. Bissouma,1.0,Tottenham,Tottenham vs Everton,2
4,5,6.0,0.0,4.0,30,80.115,64.05600000000001,0.0,FirstHalf,Aerial,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '4'}]","[197, 199]",False,444751.0,,,,,,,,,,,,,0.06666666666666667,,,,,,,,,,,Tottenham,Everton,28.0,Wilson Odobert,FWL,True,0.0,0.0,,W. Odobert,1.0,Tottenham,Tottenham vs Everton,2
5,6,4.0,0.0,4.0,31,24.885,3.944,0.0,FirstHalf,Aerial,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '6'}]","[198, 200]",False,535878.0,,,,,,,,,,,,,0.06666666666666667,,,,,,,,,,,Everton,Tottenham,75.0,Roman Dixon,DR,True,0.0,0.0,,R. Dixon,1.0,Tottenham,Tottenham vs Everton,2
6,7,7.0,0.0,12.0,30,92.29500000000002,64.26,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '86.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '96.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '2.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.67'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}]","[91, 119, 117, 30, 205, 35, 37, 217, 218]",True,444751.0,90.3,65.28,,,,,,,,,,,0.2,,,,10.0,7.0,10.0,7.0,0.03485072,0.03485072,0.0,Tottenham,Everton,28.0,Wilson Odobert,FWL,True,-1.7429827185996274,0.0,152.92032991180514,W. Odobert,1.0,Tottenham,Tottenham vs Everton,2
7,8,8.0,0.0,14.0,30,90.3,65.07600000000001,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '8.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.19'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '95.1'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '78.4'}]","[91, 119, 117, 30, 205, 35, 38, 217, 218]",True,137015.0,82.32000000000001,64.668,,,,,,,,,,,0.23333333333333334,,,,10.0,7.0,9.0,7.0,0.03485072,0.02756312,-0.007287600000000002,Tottenham,Everton,10.0,James Maddison,MC,True,-3.7658332630864635,0.0,-177.0731402718515,J. Maddison,1.0,Tottenham,Tottenham vs Everton,2
8,9,9.0,0.0,15.0,30,82.11,64.668,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '94.2'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '67.2'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.19'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 119, 117, 30, 205, 35, 38, 217, 218]",True,444751.0,70.56,64.05600000000001,,,,,,,,,,,0.25,,,,9.0,7.0,8.0,7.0,0.02756312,0.02122129,-0.00634183,Tottenham,Everton,28.0,Wilson Odobert,FWL,True,-7.442291495884966,0.0,-176.966904261706,W. Odobert,1.0,Tottenham,Tottenham vs Everton,2
9,10,9.5,0.0,17.0,30,70.56,64.05600000000001,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,303096.0,67.935,61.948,,,,,,10.0,,,,,0.2833333333333333,,,,8.0,7.0,7.0,7.0,0.02122129,0.0174506,-0.00377069,Tottenham,Everton,8.0,Yves Bissouma,MC,True,0.0,-0.7101590316475423,-141.23387692704665,Y. Bissouma,1.0,Tottenham,Tottenham vs Everton,2
