level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,24,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Aston Villa,West Ham,,nan,,,0.0,0.0,,nan,1.0,West Ham,West Ham vs Aston Villa,1
1,2,3.0,0.0,0.0,29,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,West Ham,Aston Villa,,nan,,,0.0,0.0,,nan,1.0,West Ham,West Ham vs Aston Villa,1
2,3,4.0,0.0,0.0,29,52.5,34.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.12'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '35.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '50.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.8'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 117, 30, 35, 37, 216, 218]",True,319756.0,36.75,34.34,,,,,,,,,,,0.0,,,,6.0,3.0,4.0,4.0,0.01689528,0.01262646,-0.004268819999999998,West Ham,Aston Villa,10.0,Lucas Paqueta,MC,True,-15.750846881192615,0.0,178.76333080483099,L. Paqueta,1.0,West Ham,West Ham vs Aston Villa,1
3,4,5.0,0.0,1.0,29,34.86000000000001,33.252,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.29'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '16.8'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '26.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '26.7'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 117, 30, 35, 38, 215, 218]",True,303876.0,28.035,17.884,,,,,,,,,,,0.016666666666666666,,,,4.0,3.0,3.0,2.0,0.01262646,0.01110462,-0.00152184,West Ham,Aston Villa,24.0,Guido Rodriguez,DMC,True,-8.490207000113955,0.0,-113.9462286699818,G. Rodriguez,1.0,West Ham,West Ham vs Aston Villa,1
4,5,5.5,0.0,4.0,29,28.035,17.884,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,351127.0,29.82,15.164000000000001,,,,,,6.0,,,,,0.06666666666666667,,,,3.0,2.0,3.0,1.0,0.01110462,0.0105949,-0.00050972,West Ham,Aston Villa,15.0,Konstantinos Mavropanos,DC,True,0.0,1.130470966070078,-56.72511201516507,K. Mavropanos,1.0,West Ham,West Ham vs Aston Villa,1
5,6,6.0,0.0,7.0,29,29.82,15.164000000000001,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '20.4'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.26'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '50.5'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '76.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 120, 128, 36, 38, 217, 218]",True,351127.0,80.325,13.872,,,,,,,,,,,0.11666666666666667,,,,,,,,,,,West Ham,Aston Villa,15.0,Konstantinos Mavropanos,DC,True,45.660483218439,0.0,-1.4653995726252989,K. Mavropanos,1.0,West Ham,West Ham vs Aston Villa,1
6,7,4.0,0.0,10.0,24,21.21,55.01200000000001,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.41'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '35.6'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '17.6'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '91.1'}]","[91, 118, 120, 29, 139, 36, 37, 216, 218]",True,89925.0,37.38,61.948,,,,,,,,,,,0.16666666666666666,,,,,,,,,,,Aston Villa,West Ham,12.0,Lucas Digne,DL,True,13.21642895746335,0.0,23.21654915975292,L. Digne,2.0,Aston Villa,West Ham vs Aston Villa,1
7,8,5.0,0.0,13.0,24,36.330000000000005,61.336000000000006,0.0,FirstHalf,Foul,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 13, 'displayName': 'Foul'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '7'}, {'type': {'value': 286, 'displayName': 'Offensive'}}]","[91, 63]",True,318449.0,,,,,,,,,,,,,0.21666666666666667,,,,,,,,,,,Aston Villa,West Ham,7.0,John McGinn,AML,True,0.0,0.0,,J. McGinn,2.0,Aston Villa,West Ham vs Aston Villa,1
8,9,7.0,0.0,13.0,29,68.67000000000002,6.664000000000001,0.0,FirstHalf,Foul,Unsuccessful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '5'}, {'type': {'value': 13, 'displayName': 'Foul'}}, {'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}]",[64],False,111372.0,,,,,,,,,,,,,0.21666666666666667,,,,,,,,,,,West Ham,Aston Villa,5.0,Vladimir Coufal,DR,True,0.0,0.0,,V. Coufal,2.0,Aston Villa,West Ham vs Aston Villa,1
9,10,6.0,0.0,24.0,24,40.95,58.888,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '73.8'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.36'}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '60.4'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '15.9'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 5, 'displayName': 'FreekickTaken'}}]","[91, 119, 117, 124, 127, 132, 205, 36, 38, 217, 218]",True,89925.0,77.49,10.812000000000001,,,,,,,,,,,0.4,,,,4.0,6.0,8.0,1.0,0.01214719,0.02401521,0.011868019999999998,Aston Villa,West Ham,12.0,Lucas Digne,DL,True,32.736533816374966,0.0,-52.763473880814686,L. Digne,2.0,Aston Villa,West Ham vs Aston Villa,1
10,11,7.0,0.0,27.0,24,77.49,10.812000000000001,0.0,FirstHalf,BallTouch,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 21, 'displayName': 'OtherBodyPart'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}]",[91],True,322043.0,,,,,,,,,,,,,0.45,,,,,,,,,,,Aston Villa,West Ham,2.0,Matty Cash,DR,True,0.0,0.0,,M. Cash,2.0,Aston Villa,West Ham vs Aston Villa,1
11,12,8.0,0.0,29.0,29,26.46,52.29200000000001,0.0,FirstHalf,BallRecovery,Successful,[],[93],False,101955.0,,,,,,,,,,,,,0.48333333333333334,,,,,,,,,,,West Ham,Aston Villa,33.0,Emerson,DL,True,0.0,0.0,,Emerson,2.0,Aston Villa,West Ham vs Aston Villa,1
12,13,9.0,0.0,29.0,29,26.46,52.29200000000001,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.33'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '38.3'}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '83.9'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '14.6'}]","[91, 117, 30, 124, 36, 37, 216, 218]",True,101955.0,40.214999999999996,57.05200000000001,,,,,,,,,,,0.48333333333333334,,,,3.0,6.0,4.0,6.0,0.0105949,0.01214719,0.0015522899999999996,West Ham,Aston Villa,33.0,Emerson,DL,True,11.87795603125916,0.0,19.088484503599823,Emerson,2.0,Aston Villa,West Ham vs Aston Villa,1
13,14,10.0,0.0,30.0,29,40.214999999999996,57.05200000000001,0.0,FirstHalf,BallTouch,Unsuccessful,"[{'type': {'value': 21, 'displayName': 'OtherBodyPart'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 69]",True,400166.0,,,,,,,,,,,,,0.5,,,,,,,,,,,West Ham,Aston Villa,14.0,Mohammed Kudus,ML,True,0.0,0.0,,M. Kudus,2.0,Aston Villa,West Ham vs Aston Villa,1
14,15,8.0,0.0,32.0,24,77.59500000000001,9.724000000000002,0.0,FirstHalf,BallRecovery,Successful,[],[93],False,327682.0,,,,,,,,,,,,,0.5333333333333333,,,,,,,,,,,Aston Villa,West Ham,31.0,Leon Bailey,AMR,True,0.0,0.0,,L. Bailey,2.0,Aston Villa,West Ham vs Aston Villa,1
15,16,9.0,0.0,35.0,24,92.82000000000001,11.628000000000002,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '8.8'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '6.1'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '90.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.12'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,327682.0,95.23500000000001,5.984000000000001,,,,,,,,,,,0.5833333333333334,,,,10.0,1.0,10.0,0.0,0.04066992,0.03485072,-0.005819199999999997,Aston Villa,West Ham,31.0,Leon Bailey,AMR,True,-4.196325708498502,0.0,-66.83449796997581,L. Bailey,2.0,Aston Villa,West Ham vs Aston Villa,1
16,17,10.0,0.0,37.0,24,95.55,7.004000000000001,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '38.7'}, {'type': {'value': 2, 'displayName': 'Cross'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '90.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.59'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '19.3'}, {'type': {'value': 20, 'displayName': 'RightFoot'}}]","[91, 137, 126, 35, 37, 217, 218]",True,322043.0,95.23500000000001,26.316000000000003,,,,,,,,,,,0.6166666666666667,,,,,,,,,,,Aston Villa,West Ham,2.0,Matty Cash,DR,True,16.176469058680222,0.0,90.93447443133,M. Cash,2.0,Aston Villa,West Ham vs Aston Villa,1
17,18,11.0,0.0,38.0,29,11.55,41.480000000000004,0.0,FirstHalf,Clearance,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '29.2'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.89'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '100.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '2.4'}]","[91, 94, 95, 215]",True,368310.0,2.52,68.0,,,,,,,,,,,0.6333333333333333,,,,,,,,,,,West Ham,Aston Villa,26.0,Maximilian Kilman,DC,True,0.0,0.0,108.80359250353877,M. Kilman,2.0,Aston Villa,West Ham vs Aston Villa,1
18,19,12.0,1.0,5.0,24,89.46000000000001,0.0,1.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 107, 'displayName': 'ThrowIn'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '23.9'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '90.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.36'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '33.1'}]","[91, 212, 36, 37, 217]",True,322043.0,94.5,22.508000000000003,,,,,,,,,,,1.0833333333333333,,,,,,,,,,,Aston Villa,West Ham,2.0,Matty Cash,DR,True,21.816534381743722,0.0,77.3785069130478,M. Cash,2.0,Aston Villa,West Ham vs Aston Villa,1
19,20,13.0,1.0,7.0,29,11.55,40.46,1.0,FirstHalf,Clearance,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '70.4'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '8.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.15'}, {'type': {'value': 15, 'displayName': 'Head'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '14.2'}]","[91, 94, 95, 57, 215]",True,351127.0,14.91,47.87200000000001,,,,,,,,,,,1.1166666666666667,,,,,,,,,,,West Ham,Aston Villa,15.0,Konstantinos Mavropanos,DC,True,0.0,0.0,65.61431288398681,K. Mavropanos,2.0,Aston Villa,West Ham vs Aston Villa,1
20,21,13.0,1.0,9.0,24,93.24,17.0,1.0,FirstHalf,BallTouch,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]",[91],True,318449.0,,,,,,,,,,,,,1.15,,,,,,,,,,,Aston Villa,West Ham,7.0,John McGinn,AML,True,0.0,0.0,,J. McGinn,2.0,Aston Villa,West Ham vs Aston Villa,1
21,22,18.0,1.0,9.0,24,85.26,23.528000000000002,1.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '31.2'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '4.1'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '78.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.74'}]","[91, 119, 117, 30, 205, 35, 38, 217, 218]",True,400815.0,81.9,21.216,,,,,,,,,,,1.15,,,,10.0,2.0,9.0,2.0,0.05491138,0.02855202,-0.026359360000000002,Aston Villa,West Ham,24.0,Amadou Onana,DMC,True,-4.055825841978546,0.0,-145.46832486508654,A. Onana,2.0,Aston Villa,West Ham vs Aston Villa,1
22,23,18.5,1.0,12.0,24,81.9,21.216,1.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,327682.0,75.28500000000001,30.056000000000004,,,,,,14.0,,,,,1.2,,,,9.0,2.0,8.0,3.0,0.02855202,0.02385149,-0.004700530000000001,Aston Villa,West Ham,31.0,Leon Bailey,AMR,True,0.0,-3.5740685592549823,126.80762528976825,L. Bailey,2.0,Aston Villa,West Ham vs Aston Villa,1
23,24,14.0,1.0,15.0,24,75.28500000000001,30.056000000000004,1.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.06'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '80.9'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '69.3'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '19.6'}]","[91, 120, 29, 36, 37, 217, 218]",True,327682.0,84.94500000000001,47.124,,,,,,,,,,,1.25,,,,,,,,,,,Aston Villa,West Ham,31.0,Leon Bailey,AMR,True,6.008068037222422,0.0,60.49137965394037,L. Bailey,2.0,Aston Villa,West Ham vs Aston Villa,1
24,25,15.0,1.0,15.0,29,16.065,18.904000000000003,1.0,FirstHalf,BallRecovery,Successful,[],[93],False,111372.0,,,,,,,,,,,,,1.25,,,,,,,,,,,West Ham,Aston Villa,5.0,Vladimir Coufal,DR,True,0.0,0.0,,V. Coufal,2.0,Aston Villa,West Ham vs Aston Villa,1
25,26,16.0,1.0,17.0,29,28.14,20.128000000000004,1.0,FirstHalf,Dispossessed,Successful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '15'}, {'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 70]",True,111372.0,,,,,,,,,,,,,1.2833333333333332,,,,,,,,,,,West Ham,Aston Villa,5.0,Vladimir Coufal,DR,True,0.0,0.0,,V. Coufal,2.0,Aston Villa,West Ham vs Aston Villa,1
