level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,15,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Chelsea,West Ham,,nan,,,0.0,0.0,,nan,1.0,West Ham,West Ham vs Chelsea,5
1,2,3.0,0.0,0.0,29,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,West Ham,Chelsea,,nan,,,0.0,0.0,,nan,1.0,West Ham,West Ham vs Chelsea,5
2,3,4.0,0.0,0.0,29,52.395,33.79600000000001,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.22'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '36.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '14.6'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '48.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 35, 38, 216, 218]",True,319756.0,37.800000000000004,32.708000000000006,,,,,,,,,,,0.0,,,,5.0,3.0,4.0,3.0,0.01484598,0.01262646,-0.002219519999999999,West Ham,Chelsea,10.0,Lucas Paqueta,MC,True,-14.607023421230103,0.0,-175.73670991699356,L. Paqueta,1.0,West Ham,West Ham vs Chelsea,5
3,4,5.0,0.0,5.0,29,37.800000000000004,32.028000000000006,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '33.7'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '9.2'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '35.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.61'}]","[91, 117, 30, 35, 38, 216, 218]",True,303876.0,36.855000000000004,22.916000000000004,,,,,,,,,,,0.08333333333333333,,,,4.0,3.0,4.0,2.0,0.01262646,0.01269174,6.527999999999916e-05,West Ham,Chelsea,24.0,Guido Rodriguez,MC,True,-1.8116112243082512,0.0,-95.9209432864975,G. Rodriguez,1.0,West Ham,West Ham vs Chelsea,5
4,5,6.0,0.0,8.0,29,37.17,23.052,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '57.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.74'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '32.9'}]","[91, 117, 30, 35, 37, 215, 218]",True,351127.0,34.545,38.760000000000005,,,,,,,,,,,0.13333333333333333,,,,4.0,2.0,3.0,4.0,0.01269174,0.01132376,-0.0013679799999999995,West Ham,Chelsea,15.0,Konstantinos Mavropanos,DC,True,-1.9077693891351686,0.0,99.48716321211106,K. Mavropanos,1.0,West Ham,West Ham vs Chelsea,5
5,6,7.0,0.0,11.0,29,34.545,39.644,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '36.2'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '9.4'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '71.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.19'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 36, 37, 216, 218]",True,322696.0,38.010000000000005,48.348,,,,,,,,,,,0.18333333333333332,,,,3.0,4.0,4.0,5.0,0.01132376,0.01269174,0.0013679799999999995,West Ham,Chelsea,19.0,Edson Alvarez,DC,True,2.1713954637553314,0.0,68.29285305892151,E. Alvarez,1.0,West Ham,West Ham vs Chelsea,5
6,7,8.0,0.0,13.0,29,38.325,47.940000000000005,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.5'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '32.7'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '54.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.36'}]","[91, 117, 30, 35, 38, 215, 218]",True,368310.0,34.33500000000001,37.196000000000005,,,,,,,,,,,0.21666666666666667,,,,4.0,5.0,3.0,4.0,0.01269174,0.01132376,-0.0013679799999999995,West Ham,Chelsea,26.0,Maximilian Kilman,DC,True,-2.620577655402755,0.0,-110.37348948424795,M. Kilman,1.0,West Ham,West Ham vs Chelsea,5
7,8,9.0,0.0,14.0,29,31.919999999999998,33.728,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.91'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '18.4'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '21.6'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '34.5'}]","[91, 117, 30, 36, 38, 216, 218]",True,322696.0,36.225,12.512,,,,,,,,,,,0.23333333333333334,,,,3.0,3.0,4.0,1.0,0.01132376,0.01214719,0.00082343,West Ham,Chelsea,19.0,Edson Alvarez,DC,True,1.0268125305298668,0.0,-78.5296802484908,E. Alvarez,1.0,West Ham,West Ham vs Chelsea,5
8,9,10.0,0.0,17.0,29,37.275,12.444,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '34.8'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.41'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '16.8'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '23.6'}]","[91, 117, 30, 35, 37, 215, 218]",True,351127.0,24.78,23.664,,,,,,,,,,,0.2833333333333333,,,,4.0,1.0,2.0,2.0,0.01214719,0.01001304,-0.0021341499999999996,West Ham,Chelsea,15.0,Konstantinos Mavropanos,DC,True,-9.810376756365471,0.0,138.0774553994244,K. Mavropanos,1.0,West Ham,West Ham vs Chelsea,5
9,10,10.5,0.0,19.0,29,24.78,23.664,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,322696.0,24.044999999999998,18.088,,,,,,11.0,,,,,0.31666666666666665,,,,2.0,2.0,2.0,2.0,0.01001304,0.01001304,0.0,West Ham,Chelsea,19.0,Edson Alvarez,DC,True,0.0,-1.6208285718542186,-97.50914743864844,E. Alvarez,1.0,West Ham,West Ham vs Chelsea,5
