level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,29,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,West Ham,Man City,,nan,,,0.0,0.0,,nan,1.0,Man City,West Ham vs Man City,2
1,2,3.0,0.0,0.0,167,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Man City,West Ham,,nan,,,0.0,0.0,,nan,1.0,Man City,West Ham vs Man City,2
2,3,4.0,0.0,0.0,167,52.5,34.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '25.7'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '25.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.23'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '46.7'}]","[91, 117, 30, 35, 38, 215, 218]",True,73084.0,26.985,31.756000000000004,,,,,,,,,,,0.0,,,,6.0,3.0,3.0,3.0,0.01689528,0.01132376,-0.005571519999999998,Man City,West Ham,17.0,Kevin De Bruyne,AMC,True,-25.54726619811869,0.0,-174.97386780902642,K. D. Bruyne,1.0,Man City,West Ham vs Man City,2
3,4,5.0,0.0,5.0,167,26.985,31.756000000000004,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '61.8'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.4'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.11'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '30.5'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 36, 37, 215, 218]",True,121774.0,32.025,42.024,,,,,,,,,,,0.08333333333333333,,,,3.0,3.0,3.0,4.0,0.01132376,0.01132376,0.0,Man City,West Ham,31.0,Ederson,GK,True,4.632450247930549,0.0,63.85610195676615,Ederson,1.0,Man City,West Ham vs Man City,2
4,5,5.5,0.0,6.5,167,32.025,42.024,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,402664.0,28.35,37.264,,,,,,6.0,,,,,0.10833333333333334,,,,3.0,4.0,3.0,4.0,0.01132376,0.01132376,0.0,Man City,West Ham,24.0,Josko Gvardiol,DC,True,0.0,-3.30464830758676,-127.67025228324124,J. Gvardiol,1.0,Man City,West Ham vs Man City,2
5,6,6.0,0.0,8.0,167,28.35,37.264,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '41.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '15.8'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.80'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '14.9'}]","[91, 117, 30, 35, 38, 215, 218]",True,402664.0,16.59,28.084,,,,,,,,,,,0.13333333333333333,,,,3.0,4.0,1.0,3.0,0.01132376,0.01082722,-0.0004965400000000002,Man City,West Ham,24.0,Josko Gvardiol,DC,True,-11.888250733641044,0.0,-142.02396569615664,J. Gvardiol,1.0,Man City,West Ham vs Man City,2
6,7,7.0,0.0,14.0,167,18.900000000000002,26.248,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.32'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '23.6'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '72.6'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '23.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 36, 37, 215, 218]",True,121774.0,24.78,49.368,,,,,,,,,,,0.23333333333333334,,,,2.0,3.0,2.0,5.0,0.01016549,0.01001304,-0.00015244999999999842,Man City,West Ham,31.0,Ederson,GK,True,4.769486264543119,0.0,75.73075342648706,Ederson,1.0,Man City,West Ham vs Man City,2
7,8,8.0,0.0,17.0,167,25.515,50.184000000000005,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '93.0'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '30.8'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.09'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '14.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 36, 37, 215, 218]",True,402664.0,32.34,63.24,,,,,,,,,,,0.2833333333333333,,,,2.0,5.0,3.0,7.0,0.01001304,0.00977659,-0.0002364500000000009,Man City,West Ham,24.0,Josko Gvardiol,DC,True,2.7931365291239842,0.0,62.40176413587599,J. Gvardiol,1.0,Man City,West Ham vs Man City,2
8,9,9.0,0.0,18.0,167,32.34,63.24,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '83.2'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '20.8'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '12.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.47'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 117, 30, 35, 38, 215, 218]",True,73084.0,12.600000000000001,56.57600000000001,,,,,,,,,,,0.3,,,,3.0,7.0,1.0,6.0,0.00977659,0.00878589,-0.0009907000000000006,Man City,West Ham,17.0,Kevin De Bruyne,AMC,True,-16.79525952819985,0.0,-161.34590136792104,K. D. Bruyne,1.0,Man City,West Ham vs Man City,2
9,10,10.0,0.0,21.0,167,12.600000000000001,56.57600000000001,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '16.9'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '94.7'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '9.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.99'}]","[91, 117, 30, 36, 37, 215, 218]",True,313171.0,17.745,64.396,,,,,,,,,,,0.35,,,,1.0,6.0,1.0,7.0,0.00878589,0.00779616,-0.0009897299999999994,Man City,West Ham,3.0,Ruben Dias,DC,True,2.7202184142706187,0.0,56.657947003030294,R. Dias,1.0,Man City,West Ham vs Man City,2
