level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,15,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Chelsea,Wolves,,nan,,,0.0,0.0,,nan,1.0,Chelsea,Wolves vs Chelsea,2
1,2,3.0,0.0,0.0,161,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Wolves,Chelsea,,nan,,,0.0,0.0,,nan,1.0,Chelsea,Wolves vs Chelsea,2
2,3,4.0,0.0,0.0,15,52.5,34.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '20.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.78'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '34.1'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '31.7'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 117, 30, 35, 38, 216, 218]",True,426050.0,35.805,21.556,,,,,,,,,,,0.0,,,,6.0,3.0,3.0,2.0,0.01689528,0.01110462,-0.005790659999999998,Chelsea,Wolves,15.0,Nicolas Jackson,FW,True,-17.805057862148146,0.0,-143.3001532981889,N. Jackson,1.0,Chelsea,Wolves vs Chelsea,2
3,4,4.5,0.0,1.5,15,35.805,21.556,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,373946.0,36.54,18.088,,,,,,5.0,,,,,0.025,,,,4.0,2.0,4.0,2.0,0.01269174,0.01269174,0.0,Chelsea,Wolves,29.0,Wesley Fofana,DC,True,0.0,0.02018506579173618,-78.03392877679029,W. Fofana,1.0,Chelsea,Wolves vs Chelsea,2
4,5,5.0,0.0,3.0,15,36.54,18.088,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '2.9'}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '42.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '71.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.89'}]","[91, 119, 117, 124, 127, 205, 36, 38, 217, 218]",True,373946.0,75.28500000000001,1.972,,,,,,,,,,,0.05,,,,4.0,2.0,8.0,0.0,0.01269174,0.02122129,0.00852955,Chelsea,Wolves,29.0,Wesley Fofana,DC,True,26.595354499629913,0.0,-22.584890075976976,W. Fofana,1.0,Chelsea,Wolves vs Chelsea,2
5,6,6.0,0.0,6.0,15,75.39,1.36,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '15.7'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '9.5'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.38'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '73.5'}]","[91, 120, 29, 139, 36, 37, 217, 218]",True,389935.0,77.175,10.676,,,,,,,,,,,0.1,,,,,,,,,,,Chelsea,Wolves,11.0,Noni Madueke,AMR,True,7.761940395440469,0.0,79.15325705876575,N. Madueke,1.0,Chelsea,Wolves vs Chelsea,2
6,7,4.0,0.0,7.0,161,30.555000000000003,60.588,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '22.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.57'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '8.9'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '96.2'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 139, 35, 37, 215, 218]",True,123481.0,23.1,65.41600000000001,,,,,,,,,,,0.11666666666666667,,,,3.0,7.0,2.0,7.0,0.00977659,0.00844854,-0.0013280500000000008,Wolves,Chelsea,5.0,Mario Lemina,DMC,True,-8.668238206679575,0.0,147.0721373468358,M. Lemina,2.0,Wolves,Wolves vs Chelsea,2
7,8,5.0,0.0,9.0,161,22.995,65.28,0.0,FirstHalf,BallRecovery,Successful,[],[93],False,355401.0,,,,,,,,,,,,,0.15,,,,,,,,,,,Wolves,Chelsea,3.0,Rayan Ait-Nouri,DL,True,0.0,0.0,,R. Ait-Nouri,2.0,Wolves,Wolves vs Chelsea,2
8,9,6.0,0.0,11.0,161,14.490000000000002,61.744,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '5.7'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '83.6'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '11.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.17'}]","[91, 117, 30, 35, 38, 215, 218]",True,355401.0,11.55,56.848,,,,,,,,,,,0.18333333333333332,,,,1.0,7.0,1.0,6.0,0.00779616,0.00878589,0.0009897299999999994,Wolves,Chelsea,3.0,Rayan Ait-Nouri,DL,True,-1.5358361770459368,0.0,-120.98440365893224,R. Ait-Nouri,2.0,Wolves,Wolves vs Chelsea,2
9,10,7.0,0.0,12.0,161,11.55,56.848,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '76.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '41.2'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.12'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '32.1'}]","[91, 118, 120, 128, 36, 38, 216, 218]",True,431283.0,43.260000000000005,51.68000000000001,,,,,,,,,,,0.2,,,,,,,,,,,Wolves,Chelsea,24.0,Toti Gomes,DC,True,31.980995889843626,0.0,-9.256510020302773,T. Gomes,2.0,Wolves,Wolves vs Chelsea,2
10,11,7.0,0.0,15.0,15,76.54500000000002,14.008000000000003,0.0,FirstHalf,Interception,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 101, 56]",True,373946.0,,,,,,,,,,,,,0.25,,,,,,,,,,,Chelsea,Wolves,29.0,Wesley Fofana,DC,True,0.0,0.0,,W. Fofana,2.0,Wolves,Wolves vs Chelsea,2
11,12,8.0,0.0,17.0,161,38.22,57.596000000000004,0.0,FirstHalf,Dispossessed,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '8'}, {'type': {'value': 286, 'displayName': 'Offensive'}}]","[91, 70]",True,362758.0,,,,,,,,,,,,,0.2833333333333333,,,,,,,,,,,Wolves,Chelsea,12.0,Matheus Cunha,AMC,True,0.0,0.0,,M. Cunha,2.0,Wolves,Wolves vs Chelsea,2
12,13,8.0,0.0,17.0,15,66.78,10.404000000000002,0.0,FirstHalf,Tackle,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '8'}]","[91, 143]",True,410175.0,,,,,,,,,,,,,0.2833333333333333,,,,,,,,,,,Chelsea,Wolves,25.0,Moises Caicedo,DMC,True,0.0,0.0,,M. Caicedo,2.0,Wolves,Wolves vs Chelsea,2
13,14,10.0,0.0,35.0,161,35.910000000000004,68.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.10'}, {'type': {'value': 107, 'displayName': 'ThrowIn'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '36.8'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '91.7'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '7.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 212, 36, 38, 216]",True,355401.0,38.64,62.35600000000001,,,,,,,,,,,0.5833333333333334,,,,4.0,7.0,4.0,7.0,0.01126267,0.01126267,0.0,Wolves,Chelsea,3.0,Rayan Ait-Nouri,DL,True,4.8382986952324245,0.0,-64.18696894253834,R. Ait-Nouri,2.0,Wolves,Wolves vs Chelsea,2
14,15,10.5,0.0,36.5,161,38.64,62.35600000000001,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,362758.0,27.825000000000003,60.248,,,,,,11.0,,,,,0.6083333333333334,,,,4.0,7.0,3.0,7.0,0.01126267,0.00977659,-0.0014860800000000007,Wolves,Chelsea,12.0,Matheus Cunha,AMC,True,0.0,-9.35200879603208,-168.97051202941205,M. Cunha,2.0,Wolves,Wolves vs Chelsea,2
