level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
0,1,3.0,0.0,0.0,23,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Newcastle,Wolves,,nan,,,0.0,0.0,,nan,1.0,Newcastle,Wolves vs Newcastle,4
1,2,3.0,0.0,0.0,161,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Wolves,Newcastle,,nan,,,0.0,0.0,,nan,1.0,Newcastle,Wolves vs Newcastle,4
2,3,4.0,0.0,0.0,23,52.5,34.204,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '20.7'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.00'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '54.6'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '30.5'}]","[91, 117, 30, 35, 37, 215, 218]",True,299254.0,32.025,37.128,,,,,,,,,,,0.0,,,,6.0,4.0,3.0,4.0,0.01689528,0.01132376,-0.005571519999999998,Newcastle,Wolves,14.0,Alexander Isak,FW,True,-20.541612181132322,0.0,171.87264002668962,A. Isak,1.0,Newcastle,Wolves vs Newcastle,4
3,4,4.5,0.0,1.0,23,32.025,37.128,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,338780.0,34.125,39.508,,,,,,5.0,,,,,0.016666666666666666,,,,3.0,4.0,3.0,4.0,0.01132376,0.01132376,0.0,Newcastle,Wolves,39.0,Bruno Guimaraes,MC,True,0.0,1.9533055592236366,48.576334374997366,B. Guimaraes,1.0,Newcastle,Wolves vs Newcastle,4
4,5,5.0,0.0,2.0,23,34.125,39.508,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '14.7'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '31.1'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '79.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.67'}]","[91, 117, 30, 35, 37, 215, 218]",True,338780.0,32.655,54.128,,,,,,,,,,,0.03333333333333333,,,,3.0,4.0,3.0,6.0,0.01132376,0.0105949,-0.0007288599999999996,Newcastle,Wolves,39.0,Bruno Guimaraes,MC,True,-4.004142295116864,0.0,95.74163303668449,B. Guimaraes,1.0,Newcastle,Wolves vs Newcastle,4
5,6,6.0,0.0,4.0,23,33.39,53.788,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '25.0'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '18.6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '53.8'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.32'}]","[91, 117, 30, 35, 38, 215, 218]",True,430294.0,26.25,36.584,,,,,,,,,,,0.06666666666666667,,,,3.0,6.0,2.0,4.0,0.0105949,0.01016549,-0.0004294100000000016,Newcastle,Wolves,20.0,Lewis Hall,DL,True,-4.498661170816845,0.0,-112.53941599850334,L. Hall,1.0,Newcastle,Wolves vs Newcastle,4
6,7,6.5,0.0,5.5,23,26.25,36.584,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,82277.0,25.725,39.78,,,,,,7.0,,,,,0.09166666666666667,,,,2.0,4.0,2.0,4.0,0.01016549,0.01016549,0.0,Newcastle,Wolves,33.0,Dan Burn,DC,True,0.0,-0.6930501835163199,99.32854214264681,D. Burn,1.0,Newcastle,Wolves vs Newcastle,4
7,8,7.0,0.0,7.0,23,25.725,39.78,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.17'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '30.0'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '14.8'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '78.6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 36, 37, 215, 218]",True,82277.0,31.5,53.448,,,,,,,,,,,0.11666666666666667,,,,2.0,4.0,3.0,6.0,0.01016549,0.0105949,0.0004294100000000016,Newcastle,Wolves,33.0,Dan Burn,DC,True,3.4559996421839543,0.0,67.09498180894745,D. Burn,1.0,Newcastle,Wolves vs Newcastle,4
8,9,7.5,0.0,9.0,23,31.5,53.448,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,430294.0,32.13,50.456,,,,,,8.0,,,,,0.15,,,,3.0,6.0,3.0,5.0,0.0105949,0.01110462,0.00050972,Newcastle,Wolves,20.0,Lewis Hall,DL,True,0.0,1.3244344076736638,-78.10941176971399,L. Hall,1.0,Newcastle,Wolves vs Newcastle,4
9,10,8.0,0.0,11.0,23,32.13,50.456,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '65.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '22.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.72'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '10.4'}]","[91, 117, 30, 35, 38, 215, 218]",True,430294.0,23.415000000000003,44.744,,,,,,,,,,,0.18333333333333332,,,,3.0,5.0,2.0,5.0,0.01110462,0.01001304,-0.00109158,Newcastle,Wolves,20.0,Lewis Hall,DL,True,-7.584403747919865,0.0,-146.7582972249465,L. Hall,1.0,Newcastle,Wolves vs Newcastle,4
10,11,8.5,0.0,12.5,23,23.415000000000003,44.744,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,82277.0,21.0,52.496,,,,,,9.0,,,,,0.20833333333333331,,,,2.0,5.0,2.0,6.0,0.01001304,0.00942382,-0.0005892200000000014,Newcastle,Wolves,33.0,Dan Burn,DC,True,0.0,-3.7228176721011152,107.303509293479,D. Burn,1.0,Newcastle,Wolves vs Newcastle,4
11,12,9.0,0.0,14.0,23,21.0,52.496,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.42'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '93.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.4'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '21.6'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 117, 30, 36, 37, 215, 218]",True,82277.0,22.680000000000003,63.784000000000006,,,,,,,,,,,0.23333333333333334,,,,2.0,6.0,2.0,7.0,0.00942382,0.00844854,-0.0009752800000000002,Newcastle,Wolves,33.0,Dan Burn,DC,True,-1.5301641853413912,0.0,81.53477199488087,D. Burn,1.0,Newcastle,Wolves vs Newcastle,4
