,playerId,shirtNo,name,position,isFirstEleven
0,276366,22,David Raya,GK,True
1,322036,4,Ben White,DR,True
2,334087,6,Gabriel Magalhães,DC,True
3,361822,2,William Saliba,DC,True
4,388650,12,Jurriën Timber,DL,True
5,238940,5,Thomas Partey,MC,True
6,247454,8,Martin Ødegaard,MC,True
7,332325,41,Declan Rice,MC,True
8,367185,7,Bukayo Saka,FWR,True
9,326413,29,Kai Havertz,FW,True
10,113994,19,Leandro Trossard,FWL,True
11,380706,11,Gabriel Martinelli,Sub,
12,386519,33,Riccardo Calafiori,Sub,
13,273257,17,Oleksandr Zinchenko,Sub,
14,106968,20,Jorginho,Sub,
15,489986,36,Tommy Setford,Sub,
16,424462,15,Jakub Kiwior,Sub,
17,456771,53,Ethan Nwaneri,Sub,
18,467918,49,Myles Lewis-Skelly,Sub,
19,427103,56,Salah-Eddine Oulad M'hand,Sub,
20,400138,1,Bart Verbruggen,GK,True
21,110290,34,Joël Veltman,DR,True
22,365402,29,Jan Paul van Hecke,DC,True
23,86441,5,Lewis Dunk,DC,True
24,469629,41,Jack Hinshelwood,DL,True
25,436048,20,Carlos Baleba,DMC,True
26,4511,6,James Milner,DMC,True
27,484175,17,Yankuba Minteh,AMR,True
28,373525,9,João Pedro,AMC,True
29,425142,22,Kaoru Mitoma,AML,True
30,39308,18,Danny Welbeck,FW,True
31,298694,30,Pervis Estupiñán,Sub,
32,362433,14,Georginio Rutter,Sub,
33,417747,10,Julio Enciso,Sub,
34,470690,26,Yasin Ayari,Sub,
35,443004,24,Simon Adingra,Sub,
36,386979,2,Tariq Lamptey,Sub,
37,33532,23,Jason Steele,Sub,
38,109922,4,Adam Webster,Sub,
39,382241,3,Igor Julio,Sub,
