,playerId,shirtNo,name,position,isFirstEleven
0,276366,22,David Raya,GK,True
1,322036,4,Ben White,DR,True
2,334087,6,Gabriel Magalhães,DC,True
3,361822,2,William Saliba,DC,True
4,273257,17,Oleksandr Zinchenko,DL,True
5,238940,5,Thomas Partey,MC,True
6,247454,8,Martin Ødegaard,MC,True
7,332325,41,Declan Rice,MC,True
8,367185,7,Bukayo Saka,FWR,True
9,326413,29,Kai Havertz,FW,True
10,380706,11,Gabriel Martinelli,FWL,True
11,113994,19,Leandro Trossard,Sub,
12,279379,9,Gabriel Jesus,Sub,
13,388650,12,Jurriën Timber,Sub,
14,106968,20,Jorginho,Sub,
15,386519,33,Riccardo Calafiori,Sub,
16,316858,1,Aaron Ramsdale,Sub,
17,456771,53,Ethan Nwaneri,Sub,
18,342564,24,Reiss Nelson,Sub,
19,345845,14,Eddie Nketiah,Sub,
20,122714,1,José Sá,GK,True
21,94042,2,Matt Doherty,DR,True
22,425060,14,Yerson Mosquera,DC,True
23,431283,24,Toti Gomes,DC,True
24,355401,3,Rayan Aït-Nouri,DL,True
25,403693,8,João Gomes,DMC,True
26,123481,5,Mario Lemina,DMC,True
27,262854,11,Hwang Hee-Chan,AMR,True
28,320242,27,Jean-Ricner Bellegarde,AMC,True
29,402823,19,Rodrigo Gomes,AML,True
30,333048,9,Jørgen Strand Larsen,FW,True
31,362758,12,Matheus Cunha,Sub,
32,300513,10,Daniel Podence,Sub,
33,421894,23,Chiquinho,Sub,
34,94868,21,Pablo Sarabia,Sub,
35,73063,15,Craig Dawson,Sub,
36,247995,29,Gonçalo Guedes,Sub,
37,444241,4,Santiago Bueno,Sub,
38,134543,25,Dan Bentley,Sub,
39,386856,20,Tommy Doyle,Sub,
