,playerId,shirtNo,name,position,isFirstEleven
0,102248,23,Emiliano Martínez,GK,True
1,322043,2,Matty Cash,DR,True
2,344259,14,Pau Torres,DC,True
3,301440,4,Ezri Konsa,DC,True
4,89925,12,Lucas Digne,DL,True
5,327682,31,Leon Bailey,MR,True
6,136345,8,Youri Tielemans,MC,True
7,400815,24,Amadou Onana,MC,True
8,318449,7,John McGinn,ML,True
9,362824,27,Morgan Rogers,FW,True
10,148503,11,Ollie Watkins,FW,True
11,433517,9,Jhon Durán,Sub,
12,384134,22,Ian Maatsen,Sub,
13,369813,41,Jacob Ramsey,Sub,
14,92547,6,Ross Barkley,Sub,
15,492955,20,Kosta Nedeljkovic,Sub,
16,260592,10,Emiliano Buendía,Sub,
17,476543,18,Joe Gauci,Sub,
18,134984,3,Diego Carlos,Sub,
19,411335,19,Jaden Philogene,Sub,
20,276366,22,David Raya,GK,True
21,322036,4,Ben White,DR,True
22,334087,6,Gabriel Magalhães,DC,True
23,361822,2,William Saliba,DC,True
24,388650,12,Jurriën Timber,DL,True
25,238940,5,Thomas Partey,MC,True
26,247454,8,Martin Ødegaard,MC,True
27,332325,41,Declan Rice,MC,True
28,367185,7,Bukayo Saka,FWR,True
29,326413,29,Kai Havertz,FW,True
30,380706,11,Gabriel Martinelli,FWL,True
31,113994,19,Leandro Trossard,Sub,
32,386519,33,Riccardo Calafiori,Sub,
33,342564,24,Reiss Nelson,Sub,
34,106968,20,Jorginho,Sub,
35,424462,15,Jakub Kiwior,Sub,
36,273257,17,Oleksandr Zinchenko,Sub,
37,316858,1,Aaron Ramsdale,Sub,
38,345845,14,Eddie Nketiah,Sub,
39,456771,53,Ethan Nwaneri,Sub,
