,playerId,shirtNo,name,position,isFirstEleven
0,362806,42,Mark Travers,GK,True
1,69877,15,Adam Smith,DR,True
2,328330,5,Marcos Senesi,DC,True
3,399826,27,Illia Zabarnyi,DC,True
4,424273,3,Milos Kerkez,DL,True
5,136456,4,Lewis Cook,DMC,True
6,128882,10,Ryan Christie,DMC,True
7,357073,24,Antoine Semenyo,AMR,True
8,331579,19,Justin Kluivert,AMC,True
9,344314,16,Marcus Tavernier,AML,True
10,384430,9,Evanilson,FW,True
11,361879,17,Luis Sinisterra,Sub,
12,145277,29,Philip Billing,Sub,
13,371039,22,Julián Araujo,Sub,
14,134695,26,Enes Ünal,Sub,
15,410998,8,Alex Scott,Sub,
16,468852,2,Dean Huijsen,Sub,
17,384131,40,Will Dennis,Sub,
18,362837,23,James Hill,Sub,
19,295084,7,David Brooks,Sub,
20,362151,1,Robert Sánchez,GK,True
21,300426,2,Axel Disasi,DR,True
22,373946,29,Wesley Fofana,DC,True
23,421351,6,Levi Colwill,DC,True
24,363496,3,Marc Cucurella,DL,True
25,410175,25,Moisés Caicedo,DMC,True
26,434077,40,Renato Veiga,DMC,True
27,389935,11,Noni Madueke,AMR,True
28,395692,20,Cole Palmer,AMC,True
29,337916,7,Pedro Neto,AML,True
30,426050,15,Nicolas Jackson,FW,True
31,300945,18,Christopher Nkunku,Sub,
32,362431,14,João Félix,Sub,
33,346300,19,Jadon Sancho,Sub,
34,136464,4,Tosin Adarabioyo,Sub,
35,404749,12,Filip Jørgensen,Sub,
36,365406,5,Benoît Badiashile,Sub,
37,433219,31,Cesare Casadei,Sub,
38,409376,10,Mykhailo Mudryk,Sub,
39,483208,38,Marc Guiu,Sub,
