,playerId,shirtNo,name,position,isFirstEleven
0,115131,1,Mark Flekken,GK,True
1,321085,20,Kristoffer Ajer,DR,True
2,372724,22,Nathan Collins,DC,True
3,342499,5,Ethan Pinnock,DC,True
4,298689,27,Vitaly Janelt,DL,True
5,101856,6,Christian Nørgaard,MC,True
6,339674,8,Mathias Jensen,MC,True
7,401168,24,Mikkel Damsgaard,MC,True
8,353377,19,Bryan Mbeumo,FWR,True
9,296240,11,Yoane Wissa,FW,True
10,407260,7,Kevin Schade,FWL,True
11,329554,30,Mads Roerslev,Sub,
12,351705,4,Sepp van den Berg,Sub,
13,401385,14,Fábio Carvalho,Sub,
14,368512,23,Keane Lewis-Potter,Sub,
15,412313,12,Hákon Valdimarsson,Sub,
16,94935,16,Ben Mee,Sub,
17,454756,28,Ryan Trevitt,Sub,
18,495584,26,Yunus Konak,Sub,
19,444304,18,Yehor Yarmoliuk,Sub,
20,316858,30,Aaron Ramsdale,GK,True
21,136742,35,Jan Bednarek,DC,True
22,92550,5,Jack Stephens,DC,True
23,384061,6,Taylor Harwood-Bellis,DC,True
24,379783,16,Yukinari Sugawara,DMR,True
25,313672,2,Kyle Walker-Peters,DML,True
26,390036,8,Will Smallbone,MC,True
27,342877,7,Joe Aribo,MC,True
28,337428,4,Flynn Downes,MC,True
29,332839,17,Ben Brereton,FW,True
30,136460,9,Adam Armstrong,FW,True
31,447231,18,Mateus Fernandes,Sub,
32,21683,10,Adam Lallana,Sub,
33,382363,19,Cameron Archer,Sub,
34,438067,33,Tyler Dibling,Sub,
35,404616,26,Lesley Ugochukwu,Sub,
36,148474,14,James Bree,Sub,
37,38577,1,Alex McCarthy,Sub,
38,107462,21,Charlie Taylor,Sub,
39,482895,27,Sam Amo-Ameyaw,Sub,
