,playerId,shirtNo,name,position,isFirstEleven
0,400138,1,Bart Verbruggen,GK,True
1,110290,34,Joël Veltman,DR,True
2,365402,29,Jan Paul van Hecke,DC,True
3,86441,5,Lewis Dunk,DC,True
4,469629,41,Jack Hinshelwood,DL,True
5,484175,17,Yankuba Minteh,MR,True
6,436048,20,Carlos Baleba,MC,True
7,470690,26,Yasin Ayari,MC,True
8,425142,22,Kaoru Mitoma,ML,True
9,362433,14,Georginio Rutter,FW,True
10,39308,18,Danny Welbeck,FW,True
11,423720,28,Evan Ferguson,Sub,
12,417747,10,Julio Enciso,Sub,
13,321958,24,Ferdi Kadioglu,Sub,
14,443004,11,Simon Adingra,Sub,
15,298694,30,Pervis Estupiñán,Sub,
16,399378,15,Jakub Moder,Sub,
17,33532,23,Jason Steele,Sub,
18,109922,4,Adam Webster,Sub,
19,382241,3,Igor Julio,Sub,
20,362426,1,Arijanet Muric,GK,True
21,299271,40,Axel Tuanzebe,DR,True
22,362826,26,Dara O'Shea,DC,True
23,381161,24,Jacob Greaves,DC,True
24,366211,3,Leif Davis,DL,True
25,134666,5,Sam Morsy,DMC,True
26,270446,8,Kalvin Phillips,DMC,True
27,135729,7,Wes Burns,AMR,True
28,430908,20,Omari Hutchinson,AMC,True
29,138686,23,Sam Szmodics,AML,True
30,401254,19,Liam Delap,FW,True
31,110555,25,Massimo Luongo,Sub,
32,352908,21,Chiedozie Ogbene,Sub,
33,256129,10,Conor Chaplin,Sub,
34,317547,27,George Hirst,Sub,
35,363516,47,Jack Clarke,Sub,
36,108640,22,Conor Townsend,Sub,
37,140906,28,Christian Walton,Sub,
38,349484,18,Ben Johnson,Sub,
39,404108,12,Jens Cajuste,Sub,
