,playerId,shirtNo,name,position,isFirstEleven
0,362151,1,Robert Sánchez,GK,True
1,403850,27,Malo Gusto,DR,True
2,373946,29,Wesley Fofana,DC,True
3,421351,6,Levi Colwill,DC,True
4,363496,3,Marc Cucurella,DL,True
5,369430,8,Enzo Fernández,DMC,True
6,410175,25,Moisés Caicedo,DMC,True
7,389935,11,Noni Madueke,AMR,True
8,395692,20,Cole Palmer,AMC,True
9,337916,7,Pedro Neto,AML,True
10,426050,15,Nicolas Jackson,FW,True
11,300945,18,Christopher Nkunku,Sub,
12,362431,14,João Félix,Sub,
13,409376,10,Mykhailo Mudryk,Sub,
14,404749,12,Filip Jørgensen,Sub,
15,300426,2,Axel Disasi,Sub,
16,433219,31,Cesare Casadei,Sub,
17,434077,40,Renato Veiga,Sub,
18,136464,4,Tosin Adarabioyo,Sub,
19,391256,22,Kiernan Dewsbury-Hall,Sub,
20,304008,1,Dean Henderson,GK,True
21,395401,26,Chris Richards,DC,True
22,374631,6,Marc Guéhi,DC,True
23,69375,17,Nathaniel Clyne,DC,True
24,400496,12,Daniel Muñoz,DMR,True
25,389579,3,Tyrick Mitchell,DML,True
26,430774,20,Adam Wharton,MC,True
27,108638,19,Will Hughes,MC,True
28,344166,18,Daichi Kamada,AMC,True
29,332403,10,Eberechi Eze,AMC,True
30,328096,14,Jean-Philippe Mateta,FW,True
31,91822,15,Jeffrey Schlupp,Sub,
32,374993,28,Cheick Doucouré,Sub,
33,322670,7,Ismaïla Sarr,Sub,
34,517286,46,Franco Umeh-Chibueze,Sub,
35,454759,42,Kaden Rodney,Sub,
36,43105,2,Joel Ward,Sub,
37,229492,31,Remi Matthews,Sub,
38,450950,55,Justin Devenny,Sub,
39,534896,64,Asher Agbinone,Sub,
