,playerId,shirtNo,name,position,isFirstEleven
0,362426,1,Arijanet Muric,GK,True
1,299271,40,Axel Tuanzebe,DR,True
2,381161,24,Jacob Greaves,DC,True
3,356599,6,Luke Woolfenden,DC,True
4,366211,3,Leif Davis,DL,True
5,134666,5,Sam Morsy,DMC,True
6,270446,8,Kalvin Phillips,DMC,True
7,352908,21,Chiedozie Ogbene,AMR,True
8,430908,20,Omari Hutchinson,AMC,True
9,138686,23,Sam Szmodics,AML,True
10,401254,19,Liam Delap,FW,True
11,429636,16,Ali Al-Hamadi,Sub,
12,363516,47,Jack Clarke,Sub,
13,256129,10,Conor Chaplin,Sub,
14,404108,12,Jens Cajuste,Sub,
15,110555,25,Massimo Luongo,Sub,
16,362826,26,Dara O'Shea,Sub,
17,108640,22,Conor Townsend,Sub,
18,140906,28,Christian Walton,Sub,
19,349484,18,Ben Johnson,Sub,
20,92173,1,Bernd Leno,GK,True
21,145996,2,Kenny Tete,DR,True
22,300359,31,Issa Diop,DC,True
23,396976,3,Calvin Bassey,DC,True
24,306581,33,Antonee Robinson,DL,True
25,243254,18,Andreas Pereira,MC,True
26,297395,20,Sasa Lukic,MC,True
27,363686,32,Emile Smith Rowe,MC,True
28,140088,11,Adama Traoré,FWR,True
29,403649,9,Rodrigo Muniz,FW,True
30,136824,17,Alex Iwobi,FWL,True
31,108186,7,Raúl Jiménez,Sub,
32,321020,16,Sander Berge,Sub,
33,135724,6,Harrison Reed,Sub,
34,79583,10,Tom Cairney,Sub,
35,333044,8,Harry Wilson,Sub,
36,141169,21,Timothy Castagne,Sub,
37,231135,5,Joachim Andersen,Sub,
38,333182,15,Jorge Cuenca,Sub,
39,362371,23,Steven Benda,Sub,
