,playerId,shirtNo,name,position,isFirstEleven
0,409426,30,Mads Hermansen,GK,True
1,301441,2,James Justin,DR,True
2,299693,3,Wout Faes,DC,True
3,368312,5,Caleb Okoli,DC,True
4,416970,16,Victor Kristiansen,DL,True
5,327683,6,Wilfred Ndidi,DMC,True
6,143990,8,Harry Winks,DMC,True
7,67491,18,Jordan Ayew,AMR,True
8,433572,11,Bilal El Khannouss,AMC,True
9,318750,10,Stephy Mavididi,AML,True
10,106981,9,Jamie Vardy,FW,True
11,432384,40,Facundo Buonanotte,Sub,
12,317504,29,Odsonne Édouard,Sub,
13,430985,7,Abdul Fatawu,Sub,
14,134332,14,Bobby De Cordova-Reid,Sub,
15,120763,21,Ricardo Pereira,Sub,
16,97710,4,Conor Coady,Sub,
17,312670,17,Hamza Choudhury,Sub,
18,364215,22,Oliver Skipp,Sub,
19,99165,1,Danny Ward,Sub,
20,110189,1,Jordan Pickford,GK,True
21,367781,37,James Garner,DR,True
22,131464,6,James Tarkowski,DC,True
23,107941,5,Michael Keane,DC,True
24,8166,18,Ashley Young,DL,True
25,344073,8,Orel Mangala,DMC,True
26,116317,16,Abdoulaye Doucouré,DMC,True
27,403646,29,Jesper Lindstrøm,AMR,True
28,357427,7,Dwight McNeil,AMC,True
29,366116,10,Iliman Ndiaye,AML,True
30,141469,9,Dominic Calvert-Lewin,FW,True
31,416208,42,Tim Iroegbunam,Sub,
32,317896,11,Jack Harrison,Sub,
33,23122,31,Asmir Begovic,Sub,
34,424495,15,Jake O'Brien,Sub,
35,380546,14,Beto,Sub,
36,362852,12,João Virgínia,Sub,
37,535878,75,Roman Dixon,Sub,
38,535879,45,Harrison Armstrong,Sub,
