,playerId,shirtNo,name,position,isFirstEleven
0,409426,30,Mads Hermansen,GK,True
1,301441,2,James Justin,DR,True
2,299693,3,Wout Faes,DC,True
3,87182,23,Jannik Vestergaard,DC,True
4,416970,16,Victor Kristiansen,DL,True
5,327683,6,Wilfred Ndidi,DMC,True
6,143990,8,Harry Winks,DMC,True
7,430985,7,Abdul Fatawu,AMR,True
8,432384,40,Facundo Buonanotte,AMC,True
9,134332,14,Bobby De Cordova-Reid,AML,True
10,106981,9,Jamie Vardy,FW,True
11,345664,24,Boubakary Soumaré,Sub,
12,318750,10,Stephy Mavididi,Sub,
13,429531,35,Kasey McAteer,Sub,
14,463991,28,Thomas Cannon,Sub,
15,368312,5,Caleb Okoli,Sub,
16,120763,21,Ricardo Pereira,Sub,
17,312670,17,Hamza Choudhury,Sub,
18,407585,26,Ben Nelson,Sub,
19,99165,1,Danny Ward,Sub,
20,147863,1,Guglielmo Vicario,GK,True
21,362352,23,Pedro Porro,DR,True
22,323663,17,Cristian Romero,DC,True
23,425229,37,Micky van de Ven,DC,True
24,401044,13,Destiny Udogie,DL,True
25,403859,29,Pape Sarr,MC,True
26,303657,30,Rodrigo Bentancur,MC,True
27,137015,10,James Maddison,MC,True
28,379688,22,Brennan Johnson,FWR,True
29,136459,19,Dominic Solanke,FW,True
30,91909,7,Son Heung-Min,FWL,True
31,317804,9,Richarlison,Sub,
32,130903,16,Timo Werner,Sub,
33,355855,21,Dejan Kulusevski,Sub,
34,505295,15,Lucas Bergvall,Sub,
35,362219,24,Djed Spence,Sub,
36,429922,14,Archie Gray,Sub,
37,400097,6,Radu Dragusin,Sub,
38,386134,40,Brandon Austin,Sub,
39,103837,33,Ben Davies,Sub,
