,playerId,shirtNo,name,position,isFirstEleven
0,114147,1,Alisson Becker,GK,True
1,318871,66,Trent Alexander-Arnold,DR,True
2,345957,5,Ibrahima Konaté,DC,True
3,95408,4,Virgil van Dijk,DC,True
4,115726,26,Andy Robertson,DL,True
5,345319,10,Alexis Mac Allister,DMC,True
6,363884,38,Ryan Gravenberch,DMC,True
7,108226,11,Mohamed Salah,AMR,True
8,369875,8,Dominik Szoboszlai,AMC,True
9,377168,7,Luis Díaz,AML,True
10,235755,20,Diogo Jota,FW,True
11,301455,21,Kostas Tsimikas,Sub,
12,352825,18,Cody Gakpo,Sub,
13,400828,9,Darwin Núñez,Sub,
14,355354,17,Curtis Jones,Sub,
15,424945,84,Conor Bradley,Sub,
16,322176,62,Caoimhín Kelleher,Sub,
17,86829,3,Wataru Endo,Sub,
18,430019,78,Jarell Quansah,Sub,
19,136451,2,Joe Gomez,Sub,
20,78386,26,Matz Sels,GK,True
21,315543,34,Ola Aina,DR,True
22,445424,5,Murillo,DC,True
23,319785,31,Nikola Milenkovic,DC,True
24,135374,19,Álex Moreno,DL,True
25,105172,18,James Ward-Prowse,DMC,True
26,342830,22,Ryan Yates,DMC,True
27,334653,16,Nicolás Domínguez,AMR,True
28,332867,10,Morgan Gibbs-White,AMC,True
29,402596,8,Elliot Anderson,AML,True
30,73380,11,Chris Wood,FW,True
31,444826,20,Jota Silva,Sub,
32,413211,21,Anthony Elanga,Sub,
33,350088,14,Callum Hudson-Odoi,Sub,
34,386969,7,Neco Williams,Sub,
35,376916,4,Morato,Sub,
36,442459,33,Carlos Miguel,Sub,
37,399490,12,Andrew Omobamidele,Sub,
38,281049,9,Taiwo Awoniyi,Sub,
39,298659,15,Harry Toffolo,Sub,
