,playerId,shirtNo,name,position,isFirstEleven
0,105720,22,Nick Pope,GK,True
1,415174,21,Tino Livramento,DR,True
2,82726,5,Fabian Schär,DC,True
3,82277,33,Dan Burn,DC,True
4,430294,20,Lewis Hall,DL,True
5,201755,7,Joelinton,MC,True
6,338780,39,Bruno Guimarães,MC,True
7,342811,36,Sean Longstaff,MC,True
8,141486,23,Jacob Murphy,FWR,True
9,299254,14,Alexander Isak,FW,True
10,349669,10,Anthony Gordon,FWL,True
11,100599,17,Emil Krafth,Sub,
12,331382,11,Harvey Barnes,Sub,
13,332419,25,Lloyd Kelly,Sub,
14,416209,18,William Osula,Sub,
15,303924,24,Miguel Almirón,Sub,
16,46092,1,Martin Dúbravka,Sub,
17,83078,2,Kieran Trippier,Sub,
18,136776,13,Matt Targett,Sub,
19,342563,28,Joe Willock,Sub,
20,38577,1,Alex McCarthy,GK,True
21,136742,35,Jan Bednarek,DC,True
22,92550,5,Jack Stephens,DC,True
23,384061,6,Taylor Harwood-Bellis,DC,True
24,379783,16,Yukinari Sugawara,DMR,True
25,313672,2,Kyle Walker-Peters,DML,True
26,390036,8,Will Smallbone,MC,True
27,342877,7,Joe Aribo,MC,True
28,337428,4,Flynn Downes,MC,True
29,332839,17,Ben Brereton,FW,True
30,136460,9,Adam Armstrong,FW,True
31,382363,19,Cameron Archer,Sub,
32,421974,23,Samuel Edozie,Sub,
33,438067,33,Tyler Dibling,Sub,
34,482895,27,Sam Amo-Ameyaw,Sub,
35,391348,22,Carlos Alcaraz,Sub,
36,148474,14,James Bree,Sub,
37,288788,13,Joe Lumley,Sub,
38,107462,21,Charlie Taylor,Sub,
39,361334,15,Nathan Wood,Sub,
