,playerId,shirtNo,name,position,isFirstEleven
0,105720,22,Nick Pope,GK,True
1,415174,21,Tino Livramento,DR,True
2,100599,17,Emil Krafth,DC,True
3,82277,33,Dan Burn,DC,True
4,332419,25,Lloyd Kelly,DL,True
5,201755,7,Joelinton,MC,True
6,338780,39,Bruno Guimarães,MC,True
7,342811,36,Sean Longstaff,MC,True
8,349669,10,Anthony Gordon,FWR,True
9,299254,14,Alexander Isak,FW,True
10,331382,11,Harvey Barnes,FWL,True
11,343501,8,Sandro Tonali,Sub,
12,303924,24,Miguel Almirón,Sub,
13,141486,23,Jacob Murphy,Sub,
14,430294,20,Lewis Hall,Sub,
15,416209,18,William Osula,Sub,
16,492690,37,Alex Murphy,Sub,
17,46092,1,Martin Dúbravka,Sub,
18,136776,13,Matt Targett,Sub,
19,83078,2,Kieran Trippier,Sub,
20,147863,1,Guglielmo Vicario,GK,True
21,362352,23,Pedro Porro,DR,True
22,323663,17,Cristian Romero,DC,True
23,400097,6,Radu Dragusin,DC,True
24,401044,13,Destiny Udogie,DL,True
25,303096,8,Yves Bissouma,MC,True
26,403859,29,Pape Sarr,MC,True
27,137015,10,James Maddison,MC,True
28,444751,28,Wilson Odobert,FWR,True
29,355855,21,Dejan Kulusevski,FW,True
30,91909,7,Son Heung-Min,FWL,True
31,130903,16,Timo Werner,Sub,
32,505295,15,Lucas Bergvall,Sub,
33,303657,30,Rodrigo Bentancur,Sub,
34,379688,22,Brennan Johnson,Sub,
35,362219,24,Djed Spence,Sub,
36,29796,20,Fraser Forster,Sub,
37,409089,45,Alfie Devine,Sub,
38,429922,14,Archie Gray,Sub,
39,103837,33,Ben Davies,Sub,
