,playerId,shirtNo,name,position,isFirstEleven
0,316858,30,Aaron Ramsdale,GK,True
1,379783,16,Yukinari Sugawara,DR,True
2,136742,35,Jan Bednarek,DC,True
3,384061,6,Taylor Harwood-Bellis,DC,True
4,107462,21,Charlie Taylor,DL,True
5,337428,4,Flynn Downes,DMC,True
6,21683,10,Adam Lallana,DMC,True
7,438067,33,Tyler Dibling,AMR,True
8,447231,18,Mateus Fernandes,AMC,True
9,93160,24,Ryan Fraser,AML,True
10,382363,19,Cameron Archer,FW,True
11,332839,17,Ben Brereton,Sub,
12,404616,26,Lesley Ugochukwu,Sub,
13,342877,7,Joe Aribo,Sub,
14,136460,9,Adam Armstrong,Sub,
15,397143,11,Ross Stewart,Sub,
16,313672,2,Kyle Walker-Peters,Sub,
17,38577,1,Alex McCarthy,Sub,
18,361334,15,Nathan Wood,Sub,
19,125004,22,Maxwel Cornet,Sub,
20,362426,1,Arijanet Muric,GK,True
21,299271,40,Axel Tuanzebe,DR,True
22,362826,26,Dara O'Shea,DC,True
23,381161,24,Jacob Greaves,DC,True
24,366211,3,Leif Davis,DL,True
25,134666,5,Sam Morsy,DMC,True
26,404108,12,Jens Cajuste,DMC,True
27,135729,7,Wes Burns,AMR,True
28,430908,20,Omari Hutchinson,AMC,True
29,138686,23,Sam Szmodics,AML,True
30,401254,19,Liam Delap,FW,True
31,256129,10,Conor Chaplin,Sub,
32,317547,27,George Hirst,Sub,
33,323713,14,Jack Taylor,Sub,
34,349484,18,Ben Johnson,Sub,
35,363516,47,Jack Clarke,Sub,
36,110555,25,Massimo Luongo,Sub,
37,352908,21,Chiedozie Ogbene,Sub,
38,108640,22,Conor Townsend,Sub,
39,140906,28,Christian Walton,Sub,
