,playerId,shirtNo,name,position,isFirstEleven
0,147863,1,Guglielmo Vicario,GK,True
1,362352,23,Pedro Porro,DR,True
2,323663,17,Cristian Romero,DC,True
3,425229,37,Micky van de Ven,DC,True
4,401044,13,Destiny Udogie,DL,True
5,355855,21,Dejan Kulusevski,MC,True
6,303657,30,Rodrigo Bentancur,MC,True
7,137015,10,James Maddison,MC,True
8,379688,22,Brennan Johnson,FWR,True
9,136459,19,Dominic Solanke,FW,True
10,91909,7,Son Heung-Min,FWL,True
11,303096,8,Yves Bissouma,Sub,
12,403859,29,Pape Sarr,Sub,
13,505295,15,Lucas Bergvall,Sub,
14,526481,47,Mikey Moore,Sub,
15,429922,14,Archie Gray,Sub,
16,130903,16,Timo Werner,Sub,
17,400097,6,Radu Dragusin,Sub,
18,362219,24,Djed Spence,Sub,
19,29796,20,Fraser Forster,Sub,
20,115131,1,Mark Flekken,GK,True
21,321085,20,Kristoffer Ajer,DR,True
22,372724,22,Nathan Collins,DC,True
23,342499,5,Ethan Pinnock,DC,True
24,351705,4,Sepp van den Berg,DC,True
25,368512,23,Keane Lewis-Potter,DL,True
26,401168,24,Mikkel Damsgaard,MC,True
27,298689,27,Vitaly Janelt,MC,True
28,444304,18,Yehor Yarmoliuk,MC,True
29,353377,19,Bryan Mbeumo,FW,True
30,401385,14,Fábio Carvalho,FW,True
31,329554,30,Mads Roerslev,Sub,
32,407260,7,Kevin Schade,Sub,
33,454756,28,Ryan Trevitt,Sub,
34,495584,26,Yunus Konak,Sub,
35,412313,12,Hákon Valdimarsson,Sub,
36,94935,16,Ben Mee,Sub,
37,492686,36,Kim Ji-Soo,Sub,
38,496356,21,Jayden Meghoma,Sub,
39,533685,42,Tony Yogane,Sub,
