,playerId,shirtNo,name,position,isFirstEleven
0,92516,23,Alphonse Areola,GK,True
1,111372,5,Vladimír Coufal,DR,True
2,351127,15,Konstantinos Mavropanos,DC,True
3,368310,26,Maximilian Kilman,DC,True
4,101955,33,Emerson,DL,True
5,303876,24,Guido Rodríguez,DMC,True
6,322596,20,Jarrod Bowen,MR,True
7,319756,10,Lucas Paquetá,MC,True
8,143595,28,Tomás Soucek,MC,True
9,400166,14,Mohammed Kudus,ML,True
10,69517,9,Michail Antonio,FW,True
11,361710,25,Jean-Clair Todibo,Sub,
12,104058,11,Niclas Füllkrug,Sub,
13,382564,7,Crysencio Summerville,Sub,
14,91762,18,Danny Ings,Sub,
15,105172,8,James Ward-Prowse,Sub,
16,20973,1,Lukasz Fabianski,Sub,
17,68049,3,Aaron Cresswell,Sub,
18,331924,29,Aaron Wan-Bissaka,Sub,
19,451945,39,Andy Irving,Sub,
20,102248,23,Emiliano Martínez,GK,True
21,322043,2,Matty Cash,DR,True
22,344259,14,Pau Torres,DC,True
23,301440,4,Ezri Konsa,DC,True
24,89925,12,Lucas Digne,DL,True
25,400815,24,Amadou Onana,DMC,True
26,136345,8,Youri Tielemans,DMC,True
27,327682,31,Leon Bailey,AMR,True
28,362824,27,Morgan Rogers,AMC,True
29,318449,7,John McGinn,AML,True
30,148503,11,Ollie Watkins,FW,True
31,433517,9,Jhon Durán,Sub,
32,384134,22,Ian Maatsen,Sub,
33,369813,41,Jacob Ramsey,Sub,
34,411335,19,Jaden Philogene,Sub,
35,492955,20,Kosta Nedeljkovic,Sub,
36,260592,10,Emiliano Buendía,Sub,
37,476543,18,Joe Gauci,Sub,
38,134984,3,Diego Carlos,Sub,
39,92547,6,Ross Barkley,Sub,
