,playerId,shirtNo,name,position,isFirstEleven
0,122714,1,José Sá,GK,True
1,94042,2,Matt Doherty,DR,True
2,425060,14,Yerson Mosquera,DC,True
3,431283,24,Toti Gomes,DC,True
4,355401,3,Rayan Aït-Nouri,DL,True
5,403693,8,João Gomes,DMC,True
6,123481,5,Mario Lemina,DMC,True
7,262854,11,Hwang Hee-Chan,AMR,True
8,362758,12,Matheus Cunha,AMC,True
9,320242,27,Jean-Ricner Bellegarde,AML,True
10,333048,9,Jørgen Strand Larsen,FW,True
11,300513,10,Daniel Podence,Sub,
12,402823,19,Rodrigo Gomes,Sub,
13,94868,21,Pablo Sarabia,Sub,
14,73063,15,Craig Dawson,Sub,
15,386856,20,Tommy Doyle,Sub,
16,386612,6,Boubacar Traoré,Sub,
17,247995,29,Gonçalo Guedes,Sub,
18,444241,4,Santiago Bueno,Sub,
19,134543,25,Dan Bentley,Sub,
20,362151,1,Robert Sánchez,GK,True
21,403850,27,Malo Gusto,DR,True
22,373946,29,Wesley Fofana,DC,True
23,421351,6,Levi Colwill,DC,True
24,363496,3,Marc Cucurella,DL,True
25,369430,8,Enzo Fernández,DMC,True
26,410175,25,Moisés Caicedo,DMC,True
27,389935,11,Noni Madueke,AMR,True
28,395692,20,Cole Palmer,AMC,True
29,409376,10,Mykhailo Mudryk,AML,True
30,426050,15,Nicolas Jackson,FW,True
31,300945,18,Christopher Nkunku,Sub,
32,337916,7,Pedro Neto,Sub,
33,362431,14,João Félix,Sub,
34,434077,40,Renato Veiga,Sub,
35,391256,22,Kiernan Dewsbury-Hall,Sub,
36,404749,12,Filip Jørgensen,Sub,
37,365406,5,Benoît Badiashile,Sub,
38,136464,4,Tosin Adarabioyo,Sub,
39,483208,38,Marc Guiu,Sub,
